,Date,Close,Volume
0,2007-11-14,40.0,100
1,2009-05-08,45.0,50
2,2009-11-03,50.0,104
3,2009-11-04,57.0,6
4,2009-11-05,65.0,7
5,2009-11-06,74.0,8
6,2009-11-17,85.0,9
7,2009-11-18,97.0,10
8,2009-11-27,111.0,11
9,2009-12-01,127.0,12
10,2009-12-10,146.0,13
11,2009-12-23,167.0,24
12,2010-05-06,192.0,18222
13,2010-05-07,200.0,722
14,2010-05-10,200.0,50
15,2010-06-15,200.0,298
16,2010-06-25,200.0,680
17,2010-08-16,180.0,1
18,2010-08-20,207.0,1337
19,2010-09-03,180.0,5
20,2010-09-07,200.0,155
21,2010-09-08,200.0,260
22,2010-10-29,171.0,225
23,2010-12-20,150.0,310
24,2012-04-26,341.0,2
25,2012-05-09,392.0,5
26,2012-06-08,450.0,2
27,2013-02-28,517.5,2
28,2015-12-09,500.0,420
29,2016-07-19,500.0,162
30,2017-12-15,576.15,53
31,2017-12-18,662.57,10220
32,2017-12-19,761.95,43
33,2017-12-20,876.24,100
34,2017-12-21,1007.0,200
35,2017-12-22,1158.0,1500
36,2017-12-25,1331.0,1
37,2017-12-26,1530.0,1000
38,2017-12-27,1759.0,17617
39,2017-12-28,1858.0,24960
40,2018-01-02,1751.0,7155
41,2018-01-03,1660.0,3602
42,2018-01-04,1585.0,7800
43,2018-01-05,1597.0,1685
44,2018-01-08,1490.0,2741
45,2018-01-09,1537.0,13611
46,2018-01-10,1636.0,2605
47,2018-01-12,1656.0,2982
48,2018-01-15,1665.0,2745
49,2018-01-16,1658.0,1760
50,2018-01-17,1552.0,8927
51,2018-01-18,1534.0,4487
52,2018-01-19,1704.0,5764
53,2018-01-22,1681.0,5310
54,2018-01-23,1738.0,6460
55,2018-01-24,1727.0,231
56,2018-01-25,1617.0,1050
57,2018-01-29,1658.0,1077
58,2018-01-30,1594.0,5000
59,2018-01-31,1690.0,10
60,2018-02-01,1567.0,1000
61,2018-02-05,1655.0,1424
62,2018-02-06,1551.0,2113
63,2018-02-07,1501.0,709
64,2018-02-08,1435.0,2012
65,2018-02-09,1410.0,4560
66,2018-02-13,1420.0,4820
67,2018-02-14,1430.0,2932
68,2018-02-15,1430.0,520
69,2018-02-20,1404.0,4507
70,2018-02-21,1400.0,1200
71,2018-02-23,1400.0,1348
72,2018-02-26,1419.0,3809
73,2018-02-27,1330.0,3000
74,2018-02-28,1400.0,2017
75,2018-03-01,1335.0,735
76,2018-03-02,1352.0,800
77,2018-03-05,1414.0,1378
78,2018-03-06,1391.0,260
79,2018-03-07,1450.0,353
