Date,Close,Volume
2019-03-12,87.83,4251313
2019-03-13,86.26,380629
2019-03-14,81.42,486135
2019-03-15,81.15,176158
2019-03-18,82.45,261265
2019-03-19,81.9,39809
2019-03-20,81.98,59412
2019-03-21,81.21,72079
2019-03-22,81.01,12549
2019-03-25,81.89,94694
2019-03-26,81.49,71849
2019-03-27,80.31,142428
2019-03-28,80.9,103178
2019-03-29,81.49,56821
2019-04-01,80.77,408137
2019-04-02,79.4,256022
2019-04-03,78.04,312205
2019-04-04,78.74,301882
2019-04-05,79.39,366244
2019-04-08,79.9,248044
2019-04-09,78.28,33850
2019-04-10,78.79,85172
2019-04-11,76.35,38643
2019-04-12,77.9,28513
2019-04-15,79.17,130231
2019-04-16,79.9,4697
2019-04-17,78.99,474
2019-04-18,78.99,10072
2019-04-19,74.2,138542
2019-04-22,73.59,20103
2019-04-23,73.67,158108
2019-04-24,78.33,36814
2019-04-25,78.8,139133
2019-04-26,78.87,317915
2019-04-29,76.94,91147
2019-04-30,70.95,109859
2019-05-01,74.01,20233
2019-05-02,76.2,21565
2019-05-03,76.48,45359
2019-05-06,76.46,206040
2019-05-07,71.33,838769
2019-05-08,70.12,95521
2019-05-09,70.53,132805
2019-05-10,70.94,408
2019-05-13,70.01,13535
2019-05-14,70.05,20147
2019-05-15,70.0,19250
2019-05-16,67.91,35275
2019-05-17,69.29,9135
2019-05-20,69.95,2024
2019-05-21,69.75,6996
2019-05-22,65.44,87148
2019-05-23,67.9,83001
2019-05-24,66.0,15874
2019-05-27,65.0,83040
2019-05-28,65.02,110014
2019-05-29,65.56,80166
2019-05-30,67.99,3911
2019-05-31,67.98,1093
2019-06-03,66.67,9719
2019-06-04,68.0,15085
2019-06-05,67.04,43585
2019-06-06,69.5,1812
2019-06-07,69.0,7551
2019-06-10,69.5,200
2019-06-11,66.03,188022
2019-06-12,66.11,139241
2019-06-13,67.7,20
2019-06-14,69.43,173912
2019-06-17,69.8,537901
2019-06-18,69.87,456702
2019-06-19,73.0,121624
2019-06-20,73.46,111277
2019-06-21,74.89,517728
2019-06-24,79.4,339142
2019-06-25,79.96,217214
2019-06-26,79.93,86396
2019-06-27,80.03,811173
2019-06-28,81.83,1725423
2019-07-01,80.69,8030
2019-07-02,80.79,216515
2019-07-03,79.97,33204
2019-07-04,80.63,29513
2019-07-05,80.75,27065
2019-07-08,79.99,13479
2019-07-09,79.9,17488
2019-07-10,79.0,334
2019-07-16,79.99,4900
2019-07-18,79.82,1134635
2019-07-19,79.9,1000
2019-07-22,79.89,1000
2019-07-23,78.9,15413
2019-07-24,77.99,4081
2019-07-25,77.0,91
2019-07-29,77.0,32320
2019-07-30,77.0,1180
2019-08-02,77.84,4774
2019-08-05,77.8,1851
2019-08-06,76.22,542
2019-08-07,77.7,6556
2019-08-08,79.0,41794
2019-08-09,78.9,177
2019-08-13,78.0,10656
2019-08-15,77.67,18622
2019-08-16,77.45,21521
2019-08-19,77.5,32010
2019-08-20,75.0,10277
2019-08-22,70.4,13765
2019-08-23,73.93,5397
2019-08-27,73.0,13385
2019-08-28,73.0,1078
2019-08-29,71.39,24888
2019-08-30,68.27,21009
2019-09-02,70.01,1005
2019-09-05,68.68,7028
2019-09-06,69.0,14575
2019-09-07,70.0,17
2019-09-09,68.35,9754
2019-09-10,72.05,17581
2019-09-11,71.8,1100
2019-09-12,69.0,15210
2019-09-13,70.0,12397
2019-09-16,68.29,16299
2019-09-17,68.0,1123
2019-09-18,67.94,18263
2019-09-19,66.0,4130
2019-09-20,65.6,58077
2019-09-23,69.99,7966
2019-09-24,69.53,70515
2019-09-25,72.74,15747
2019-09-26,67.5,71952
2019-09-27,71.49,114314
2019-09-30,75.25,805540
2019-10-01,73.5,314
2019-10-03,73.14,13981
2019-10-04,72.0,14
2019-10-07,68.01,4694
2019-10-08,71.9,560
2019-10-09,71.47,2000
2019-10-10,71.39,500
2019-10-11,70.99,17482
2019-10-14,68.0,9547
2019-10-16,69.84,5566
2019-10-17,69.09,282078
2019-10-18,73.18,57565
2019-10-21,74.97,140339
2019-10-22,75.03,169139
2019-10-23,74.99,15501
2019-10-25,75.01,258424
2019-10-28,75.6,673482
2019-10-29,78.9,132846
2019-10-30,79.21,216613
2019-10-31,78.05,391433
2019-11-01,79.0,311366
2019-11-04,79.44,57547
2019-11-05,79.68,247740
2019-11-06,79.47,90842
2019-11-07,79.5,800
2019-11-08,79.88,213459
2019-11-11,79.86,29833
2019-11-12,79.88,112766
2019-11-13,79.94,138899
2019-11-14,80.9,839748
2019-11-15,80.09,65900
2019-11-18,80.5,60621
2019-11-19,80.93,54202
2019-11-20,80.95,77930
2019-11-21,79.75,27429
2019-11-22,80.15,29991
2019-11-25,79.99,12980
2019-11-28,80.73,175254
2019-11-29,78.39,1054041
2019-12-02,79.35,25866
2019-12-03,77.98,260841
2019-12-04,74.32,588397
2019-12-05,78.07,11230
2019-12-06,78.19,44836
2019-12-09,77.79,28997
