Date,Close,Volume
2024-02-26,303.09,1148
2024-02-27,302.01,835
2024-03-14,305.99,6
2024-03-15,305.99,34
2024-03-21,305.0,10
2024-03-25,305.0,10
2024-03-27,304.99,1
2024-04-05,271.47,835
2024-04-09,268.02,80
2024-04-10,268.0,2138
2024-04-26,295.0,100
2024-04-29,295.0,39
2024-05-01,251.0,20
2024-05-06,255.31,1212
2024-05-08,240.0,16788
2024-05-16,260.0,1
2024-05-27,260.01,174
2024-05-31,260.01,1000
2024-06-04,251.13,1000
2024-06-17,287.0,1
2024-06-18,287.26,1914
2024-06-20,288.0,362
2024-06-24,288.0,90
2024-06-25,288.0,3548
2024-06-27,290.0,5
2024-07-02,290.0,50
2024-07-03,290.0,555
2024-07-05,332.98,180
2024-07-17,379.98,250
2024-07-29,379.98,365
2024-07-30,399.94,8
2024-08-05,397.98,10
2024-08-07,397.98,1
2024-08-08,397.98,1
2024-08-12,350.0,20
2024-08-13,350.0,5
2024-08-14,350.0,50
2024-08-15,350.0,10
2024-08-23,396.0,5
2024-08-26,350.0,125
2024-08-30,360.0,1
2024-09-02,337.0,100
2024-09-05,341.58,139
2024-09-10,337.0,178
2024-09-18,330.0,873
2024-09-20,360.0,127
2024-09-23,359.9,340
2024-10-10,359.9,29
2024-10-18,359.0,4
2024-10-25,310.0,6530
2024-10-29,310.0,5
2024-11-05,310.0,1180
2024-11-07,355.0,200
2024-11-08,358.92,94
2024-11-11,382.6,72
2024-11-13,409.96,38
2024-11-14,390.0,11600
2024-11-19,407.98,5
2024-11-21,407.98,2
2024-11-25,407.97,2
2024-12-03,406.55,13
2024-12-04,407.68,9
2024-12-05,404.27,9
2024-12-09,407.68,345
2024-12-24,406.98,2
2024-12-25,400.0,11600
2024-12-26,350.0,305
2025-01-24,330.0,1285
2025-01-30,320.01,1
2025-02-04,367.98,130
2025-02-19,340.0,144
2025-02-20,340.0,682
2025-02-21,340.0,191
2025-02-26,360.0,2716
2025-03-06,358.0,50
2025-03-13,320.0,250
2025-03-26,321.0,148
2025-04-03,320.0,138
2025-04-08,325.0,2
2025-04-09,300.0,260
2025-04-10,270.0,482
2025-04-18,310.0,82
2025-04-21,328.0,10
2025-04-30,320.0,20
2025-05-05,355.0,1
2025-05-07,305.0,10
2025-05-09,315.0,4
