Date,Close,Volume
2018-10-01,745.76,155001
2018-10-02,765.34,159690
2018-10-03,786.81,171168
2018-10-04,881.4,135939
2018-10-05,899.48,163921
2018-10-08,900.8,80726
2018-10-09,861.79,73494
2018-10-10,846.06,109152
2018-10-11,846.88,73923
2018-10-12,838.4,31072
2018-10-15,840.19,35621
2018-10-16,800.91,71728
2018-10-17,809.43,56643
2018-10-18,801.59,49889
2018-10-19,795.0,25700
2018-10-22,786.76,50500
2018-10-23,794.9,26915
2018-10-24,793.04,87832
2018-10-25,794.23,33128
2018-10-26,788.05,29991
2018-10-29,768.88,55061
2018-10-30,760.0,39260
2018-10-31,703.33,55546
2018-11-01,721.52,49673
2018-11-02,746.04,23765
2018-11-05,750.39,24754
2018-11-06,766.54,13052
2018-11-07,765.02,9477
2018-11-12,740.0,1
2018-11-13,749.64,22192
2018-11-14,736.3,12235
2018-11-15,746.46,5322
2018-11-16,750.0,2199
2018-11-17,750.0,80010
2018-11-19,756.05,2882
2018-11-20,756.85,7847
2018-11-21,749.0,4322
2018-11-22,741.32,19703
2018-11-23,745.69,6819
2018-11-27,738.88,25642
2018-11-28,745.14,38244
2018-11-29,727.41,19633
2018-11-30,774.65,67464
2018-12-03,786.56,29432
2018-12-04,734.87,189615
2018-12-05,743.83,37257
2018-12-06,749.23,32759
2018-12-07,752.94,38083
2018-12-10,748.57,57615
2018-12-11,746.5,57080
2018-12-12,748.36,73321
2018-12-13,756.39,56957
2018-12-14,769.0,56199
2018-12-17,750.0,29652
2018-12-18,747.31,40033
2018-12-19,742.89,44260
2018-12-20,731.05,39901
2018-12-21,726.77,6110
2018-12-24,740.39,12843
2018-12-25,739.0,42254
2018-12-26,722.5,22489
2018-12-27,724.45,24292
2018-12-28,736.99,91271
2018-12-31,770.0,66030
2019-01-02,749.04,12901
2019-01-04,735.05,409
2019-01-07,727.69,14031
2019-01-08,733.0,4794
2019-01-09,733.0,8219
2019-01-11,729.23,27594
2019-01-14,713.14,3960
2019-01-15,734.0,12192
2019-01-16,706.1,1903
2019-01-17,736.0,7409
2019-01-18,740.0,2104
2019-01-21,729.99,1526
2019-01-22,739.02,23030
2019-01-23,710.0,549
2019-01-24,704.0,2937
2019-01-25,701.79,15086
2019-01-28,710.0,2151
2019-01-29,709.0,10831
2019-01-30,701.99,462
2019-01-31,700.27,6319
2019-02-01,701.15,1785
2019-02-02,700.0,9208
2019-02-04,709.19,9938
2019-02-12,698.5,4000
2019-02-13,715.0,1153
2019-02-14,699.4,5831
2019-02-15,700.0,48580
2019-02-18,701.0,45843
2019-02-19,730.0,5202
2019-02-20,710.0,2426
2019-02-21,710.0,87
2019-02-22,703.13,1175
2019-02-25,701.62,17457
2019-02-26,709.92,60639
2019-02-27,707.55,48293
2019-02-28,698.99,42221
2019-03-01,698.98,41106
2019-03-04,693.54,94087
2019-03-05,697.0,39896
2019-03-06,698.0,43383
2019-03-07,696.98,42361
2019-03-11,693.9,40231
2019-03-12,690.0,67813
2019-03-13,693.56,75202
2019-03-14,693.67,72019
2019-03-15,693.9,36581
2019-03-18,689.9,33823
2019-03-19,694.0,58333
2019-03-20,690.0,2200
2019-03-21,684.69,23912
2019-03-22,693.09,3970
2019-03-25,684.41,18477
2019-03-26,689.0,200
2019-03-28,688.0,455
2019-03-29,687.94,430
2019-04-01,685.0,100
2019-04-02,677.0,1274
2019-04-03,657.72,2720
2019-04-04,669.4,53
2019-04-05,678.15,1130
2019-04-09,633.1,3011
2019-04-10,639.0,6511
2019-04-11,622.0,9000
2019-04-12,669.0,886
2019-04-15,677.0,7385
2019-04-16,670.0,2175
2019-04-17,669.99,666
2019-04-18,673.08,8280
2019-04-19,677.1,2932
2019-04-22,669.0,38
2019-04-23,685.0,14018
2019-04-24,684.91,5321
2019-04-25,689.0,49913
2019-04-26,709.28,41421
2019-04-29,689.0,10
2019-04-30,685.89,816
2019-05-01,666.17,412
2019-05-03,683.67,137
2019-05-06,654.0,252
2019-05-07,684.0,29260
2019-05-08,679.0,34287
2019-05-09,673.87,9399
2019-05-10,639.38,100
2019-05-13,640.0,1055
2019-05-14,670.0,71
2019-05-15,670.0,379
2019-05-16,668.18,220
2019-05-17,668.9,1250
2019-05-20,649.84,4629
