Date,Close,Volume
2007-06-13,0.2,22
2007-07-16,5.0,22
2007-07-19,6.0,22
2010-02-05,7.8,22
2020-03-13,8.97,400
2020-03-16,9.3,1600
2020-03-17,10.695,136500
2020-03-18,12.299,150140
2020-03-19,14.143,394342
2020-03-24,14.836,700
2020-03-25,17.061,59000
2020-03-27,18.58,7900
2020-04-02,19.8,1000
2020-04-07,21.1,1000
2020-04-23,20.018,61000
2020-04-27,22.5,1777
2020-05-22,25.6,500
2020-05-28,29.0,1620
2020-06-04,33.0,500
2020-06-11,37.2,400
2020-06-16,42.0,450
2020-07-08,45.0,763
2020-07-24,45.0,1
2020-08-06,44.0,200
2020-08-12,45.5,2200
2020-09-03,46.437,1136
2020-09-09,44.0,2900
2020-09-10,45.0,64
2020-10-07,43.783,230
2020-10-21,43.0,26000
2020-10-29,44.0,680
2020-10-30,42.0,12000
2020-11-27,44.0,1
2020-12-07,44.0,100
2020-12-08,43.0,55000
2020-12-09,43.0,1200
2020-12-14,44.0,1200
2020-12-17,44.5,600
2020-12-21,44.5,300
2020-12-22,49.5,7100
2020-12-24,52.1,2000
2020-12-28,52.9,10
2020-12-31,52.9,95
2021-01-04,58.6,68
2021-01-11,58.0,55
2021-01-27,53.0,230000
2021-01-29,53.0,150000
2021-02-01,58.0,195900
2021-02-02,59.0,42500
2021-02-03,67.0,13850
2021-02-04,70.0,1577
2021-02-05,70.0,250
2021-02-08,67.1,3520
2021-02-09,77.0,10301
2021-02-10,80.33,34450
2021-02-11,84.81,1050
2021-02-15,84.0,211
2021-02-16,81.8,10717
2021-02-17,80.0,100
2021-02-19,79.14,640
2021-02-23,80.0,1321
2021-02-25,83.0,500
2021-02-26,83.0,20
2021-03-01,82.91,698
2021-03-03,83.0,530
2021-03-09,85.0,1122
2021-03-10,84.99,200
2021-03-11,84.5,521
2021-03-16,84.84,3299
2021-03-18,86.0,104
2021-03-19,85.77,1081
2021-03-24,84.0,3016
2021-05-12,86.0,581
2021-05-21,85.0,331000
2021-05-24,86.0,5200
2021-06-16,85.0,516
2021-06-21,85.72,1800
2021-06-22,96.0,987
2021-06-30,103.0,300
2021-07-02,110.0,600
2021-07-05,115.0,400
2021-07-07,120.0,500
2021-07-24,103.0,77
2021-07-27,118.0,200
2021-08-03,118.0,58500
2021-08-06,115.0,1200
2021-08-25,113.0,200
2021-09-17,113.0,12
2021-09-21,109.0,3100
2021-10-12,96.0,100
2021-10-13,88.33,3000
2021-10-14,84.0,719261
2021-10-18,76.4,4492
2021-10-19,70.0,5003
2021-10-20,74.5,100
2021-10-21,70.0,1515
2021-10-22,67.97,1586
2021-10-25,70.01,1475
2021-10-26,63.7,5473
2021-10-27,69.99,1100
2021-10-28,69.99,13412
2021-11-01,69.72,791
2021-11-02,69.98,150
2021-11-04,60.0,590
2021-11-09,69.0,2203
2021-11-10,74.48,5756
2021-11-11,75.0,1600
2021-11-12,69.0,114
2021-11-15,69.0,100
2021-11-16,78.0,140900
2021-11-17,76.0,920001
2021-11-18,79.75,1030
2021-11-19,80.0,420
2021-11-22,76.44,135565
2021-11-24,76.0,48502
2021-11-25,87.4,1132
2021-11-29,75.0,401057
2021-11-30,75.0,650
2021-12-01,74.0,4250
2021-12-06,85.0,500
2021-12-07,84.0,6
2021-12-16,84.01,26300
2021-12-17,75.5,500
2021-12-22,78.02,8030
2021-12-23,86.0,300
2021-12-24,84.0,9006
2021-12-27,78.0,8200
2021-12-28,79.23,2450
2021-12-31,85.99,896
2022-01-03,89.59,1500
2022-01-04,90.0,610
2022-01-05,85.0,117155
2022-01-06,90.0,5
2022-01-07,89.99,400
2022-01-10,89.81,15454
2022-01-11,89.0,110100
2022-01-17,89.0,8600
2022-01-19,89.01,8700
2022-01-24,90.0,1060
2022-01-26,90.0,12
2022-01-28,89.99,109
2022-01-31,89.99,52
2022-02-09,90.0,500
2022-02-14,89.99,26739
2022-02-16,90.0,1083
2022-02-18,89.99,66
2022-02-23,89.99,114310
2022-03-01,89.99,4
2022-03-07,89.99,247900
2022-03-09,89.0,10955
2022-03-10,89.45,19942
2022-03-11,91.0,10980
2022-03-14,90.0,3255
2022-03-15,90.0,8660
2022-03-28,91.0,1000
2022-04-12,90.99,13
2022-05-17,102.18,8050
2022-05-18,115.0,3500
2022-05-20,120.0,5
2022-05-23,115.0,10
2022-06-02,108.01,279461
2022-06-03,108.0,36142
2022-06-06,108.0,1000
2022-06-08,120.0,130
2022-06-10,119.99,75
2022-06-20,119.99,150
2022-06-24,108.0,5000
2022-06-29,117.99,8
2022-06-30,114.91,1000
2022-07-01,109.0,7151
2022-07-04,108.5,3300
2022-07-05,110.0,549
2022-07-06,108.08,7500
2022-07-08,113.0,500
2022-07-18,108.0,348385
2022-07-19,113.0,1970
2022-07-21,113.0,100
2022-07-22,113.0,170
2022-07-25,112.0,5388
2022-07-26,113.0,1900
2022-07-27,112.0,350
