,Date,Close,Volume
3962,2007-01-03,3.2,9
3963,2007-01-04,3.2,42
3964,2007-01-08,3.5,1
3965,2007-01-10,3.5,16
3966,2007-01-11,3.5,17
3967,2007-01-16,3.5,28
3968,2007-01-17,3.51,8
3969,2007-01-22,3.51,9
3970,2007-01-24,3.512,13
3971,2007-01-25,3.512,13
3972,2007-01-26,3.515,16
3973,2007-01-29,3.515,30
3974,2007-01-30,3.515,20
3975,2007-02-01,3.515,30
3976,2007-02-06,3.8,20
3977,2007-02-08,3.8,30
3978,2007-02-09,3.8,107
3979,2007-02-15,3.8,20
3980,2007-02-20,3.8,20
3981,2007-02-28,4.0,101
3982,2007-03-01,4.0,20
3983,2007-05-23,4.5,51
3984,2007-05-24,4.5,40
3985,2007-05-31,4.5,178
3986,2007-06-07,4.5,28
3987,2007-06-12,4.5,20
3988,2007-06-13,4.5,20
3989,2007-06-15,4.5,19
3990,2007-06-18,4.499,72
3991,2007-06-21,4.499,22
3992,2007-06-26,4.5,205
3993,2007-06-28,4.6,35
3994,2007-07-02,4.61,8
3995,2007-07-05,5.0,128
3996,2007-07-06,5.5,85
3997,2007-07-18,5.71,9
3998,2007-07-25,5.715,8
3999,2007-07-26,6.05,27
4000,2007-07-27,6.11,4
4001,2007-07-31,8.0,20
4002,2007-08-01,8.001,10
4003,2007-08-03,8.5,1
4004,2007-08-06,8.5,9
4005,2007-08-15,9.0,33
4006,2007-08-16,9.3,33
4007,2007-08-21,9.501,42
4008,2007-08-22,10.001,55
4009,2007-08-24,10.5,30
4010,2007-08-27,11.0,18
4011,2007-08-28,11.0,21
4012,2007-08-30,11.5,30
4013,2007-08-31,11.5,101
4014,2007-09-03,11.55,47
4015,2007-09-04,11.55,55
4016,2007-09-06,11.55,59
4017,2007-09-07,12.0,29
4018,2007-09-10,12.0,64
4019,2007-09-11,12.0,4
4020,2007-09-14,15.0,2
4021,2007-09-21,14.0,2
4022,2007-09-25,14.0,5
4023,2007-09-27,14.0,68
4024,2007-10-03,15.0,120
4025,2007-10-05,12.002,23
4026,2007-10-09,13.0,20
4027,2007-10-11,14.0,98
4028,2007-10-12,15.0,31
4029,2007-10-15,15.002,123
4030,2007-10-16,15.002,70
4031,2007-10-17,15.052,9
4032,2007-10-19,15.052,36
4033,2007-10-22,15.051,36
4034,2007-10-23,15.055,149
4035,2007-10-24,15.055,16
4036,2007-10-25,15.056,106
4037,2007-10-26,15.1,25
4038,2007-10-29,15.1,30
4039,2007-10-30,15.2,88
4040,2007-11-02,15.3,20
4041,2007-11-05,15.3,53
4042,2007-11-06,15.3,104
4043,2007-11-07,15.3,9
4044,2007-11-08,15.3,46
4045,2007-11-12,15.3,40
4046,2007-11-13,15.2,11
4047,2007-11-14,15.2,40
4048,2007-11-15,15.2,30
4049,2007-11-16,15.0,22
4050,2007-11-19,15.2,9
4051,2007-11-20,15.2,56
4052,2007-11-21,15.2,28
4053,2007-11-22,15.2,9
4054,2007-11-23,15.2,12
4055,2007-11-27,15.203,20
4056,2007-11-28,15.2,27
4057,2007-11-30,15.201,23
4058,2007-12-03,15.5,20
4059,2007-12-04,15.5,10
4060,2007-12-06,15.5,19
4061,2007-12-10,15.5,50
4062,2007-12-12,16.0,30
4063,2007-12-13,16.01,9
4064,2007-12-18,17.8,18
4065,2007-12-19,18.0,29
4066,2007-12-20,18.5,7
4067,2007-12-21,18.5,99
4068,2007-12-24,18.5,30
4069,2007-12-25,19.0,20
4070,2007-12-26,19.0,34
4071,2007-12-27,19.0,10
4072,2008-01-03,19.0,5
4073,2008-01-07,19.0,80
4074,2008-01-08,19.0,43
4075,2008-01-09,19.0,6
4076,2008-01-10,19.0,122
4077,2008-01-15,19.5,49
4078,2008-01-17,20.0,34
4079,2008-01-18,19.0,14
4080,2008-01-22,21.85,56
4081,2008-01-23,21.85,9
4082,2008-01-24,23.0,30
4083,2008-01-25,22.5,28
4084,2008-01-28,23.0,1
4085,2008-01-29,23.0,19
4086,2008-01-30,23.0,208
4087,2008-01-31,22.5,20
4088,2008-02-01,25.0,265
4089,2008-02-04,28.0,264
4090,2008-02-05,30.0,83
4091,2008-02-06,30.0,19
4092,2008-02-07,30.505,105
4093,2008-02-11,33.5,37
4094,2008-02-12,38.525,40
4095,2008-02-13,43.89,354
4096,2008-02-14,45.0,221
4097,2008-02-15,45.0,300
4098,2008-02-18,44.0,457
4099,2008-02-19,43.95,127
4100,2008-02-20,43.4,0
4101,2008-02-21,43.0,131
4102,2008-02-22,41.0,51
4103,2008-02-25,41.0,294
4104,2008-02-26,42.0,219
4105,2008-02-27,42.0,125
4106,2008-02-28,47.5,311
4107,2008-02-29,54.0,230
4108,2008-03-03,55.0,402
4109,2008-03-04,54.0,218
4110,2008-03-05,54.0,1
4111,2008-03-06,54.5,360
4112,2008-03-07,62.0,553
4113,2008-03-10,64.0,500
4114,2008-03-11,65.0,393
4115,2008-03-12,74.0,199
4116,2008-03-13,85.0,205
4117,2008-03-14,85.1,73
4118,2008-03-20,90.0,238
4119,2008-03-21,90.0,183
4120,2008-03-25,88.5,9
4121,2008-03-26,88.0,110
4122,2008-03-27,87.0,173
4123,2008-04-09,76.0,153
4124,2008-04-10,74.4,35
4125,2008-04-18,64.0,141
4126,2008-04-21,60.0,182
4127,2008-04-23,59.5,219
4128,2008-04-24,59.5,45
4129,2008-04-25,59.5,143
4130,2008-05-21,59.5,13
4131,2008-05-30,55.0,56
4132,2008-06-02,55.0,26
4133,2008-06-04,54.5,18
4134,2008-06-06,53.0,29
4135,2008-06-09,52.9,16
4136,2008-06-12,47.9,27
4137,2008-06-13,47.999,154
4138,2008-06-16,51.0,291
4139,2008-06-17,52.0,17
4140,2008-06-18,53.0,43
4141,2008-06-19,54.0,37
4142,2008-06-23,54.0,2
4143,2008-07-15,62.1,200
4144,2008-07-16,71.4,300
4145,2008-07-17,82.0,97834
4146,2008-07-18,92.0,54876
4147,2008-07-21,91.5,38498
4148,2008-07-22,86.1,34322
4149,2008-07-23,86.1,11647
4150,2008-07-24,83.0,7560
4151,2008-07-25,88.0,46967
4152,2008-07-28,81.9,56481
4153,2008-07-29,82.5,2572
4154,2008-07-30,80.0,3068
4155,2008-07-31,71.5,16334
4156,2008-08-01,77.0,33086
4157,2008-08-04,77.0,14240
4158,2008-08-05,78.0,7310
4159,2008-08-06,78.0,10103
4160,2008-08-07,80.0,5537
4161,2008-08-08,85.0,6790
4162,2008-08-11,86.0,9770
4163,2008-08-12,86.0,1073
4164,2008-08-13,85.5,300
4165,2008-08-14,84.9,118
4166,2008-08-15,85.5,11129
4167,2008-08-18,83.0,10833
4168,2008-08-19,83.0,297
4169,2008-08-20,82.5,3400
4170,2008-08-21,82.9,2470
4171,2008-08-22,80.0,4880
4172,2008-08-25,78.0,3270
4173,2008-08-26,75.5,4785
4174,2008-08-27,75.0,4757
4175,2008-08-28,82.0,1268
4176,2008-09-01,81.9,500
4177,2008-09-02,80.0,3000
4178,2008-09-03,80.0,563
4179,2008-09-05,75.0,2000
4180,2008-09-08,73.0,636
4181,2008-10-20,55.0,4987
4182,2008-10-21,54.9,3130
4183,2008-10-22,53.0,410
4184,2008-10-23,50.0,406
4185,2008-10-24,42.5,901
4186,2008-10-27,42.5,1999
4187,2008-10-28,37.0,2100
4188,2008-10-29,37.0,1150
4189,2008-10-30,36.0,450
