,Date,Close,Volume
7767,2007-01-30,130.0,5000
7768,2007-01-31,136.0,5000
7769,2007-02-06,150.0,1000
7770,2007-05-15,200.0,10220
7771,2007-06-12,215.0,5000
7772,2007-07-08,500.0,4000
7773,2007-07-25,1000.0,1000
7774,2007-08-09,1500.0,9600
7775,2007-08-10,1500.0,7000
7776,2007-08-13,1500.0,4268
7777,2007-08-17,1700.0,760
7778,2007-08-28,2000.0,1950
7779,2007-08-30,2101.0,20
7780,2007-09-04,2150.0,1000
7781,2007-09-12,2450.0,4587
7782,2007-09-13,2430.0,8400
7783,2007-09-19,2430.0,5850
7784,2007-09-25,2430.0,880
7785,2007-09-27,2800.0,3
7786,2007-09-28,2900.0,1000
7787,2007-10-02,2800.0,500
7788,2007-10-05,2700.0,46474
7789,2007-10-12,3000.0,200
7790,2007-10-19,3000.0,3400
7791,2007-10-25,3000.0,3320
7792,2007-11-01,3000.0,7114
7793,2007-11-13,3000.0,3755
7794,2007-11-23,3000.0,1350
7795,2007-12-11,3400.0,2930
7796,2008-01-22,3500.0,1000
7797,2008-02-21,4000.0,26000
7798,2008-03-06,3990.0,2602
7799,2008-03-11,3500.0,900
7800,2008-03-12,3500.0,50
7801,2008-03-13,3500.0,558
7802,2008-03-14,4000.0,10
7803,2008-03-18,3700.0,100
7804,2008-03-21,3700.0,1
7805,2008-03-24,3700.0,110
7806,2008-04-03,3700.0,12
7807,2008-04-04,3700.0,188
7808,2008-04-08,3700.0,500
7809,2008-04-14,3700.0,412
7810,2008-04-22,3700.0,20
7811,2008-04-25,3699.0,31
7812,2008-05-07,3600.0,790
7813,2008-05-16,3588.0,10
7814,2008-05-19,3500.0,20
7815,2008-05-20,3500.0,377
7816,2008-05-21,3500.0,100
7817,2008-05-22,3500.0,93
7818,2008-06-03,3500.0,210
7819,2008-06-11,3300.0,1000
7820,2008-06-30,3000.0,519
7821,2008-07-01,3000.0,1131
7822,2008-07-02,3000.0,2067
7823,2008-07-03,3000.0,1257
7824,2008-07-04,3000.0,109
7825,2008-07-07,3000.0,14967
7826,2008-07-08,3000.0,693514
7827,2008-07-09,3000.0,24595
7828,2008-07-10,3000.0,1513
7829,2008-07-14,3000.0,5
7830,2008-07-15,3000.0,91847
7831,2008-07-16,3000.0,3754
7832,2008-07-17,3000.0,62
7833,2008-07-18,3000.0,130
7834,2008-07-22,3000.0,140
7835,2008-07-23,3000.0,1000
7836,2008-07-25,3000.0,117
7837,2008-07-28,3000.0,2043
7838,2008-07-29,3000.0,1400
7839,2008-07-30,3000.0,4571
7840,2008-07-31,3000.0,4300
7841,2008-08-01,3000.0,3348
7842,2008-08-04,3000.0,290
7843,2008-08-05,2999.0,390
7844,2008-08-06,2999.0,1170
7845,2008-08-11,2700.0,10
7846,2008-08-12,2700.0,1490
7847,2008-08-13,2700.0,101
7848,2008-08-14,2700.0,10
7849,2008-08-15,2600.0,93
7850,2008-08-25,2600.0,520
7851,2008-09-02,2930.0,1
7852,2009-02-11,2295.0,50
7853,2009-02-18,2200.0,300
7854,2009-02-19,2099.0,4800
7855,2009-03-13,2000.0,10
7856,2009-04-21,1950.0,1402
7857,2009-07-15,1800.0,100
7858,2009-07-28,1730.0,2000
7859,2009-08-03,1730.0,1000
7860,2009-08-06,1900.0,3658
7861,2009-08-07,1900.0,10092
7862,2009-08-10,1900.0,274
7863,2009-08-17,1900.0,1000
7864,2009-08-19,1900.0,3384
7865,2009-08-20,1900.0,1299
7866,2009-09-18,1950.0,82
7867,2009-09-21,1850.0,447
7868,2009-09-29,1800.0,9241
7869,2009-10-08,1900.0,300
7870,2009-10-09,1950.0,19252
7871,2009-10-12,1900.0,308
7872,2009-10-13,1900.0,67905
7873,2009-10-16,1900.0,5200
7874,2009-10-28,1800.0,73
7875,2009-11-02,1800.0,8430
7876,2009-11-04,1799.0,2020
7877,2009-11-06,1799.0,2100
7878,2009-11-09,1800.0,19
7879,2009-11-10,1800.0,20
7880,2009-11-24,1798.0,10
7881,2009-11-25,1798.0,10
7882,2009-12-03,1798.0,10
7883,2009-12-08,1700.0,10
7884,2009-12-25,1700.0,2
7885,2009-12-29,1600.0,10
7886,2009-12-30,1600.0,3
7887,2009-12-31,1600.0,1
7888,2010-01-15,1600.0,138
7889,2010-01-25,1600.0,4593
7890,2010-01-26,1700.0,619
7891,2010-01-27,1700.0,2
7892,2010-01-29,1600.0,1750
7893,2010-02-04,1700.0,2
7894,2010-02-09,1700.0,2
7895,2010-02-10,1700.0,60
7896,2010-02-25,1650.0,200000
7897,2010-03-04,1650.0,100
7898,2010-03-05,1750.0,150
7899,2010-03-10,1950.0,17
7900,2010-03-15,1950.0,44
7901,2010-03-17,1950.0,2404
7902,2010-03-18,1950.0,8707
7903,2010-03-23,1950.0,3064
7904,2010-03-26,2200.0,410
7905,2010-04-12,2200.0,295
7906,2010-04-27,2500.0,130
7907,2010-04-28,2530.0,200
7908,2010-04-29,2600.0,1000
7909,2010-04-30,2700.0,800
7910,2010-05-06,2700.0,60
7911,2010-05-13,2600.0,180
7912,2010-05-20,2600.0,238
7913,2010-05-27,2400.0,1256
7914,2010-05-28,2500.0,1000
7915,2010-06-02,2500.0,1320
7916,2010-06-09,2400.0,5
7917,2010-06-14,2400.0,1
7918,2010-06-16,2400.0,24
7919,2010-06-17,2400.0,800
7920,2010-06-18,2400.0,1
7921,2010-07-23,2500.0,319
7922,2010-08-02,2500.0,200
7923,2010-08-05,2500.0,10
7924,2010-08-09,2500.0,2
7925,2010-08-13,2500.0,142
7926,2010-08-23,2500.0,200
7927,2010-08-24,2500.0,654
7928,2010-08-30,2500.0,2
7929,2010-09-01,2500.0,248
7930,2010-09-07,2500.0,2200
7931,2010-09-08,2500.0,194
7932,2010-09-13,2450.0,855
7933,2010-09-20,2450.0,500
7934,2010-09-30,2450.0,3750
7935,2010-10-08,2450.0,265500
7936,2010-10-09,2450.0,265500
7937,2010-10-11,2500.0,500
7938,2010-10-14,2500.0,10041
7939,2010-10-15,2500.0,195
7940,2010-10-18,2600.0,12770
7941,2010-10-19,2500.0,600
7942,2010-10-20,2400.0,50500
7943,2010-10-22,2400.0,2600
7944,2010-11-02,2600.0,100
7945,2010-11-03,2600.0,100
7946,2010-11-04,2450.0,880
7947,2010-11-05,2450.0,324535
7948,2010-11-09,2450.0,500
7949,2010-11-10,2600.0,2
7950,2010-11-17,2355.0,150
7951,2010-12-01,2500.0,150
7952,2010-12-07,2400.0,7309
7953,2010-12-08,2400.0,115
7954,2010-12-09,2400.0,50
7955,2010-12-10,2400.0,4130
7956,2010-12-13,2500.0,756
7957,2010-12-14,2500.0,8
7958,2010-12-16,2500.0,8700
7959,2010-12-20,2500.0,100
7960,2010-12-23,2500.0,39
7961,2010-12-31,2500.0,350
7962,2011-01-03,2500.0,50406
7963,2011-01-04,2700.0,3
7964,2011-01-05,2500.0,725
7965,2011-01-06,2500.0,75
7966,2011-01-07,2500.0,500
7967,2011-01-10,2500.0,2
7968,2011-01-11,2500.0,398
7969,2011-01-12,2500.0,1020
7970,2011-01-13,2500.0,320
7971,2011-01-17,2500.0,5200
7972,2011-01-18,2650.0,463
7973,2011-01-24,2650.0,30
7974,2011-01-25,2680.0,340
7975,2011-01-26,2850.0,257
7976,2011-01-27,3000.0,306
7977,2011-01-28,3000.0,621
7978,2011-01-31,3000.0,8310
7979,2011-02-01,3100.0,1810
7980,2011-02-02,3150.0,480
7981,2011-02-07,3100.0,1141
7982,2011-02-08,3000.0,4261
7983,2011-02-09,3050.0,4000
7984,2011-02-10,3100.0,13580
7985,2011-02-11,3100.0,6300
7986,2011-02-14,3120.0,1038
7987,2011-02-15,3200.0,130
7988,2011-02-16,3200.0,1880
7989,2011-02-17,3305.0,1329
7990,2011-02-18,3800.0,677
7991,2011-02-21,4334.0,2218
7992,2011-02-22,4984.0,3290
7993,2011-02-23,5700.0,3241
7994,2011-02-24,5900.0,5860
7995,2011-02-25,5799.0,542
7996,2011-02-28,5300.0,390
7997,2011-03-01,4750.0,11970
7998,2011-03-02,4250.0,3768
7999,2011-03-03,4200.0,2395
8000,2011-03-09,4200.0,2004
8001,2011-03-10,4100.0,12061
8002,2011-03-14,4200.0,50
8003,2011-03-15,4300.0,70
8004,2011-03-16,4250.0,33
8005,2011-03-17,4250.0,30
8006,2011-03-18,4000.0,2100
8007,2011-03-21,4000.0,1420
8008,2011-03-22,4000.0,245
8009,2011-03-23,4000.0,26332
8010,2011-03-24,3700.0,100
8011,2011-03-25,3800.0,1000
8012,2011-03-29,4000.0,686
8013,2011-03-30,4000.0,20128
8014,2011-03-31,4000.0,1000
8015,2011-04-01,4000.0,1000
8016,2011-04-06,4200.0,15
8017,2011-04-08,4100.0,218
8018,2011-04-11,4100.0,1940
8019,2011-04-15,4000.0,2622
8020,2011-04-22,4000.0,2000
8021,2011-04-25,4050.0,90
8022,2011-04-26,4100.0,176
8023,2011-04-27,4000.0,1876
8024,2011-05-02,4100.0,163
8025,2011-05-03,4150.0,1191
8026,2011-05-04,4150.0,48
8027,2011-05-09,4000.0,1010
8028,2011-05-10,4000.0,435
8029,2011-05-11,4000.0,2293
8030,2011-05-12,4000.0,7000
8031,2011-05-16,4000.0,1000
8032,2011-05-17,4160.0,200
8033,2011-05-20,4000.0,2550
8034,2011-05-24,4000.0,10
8035,2011-05-27,4000.0,700
8036,2011-05-31,4000.0,6760
8037,2011-06-02,4000.0,10
8038,2011-06-03,4000.0,7730
8039,2011-06-07,4000.0,215
8040,2011-06-10,4100.0,100
8041,2011-06-16,4000.0,4400
8042,2011-06-20,4000.0,9
8043,2011-06-21,3900.0,290430
8044,2011-06-23,3900.0,46800
8045,2011-06-30,4100.0,92
8046,2011-07-07,4100.0,1000
8047,2011-07-08,4200.0,500
8048,2011-07-20,4200.0,1600
8049,2011-07-21,4000.0,1420
8050,2011-07-22,4000.0,670
8051,2011-07-25,4100.0,800
8052,2011-07-28,4000.0,30
8053,2011-07-29,4000.0,1980
8054,2011-08-01,4100.0,1300
8055,2011-08-02,4050.0,274
8056,2011-08-03,4050.0,373
8057,2011-08-09,4050.0,125
8058,2011-08-12,4010.0,2145
8059,2011-08-17,4100.0,200
8060,2011-08-18,4001.0,7096
8061,2011-08-19,4100.0,15
8062,2011-08-24,4001.0,1270
8063,2011-08-25,4000.0,400
8064,2011-08-26,4000.0,1822
8065,2011-08-29,4000.0,608
8066,2011-08-30,4000.0,1515
8067,2011-08-31,4000.0,1214
8068,2011-09-01,4000.0,969
8069,2011-09-02,4000.0,1127
8070,2011-09-05,4000.0,500
8071,2011-09-08,4000.0,500
8072,2011-09-09,4001.0,1700
8073,2011-09-12,4600.0,1432
