Date,Close,Volume
2020-06-15,118.0,2849
2020-06-16,114.5,2000
2020-06-17,111.9,3000
2020-06-18,113.84,128204
2020-06-19,113.8,89159
2020-06-22,113.88,5000
2020-06-23,113.0,20
2020-06-26,110.45,593
2020-06-29,112.3,10109
2020-06-30,111.87,369600
2020-07-01,103.95,7000
2020-07-06,112.35,80400
2020-07-07,113.01,80165
2020-07-09,112.78,2900
2020-07-16,112.5,61
2020-07-17,112.44,1108
2020-07-20,110.0,40
2020-07-21,110.0,1000
2020-07-22,102.05,1000
2020-07-23,109.0,100
2020-07-24,109.0,14
2020-07-29,107.98,421780
2020-08-03,108.97,7536
2020-08-04,108.85,18644
2020-08-05,109.7,45158
2020-08-07,113.0,25400
2020-08-10,115.0,4431
2020-08-11,116.72,5843
2020-08-12,118.97,241234
2020-08-13,118.97,5690
2020-08-14,119.9,1
2020-08-17,113.41,31128
2020-08-18,118.97,1
2020-08-19,114.9,10869
2020-08-21,115.0,937
2020-08-24,114.0,9533
2020-08-25,110.04,112
2020-08-26,110.0,8849
2020-08-27,114.0,9000
2020-08-31,113.0,1
2020-09-01,114.65,29493
2020-09-02,115.01,28242
2020-09-03,115.0,46499
2020-09-04,116.0,22000
2020-09-08,113.0,1768
2020-09-10,115.0,623
2020-09-11,115.74,59782
2020-09-15,115.66,24204
2020-09-16,115.3,10005
2020-09-17,115.7,25050
2020-09-18,115.5,15050
2020-09-21,115.15,20000
2020-09-23,115.94,78180
2020-09-24,115.8,10000
2020-09-28,115.8,23849
2020-09-29,111.33,29736
2020-09-30,109.06,53096
2020-10-01,112.98,25005
2020-10-02,112.05,24702
2020-10-05,113.36,29057
2020-10-06,112.74,19883
2020-10-07,112.9,16000
2020-10-08,108.0,1000
2020-10-09,112.9,19115
2020-10-12,113.0,70
2020-10-13,112.0,10
2020-10-14,112.48,37757
2020-10-19,113.5,15100
2020-10-20,113.0,5772212
2020-10-22,110.0,30875
2020-10-23,112.85,24849
2020-10-26,113.0,14777
2020-10-28,113.0,50000
2020-10-29,113.0,10
2020-10-30,114.44,190889
2020-11-02,131.0,12662
2020-11-03,141.46,3160
2020-11-04,141.49,2874
2020-11-05,137.5,609
2020-11-06,135.0,1500
2020-11-09,127.6,475
2020-11-10,121.2,2500
2020-11-11,128.19,7950
2020-11-12,133.99,100
2020-11-17,133.99,200
2020-11-18,130.0,100
2020-11-19,130.0,280
2020-11-20,133.0,624
2020-11-23,132.0,710
2020-11-24,132.09,1200
2020-11-25,132.78,900
2020-11-27,132.0,100
2020-11-30,132.0,10
2020-12-01,131.0,210
2020-12-03,131.73,1100
2020-12-04,129.9,124
2020-12-08,129.0,130
2020-12-09,120.28,639
2020-12-11,130.0,2850
2020-12-14,121.0,8490
2020-12-15,130.06,1647
2020-12-16,130.0,2004
2020-12-17,130.06,1176
2020-12-18,129.98,80
2020-12-21,129.9,7
2020-12-22,130.0,14413
2020-12-23,130.54,1
2020-12-24,130.0,63445
2020-12-25,130.48,7504
2020-12-28,129.59,656743
2020-12-30,126.37,162220
2020-12-31,130.0,123803
2021-01-06,128.0,415
2021-01-07,129.9,86054
2021-01-08,128.0,550
2021-01-11,126.12,5068
2021-01-12,129.99,11
2021-01-13,125.0,51100
2021-01-14,125.0,37367
2021-01-15,124.06,35915
2021-01-18,126.0,71400
2021-01-19,129.99,1500
2021-01-21,126.0,39772
2021-01-22,124.0,16229
2021-01-25,125.0,17603
2021-01-26,128.0,1500
2021-01-28,125.09,41438
2021-01-29,123.0,72803
2021-02-01,124.0,88710
2021-02-03,124.01,91300
2021-02-08,125.0,80000
2021-02-09,125.0,33820
2021-02-10,124.39,5355
2021-02-11,125.0,127150
2021-02-15,124.89,5115
2021-02-16,125.02,9261
2021-02-17,129.66,683906
2021-02-18,137.56,81278
2021-02-19,140.0,12888
2021-02-22,132.18,20289
2021-02-23,132.09,7511
2021-02-24,129.89,69111
2021-02-25,129.16,13240
2021-02-26,130.0,8331
2021-03-01,128.84,7587
2021-03-02,130.0,251
2021-03-03,130.0,1223
2021-03-04,129.05,51314
2021-03-05,129.19,9327
2021-03-09,132.0,1393
2021-03-10,133.0,6585
2021-03-11,129.38,7393
2021-03-12,129.44,1642
2021-03-15,131.0,2808
2021-03-16,130.0,12171
2021-03-17,128.04,13181
2021-03-18,126.23,23285
2021-03-19,128.74,18197
2021-03-22,131.31,1484
2021-03-23,131.0,8507
2021-03-24,131.95,502
2021-03-25,130.68,1564
2021-03-26,132.0,408
2021-03-29,126.17,8143
2021-03-30,127.03,4596
2021-03-31,125.48,5115
2021-04-01,125.5,11642
2021-04-02,125.5,200
2021-04-05,125.0,25668
2021-04-06,124.99,27066
2021-04-12,130.0,710
2021-04-13,130.0,133
2021-04-14,130.0,50
2021-04-15,127.43,3540
2021-04-16,128.0,3045
2021-04-19,126.28,420
2021-04-20,125.4,9734
2021-04-21,124.97,19983
2021-04-22,124.91,3376
2021-04-23,126.0,1756
2021-04-26,125.0,12208
2021-04-27,125.0,650
2021-04-28,125.0,114
2021-04-29,123.0,9190
2021-04-30,125.0,720
2021-05-03,123.81,3062
2021-05-04,125.0,8721
2021-05-05,123.0,11822
2021-05-06,123.0,1024
2021-05-07,122.93,10903
2021-05-10,123.0,70
2021-05-11,125.0,187180
2021-05-13,125.0,14000
2021-05-14,125.0,4520
2021-05-17,125.0,40800
2021-05-18,122.71,500
2021-05-19,127.99,302
2021-05-20,129.69,316735
