Date,Close,Volume
2021-12-14,128.6,286
2021-12-15,127.2,2535
2021-12-16,126.25,12504
2021-12-17,126.7,15265
2021-12-20,126.55,3284
2021-12-21,128.45,3823
2021-12-22,125.85,3914
2021-12-23,127.1,6529
2021-12-24,123.2,704
2021-12-27,126.85,4808
2021-12-28,126.7,823
2021-12-30,125.6,2460
2021-12-31,126.85,2429
2022-01-03,125.5,791
2022-01-04,124.55,2812
2022-01-05,124.65,4995
2022-01-06,122.95,7657
2022-01-07,126.95,1911
2022-01-10,127.75,3810
2022-01-11,128.0,5161
2022-01-12,129.0,2567
2022-01-13,128.9,29636
2022-01-14,125.2,7422
2022-01-17,129.75,2390
2022-01-18,128.25,948
2022-01-19,129.15,1711
2022-01-20,129.0,754
2022-01-21,128.15,8217
2022-01-24,128.15,1785
2022-01-25,127.35,2507
2022-01-26,127.0,42
2022-01-27,127.0,325
2022-01-28,128.0,1140
2022-01-31,127.0,417
2022-02-01,128.85,2872
2022-02-07,128.0,2833
2022-02-08,128.75,3698
2022-02-09,127.15,2377
2022-02-10,128.25,1010
2022-02-11,128.5,3754
2022-02-14,128.45,681
2022-02-15,127.0,5863
2022-02-16,128.15,600
2022-02-18,127.5,1436
2022-02-21,127.95,1204
2022-02-22,127.5,678
2022-02-23,125.0,594
2022-02-24,125.05,412
2022-02-25,125.25,1362
2022-02-28,128.0,3147
2022-03-02,127.15,130
2022-03-03,125.8,370
2022-03-04,125.5,165
2022-03-07,125.3,2100
2022-03-09,125.2,2418
2022-03-10,125.05,1073
2022-03-11,125.0,280
2022-03-14,125.0,204
2022-03-15,125.0,96
2022-03-17,125.0,939
2022-03-18,121.5,5517
2022-03-21,121.65,120
2022-03-22,125.2,199
2022-03-23,124.8,210
2022-03-24,125.0,105
2022-03-25,124.95,373
2022-03-28,125.0,7513
2022-03-29,123.65,455
2022-03-30,121.05,1140
2022-03-31,122.0,5320
2022-04-01,124.7,398
2022-04-04,119.7,3984
2022-04-05,119.75,265
2022-04-06,120.0,45406
2022-04-07,120.0,151
2022-04-08,119.85,2402
2022-04-11,119.85,146
2022-04-12,119.95,6401
2022-04-13,120.0,567
2022-04-15,123.25,41
2022-04-18,119.55,852
2022-04-19,119.8,476
2022-04-20,118.35,3195
2022-04-21,119.8,2010
2022-04-22,117.5,4004
2022-04-25,119.8,3349
2022-04-26,117.55,103
2022-04-27,119.8,84
2022-04-28,116.2,1391
2022-04-29,116.45,159
2022-05-03,116.65,683
2022-05-04,119.8,571
2022-05-05,120.0,1332
2022-05-06,120.0,41
2022-05-09,120.0,115
2022-05-10,117.55,890
2022-05-11,119.95,4
2022-05-12,114.1,1190
2022-05-13,117.35,301
2022-05-16,116.95,81
2022-05-18,115.0,599
2022-05-19,112.65,533
2022-05-20,112.5,150
2022-05-23,112.95,609
2022-05-24,114.95,1883
2022-05-26,114.9,2214
2022-05-27,112.5,42
2022-05-30,111.05,331
2022-05-31,112.5,978
2022-06-02,112.55,57
2022-06-03,111.1,271
2022-06-06,110.15,3547
2022-06-07,108.0,2388
2022-06-08,111.35,149
2022-06-09,108.0,614
2022-06-10,112.8,45
2022-06-13,109.3,81
2022-06-15,108.15,682
2022-06-16,107.2,2566
2022-06-17,106.9,5
2022-06-20,100.15,797
2022-06-21,100.0,360
2022-06-22,96.0,1040
2022-06-23,108.0,3418
2022-06-24,108.95,1488
2022-06-27,109.4,10064
2022-06-28,125.5,4342
2022-06-29,125.0,20
2022-07-05,124.9,2464
2022-07-06,123.45,4476
2022-07-07,124.9,1294
2022-07-08,124.95,3154
2022-07-18,124.85,139
2022-07-19,122.45,1164
2022-07-20,122.5,432
2022-07-21,122.45,40
2022-07-22,120.0,1077
2022-07-25,120.0,61
2022-07-26,120.0,104
2022-07-27,120.0,245
