Date,Close,Volume
2007-01-03,5.0,57
2007-01-24,5.0,39538
2007-01-25,5.0,1
2007-01-29,5.0,58
2007-02-12,5.2,262
2007-06-08,5.0,204071
2007-07-31,5.0,75
2007-08-14,6.0,170
2007-08-23,8.0,25
2007-08-27,8.0,25
2007-08-28,9.0,20
2007-08-29,9.0,40
2007-09-18,9.0,50
2007-09-19,9.0,60
2007-09-26,9.02,25
2007-10-04,9.1,350
2007-10-08,9.3,25
2007-10-18,9.5,160
2007-11-07,9.5,35
2007-12-20,8.51,25
2007-12-27,8.51,26
2007-12-28,9.98,333564
2008-01-14,9.1,25
2008-01-17,9.01,50
2008-01-21,10.36,180029
2008-02-21,10.3,1
2008-03-17,10.0,134
2008-04-03,9.5,35
2008-04-07,9.51,20
2008-04-10,9.5,22
2008-04-11,9.0,58
2008-04-14,9.1,25
2008-04-16,9.1,25
2008-04-23,8.5,25
2008-06-12,8.0,150
2008-07-01,7.5,20
2008-07-31,6.5,97
2008-08-21,6.0,74
2008-10-22,3.5,25
2008-11-19,3.5,100
2009-01-29,3.5,25
2009-08-24,3.45,10
2009-08-26,3.0,10
2009-09-18,3.0,100
2009-10-15,3.45,125
2009-11-03,3.47,625
2009-11-09,3.96,175
2009-11-30,3.5,5
2009-12-07,3.51,175
2009-12-28,3.7,780
2010-03-19,4.0,75
2010-03-23,4.6,45
2010-03-25,5.25,50
2010-04-12,5.25,60
2010-04-15,6.03,65
2010-04-16,6.9,5
2010-04-19,7.51,10
2010-04-21,8.61,75
2010-04-23,9.05,5
2010-04-28,9.9,85
2010-04-30,11.3,40
2010-05-10,12.99,15
2010-05-11,14.9,5
2010-05-12,14.8,25
2010-05-17,16.0,30
2010-05-19,17.1,10
2010-05-20,18.0,180
2010-06-03,18.0,10
2010-06-17,18.0,178
2010-06-18,19.5,20
2010-07-16,19.0,75
2010-07-21,20.9,5
2010-08-23,23.0,10
2010-09-09,25.0,60
2010-09-23,27.0,30
2010-10-07,27.0,128
2010-10-13,23.0,35
2010-10-25,23.0,75
2010-12-20,26.0,5
2010-12-22,29.9,60
2010-12-23,34.3,10
2010-12-24,34.3,20
2010-12-27,39.0,10
2010-12-29,42.0,10
2010-12-31,45.45,10
2011-01-03,47.5,85
2011-01-04,47.5,25
2011-01-05,54.0,10
2011-01-12,60.5,10
2011-01-24,69.55,10
2011-01-27,69.55,75
2011-01-31,70.24,6
2011-02-01,71.01,42
2011-02-02,81.66,135
2011-02-09,92.5,10
2011-02-10,100.01,10
2011-02-11,115.01,5
2011-02-17,130.0,100
2011-02-23,149.5,5
2011-02-25,171.92,15
2011-03-02,197.7,10
2011-03-03,227.35,10
2011-03-10,345.75,25
2011-03-14,397.0,14
2011-03-15,456.55,26
2011-03-22,400.0,28
2011-05-10,340.0,20
2011-05-17,300.0,1
2011-05-18,255.0,1
2011-05-25,216.75,1
2011-05-31,185.0,3
2011-06-03,179.99,7
2011-06-22,174.99,7
2011-06-27,175.0,15
2011-07-01,180.0,40
2011-07-20,153.0,60
2011-07-21,153.0,10
2011-07-22,150.0,25
2011-07-28,149.99,120
2011-08-03,150.0,50
2011-08-05,172.5,12
2011-08-09,198.37,20
2011-08-23,200.0,4
2011-08-30,228.0,3
2011-10-07,199.95,1
2011-10-27,200.0,116
2011-10-28,210.0,25
2011-11-01,220.0,30
2011-11-02,240.0,24
2011-11-04,260.0,20
2011-11-09,290.0,10
2011-11-15,333.5,15
2011-11-16,383.52,1
2011-11-24,350.0,25
2011-11-25,318.5,33
2011-11-30,318.5,42
2011-12-01,330.0,25
2011-12-07,330.0,25
2011-12-08,330.0,25
2011-12-09,330.0,20
2011-12-14,330.0,15
2011-12-15,330.0,16
2011-12-26,325.0,80
2011-12-30,325.0,2
2012-01-19,300.0,123
2012-04-16,240.0,1
2012-04-19,210.0,1
2012-04-26,180.0,4
2012-04-30,178.5,2
2012-05-14,178.0,60
2012-05-16,152.0,22
2012-05-21,129.2,2
2012-05-22,109.91,8
2012-05-24,109.9,10
2012-06-08,100.01,10
2012-06-13,105.01,58
2012-08-21,105.0,2
2012-08-22,105.0,2
2012-08-31,90.0,54
2012-09-03,90.0,15
2012-09-27,90.0,25
2012-09-28,98.2,140
2012-10-01,90.0,49
2012-11-05,90.0,15
2012-11-28,103.5,1
2012-12-21,119.0,2
2013-01-07,136.8,3
2013-01-11,130.0,11
2013-01-23,140.0,5
2013-01-24,149.5,78
2013-01-31,150.0,2
2013-02-01,154.0,71
2013-02-04,160.0,5
2013-02-07,160.0,33
2013-02-08,171.9,2
2013-02-18,197.6,2
2013-02-22,200.0,6
2013-03-01,176.3,67
2013-03-11,170.0,75
2013-03-12,179.0,21
2013-03-14,180.0,50
2013-03-21,160.0,53
2013-03-22,160.0,65
2013-03-26,160.0,25
2013-03-27,160.0,75
2013-03-28,169.0,28
2013-04-03,160.1,10
2013-04-05,160.2,75
2013-04-08,160.1,50
2013-04-09,160.1,25
2013-04-15,170.0,128
2013-04-30,195.0,20
2013-05-17,185.0,28
2013-05-20,177.0,50
2013-06-24,200.6,12
2013-07-15,200.6,32
2013-07-17,230.6,65
2013-07-30,200.6,42
2013-08-23,230.6,2
2013-08-27,201.0,25
2013-09-03,230.0,110
2013-09-05,247.6,8
2013-09-06,231.0,35
2013-09-17,230.0,10
2013-09-30,253.2,20
2013-10-08,280.0,2
2013-10-11,300.0,1
2013-10-15,318.0,25
2013-10-21,365.0,18
2013-10-22,383.0,3
2013-10-23,376.0,50
2013-10-25,400.0,25
2013-11-07,375.0,25
2013-11-08,375.0,75
2013-11-13,381.6,150
2013-11-14,385.0,206
2013-11-18,385.0,210
2013-11-19,385.0,50
2013-11-20,385.0,13
2013-11-21,385.0,45
2013-11-26,350.0,2
2013-11-27,320.0,28
2013-12-12,350.0,10
2013-12-16,385.0,25
2013-12-19,385.0,100
2013-12-20,385.0,9
2013-12-23,420.0,3
2013-12-24,360.0,1
2013-12-25,380.0,2
2014-01-06,364.2,5
2014-01-09,360.0,25
2014-01-13,330.0,85
2014-01-15,330.0,25
2014-01-16,355.0,2
2014-01-17,400.0,652
2014-01-21,400.0,933
2014-01-23,360.0,1
2014-01-27,340.2,3
2014-02-14,390.0,1
2014-02-17,380.0,10
2014-02-18,355.0,1
2014-02-20,355.0,2
2014-02-24,355.2,50
2014-02-28,385.0,161
2014-03-03,373.0,10
2014-03-05,389.6,108
2014-03-07,390.0,100
2014-03-12,390.0,9
2014-03-13,390.0,50
2014-03-19,363.2,100
2014-03-20,400.0,370
2014-03-21,410.0,115
2014-03-25,371.0,75
2014-03-31,410.0,35
2014-04-01,438.0,84
2014-04-02,450.0,2
2014-04-03,500.0,1
2014-04-04,570.0,1
2014-04-07,569.0,2
2014-04-08,490.0,3
2014-04-09,419.2,148
2014-04-14,404.8,23
2014-04-23,465.2,15
2014-04-28,420.8,1
2014-05-07,421.2,35
2014-05-08,450.0,21
2014-05-09,500.0,1
2014-05-14,465.2,2
2014-05-16,408.0,75
2014-05-19,359.0,75
2014-06-02,400.0,50
2014-06-03,400.0,2
2014-06-04,400.0,108
2014-06-05,400.0,3
2014-06-06,400.0,2
2014-06-09,400.0,2
2014-06-16,398.4,100
2014-06-17,400.0,11
2014-06-18,400.0,9
2014-06-19,400.0,25
2014-06-27,400.0,4
2014-06-30,400.0,24
2014-07-02,399.8,100
2014-07-03,400.0,40
2014-07-04,350.0,100
2014-07-07,402.4,14
2014-07-10,440.0,4
2014-07-18,400.0,36
2014-07-22,386.0,15
2014-07-23,386.0,10
2014-07-30,400.0,30
2014-07-31,400.0,23
2014-08-08,400.0,5
2014-08-11,401.2,100
2014-08-14,410.0,123
2014-08-20,420.0,26
