Date,Close,Volume
2021-11-15,225.74,516935
2021-11-16,222.28,543695
2021-11-17,210.05,431867
2021-11-18,208.82,684996
2021-11-19,211.61,464528
2021-11-22,218.16,648821
2021-11-23,214.33,253098
2021-11-24,210.69,40257
2021-11-25,209.96,99912
2021-11-29,208.92,438270
2021-11-30,208.24,139570
2021-12-01,207.31,289265
2021-12-02,208.28,91142
2021-12-03,207.65,172649
2021-12-06,207.94,100195
2021-12-07,206.89,315123
2021-12-08,206.02,160150
2021-12-09,206.11,156367
2021-12-10,206.46,57822
2021-12-13,206.26,241007
2021-12-14,206.9,134977
2021-12-15,207.44,193876
2021-12-16,198.49,75275
2021-12-17,207.0,51414
2021-12-20,205.0,215812
2021-12-21,206.22,76455
2021-12-22,199.77,102439
2021-12-23,199.13,90166
2021-12-24,202.04,39869
2021-12-27,199.16,62335
2021-12-28,201.96,205884
2021-12-30,204.39,144566
2021-12-31,207.01,187405
2022-01-03,203.24,76623
2022-01-04,205.0,75027
2022-01-05,203.98,22348
2022-01-06,203.0,99966
2022-01-07,202.05,71035
2022-01-10,201.2,255732
2022-01-11,199.6,144012
2022-01-12,200.45,79500
2022-01-13,201.27,218594
2022-01-14,199.16,112905
2022-01-17,199.0,41530
2022-01-18,194.63,31778
2022-01-19,194.81,37308
2022-01-20,194.8,32762
2022-01-21,194.8,23405
2022-01-24,194.66,78663
2022-01-25,193.99,80475
2022-01-26,192.86,69506
2022-01-27,190.86,152780
2022-01-28,192.55,46546
2022-01-31,192.99,52825
2022-02-01,193.51,38135
2022-02-07,193.52,95220
2022-02-08,193.03,63548
2022-02-09,192.93,66790
2022-02-10,193.0,36456
2022-02-11,193.4,49587
2022-02-14,193.2,47058
2022-02-15,193.2,35463
2022-02-16,193.3,80680
2022-02-18,192.98,140656
2022-02-21,192.51,109544
2022-02-22,190.18,117857
2022-02-23,189.47,66807
2022-02-24,185.47,59786
2022-02-25,180.49,58955
2022-02-28,172.81,63231
2022-03-01,179.08,125457
2022-03-02,179.4,173516
2022-03-03,180.07,222294
2022-03-04,180.21,20487
2022-03-07,179.45,81373
2022-03-09,175.19,29575
2022-03-10,177.03,46687
2022-03-11,179.2,114504
2022-03-14,175.0,36067
2022-03-15,175.0,83982
2022-03-16,178.85,52774
2022-03-17,177.7,11486
2022-03-18,179.0,34071
2022-03-21,178.31,95369
2022-03-22,176.68,46241
2022-03-23,177.05,83116
2022-03-24,179.0,64808
2022-03-25,179.26,102337
2022-03-28,179.0,43050
2022-03-29,175.03,51069
