,Date,Close,Volume
50802,2024-02-28,3230.0,31
51050,2024-03-11,3230.0,66
51988,2024-04-05,3284.0,67
52040,2024-04-08,3235.0,2
52090,2024-04-09,3235.0,3
52225,2024-04-12,3463.0,105
52366,2024-04-17,3714.0,3
52410,2024-04-18,3233.0,69
52547,2024-04-23,3250.0,28
52694,2024-04-26,3250.0,1
52743,2024-04-29,3250.0,73
52842,2024-05-01,3712.0,10
52888,2024-05-02,3711.0,5
52936,2024-05-03,3712.0,28
53125,2024-05-09,3251.0,13
53170,2024-05-10,3250.0,12
53220,2024-05-13,3215.0,418
53911,2024-06-04,3001.0,1
54303,2024-06-17,3125.0,2
54431,2024-06-20,3125.0,30
54512,2024-06-24,3125.0,18
54936,2024-07-09,3400.0,2
55699,2024-08-07,3200.0,31
56088,2024-08-20,3200.0,8
56170,2024-08-22,3300.0,5
56218,2024-08-23,3208.0,78
56815,2024-09-11,3689.0,78
57382,2024-09-27,3689.0,3
57429,2024-09-30,3650.0,1
57571,2024-10-04,3325.0,22
57752,2024-10-10,3350.0,130
57974,2024-10-18,3350.0,15
58018,2024-10-21,3330.0,27
58152,2024-10-24,3350.0,28
58199,2024-10-25,3500.0,5
58420,2024-11-01,3400.0,54
58516,2024-11-05,3470.0,77
58701,2024-11-11,3400.0,2
59441,2024-12-04,3394.0,404
60151,2025-01-02,3394.0,34
60336,2025-01-08,3400.0,62
60380,2025-01-09,3400.0,40
60731,2025-01-20,3400.0,65
60789,2025-01-21,3903.0,165
60944,2025-01-24,4488.0,3
61054,2025-01-28,4480.0,1
61164,2025-01-30,4480.0,1
61263,2025-02-03,4480.0,2
61575,2025-02-11,3824.0,16
61844,2025-02-18,4000.0,260
61947,2025-02-20,4397.0,5
62051,2025-02-24,4397.0,1
62407,2025-03-10,4380.0,2
62455,2025-03-11,4100.0,1
62551,2025-03-13,4112.0,70
62597,2025-03-14,4380.0,6
62832,2025-03-21,4055.0,50
62878,2025-03-24,4055.0,28
63017,2025-03-27,4380.0,1
63110,2025-03-31,4380.0,39
63160,2025-04-01,4550.0,14
63206,2025-04-02,4550.0,6
63252,2025-04-03,4550.0,8
63354,2025-04-07,4600.0,1
63408,2025-04-08,4550.0,10
63458,2025-04-09,4550.0,3
63982,2025-04-24,4010.0,48
64209,2025-05-01,4200.0,99
64260,2025-05-02,4200.0,2
64312,2025-05-05,4830.0,20
