Date,Close,Volume
2018-06-20,634.69,61879
2018-06-21,669.33,64679
2018-06-22,671.6,67219
2018-06-25,640.0,66649
2018-06-26,659.19,17129
2018-06-27,657.82,13720
2018-06-28,644.15,29132
2018-06-29,650.0,27649
2018-07-02,654.98,18429
2018-07-03,654.83,9744
2018-07-04,647.8,8957
2018-07-05,643.44,16014
2018-07-06,640.0,18927
2018-07-09,650.41,57716
2018-07-10,653.0,100
2018-07-16,640.0,2300
2018-07-17,640.0,9076
2018-07-18,642.27,8507
2018-07-19,640.0,1000
2018-07-20,640.52,10342
2018-07-23,641.66,11732
2018-07-24,639.0,18314
2018-07-25,623.7,3000
2018-07-26,613.31,18499
2018-07-27,591.92,13
2018-07-30,593.67,4656
2018-07-31,599.0,2500
2018-08-01,610.0,500
2018-08-02,610.0,363
2018-08-03,608.0,100
2018-08-06,565.61,1874
2018-08-07,557.97,4402
2018-08-10,605.0,1
2018-08-13,605.0,49
2018-08-14,606.54,2570
2018-08-15,609.0,1
2018-08-16,600.0,303
2018-08-17,570.0,4684
2018-08-20,600.0,1811
2018-08-21,580.0,650
2018-08-22,585.55,1217
2018-08-23,580.05,4023
2018-08-24,594.13,8087
2018-08-27,614.88,26891
2018-08-28,645.91,13572
2018-08-29,663.01,20563
2018-08-30,640.3,11685
2018-08-31,636.9,2843
2018-09-03,622.36,48873
2018-09-04,642.83,7529
2018-09-05,653.91,13701
2018-09-06,652.31,1362
2018-09-07,610.0,7147
2018-09-10,645.03,21679
2018-09-11,645.19,1196
2018-09-12,620.0,1200
2018-09-13,650.22,8114
2018-09-14,650.0,72551
2018-09-17,621.21,1539
2018-09-19,622.41,1555
2018-09-20,625.27,188
2018-09-21,613.97,18352
2018-09-24,618.96,101
2018-09-25,585.45,29418
2018-09-26,581.47,750
2018-09-27,585.34,1106
2018-09-28,585.0,2350
2018-10-01,591.29,23218
2018-10-02,620.0,3083
2018-10-03,620.0,1224
2018-10-04,619.5,20
2018-10-05,591.63,1010
2018-10-08,596.9,17043
2018-10-09,620.0,10535
2018-10-10,587.89,1860
2018-10-11,619.95,435
2018-10-12,590.0,100
2018-10-15,618.0,400
2018-10-16,592.48,3021
2018-10-18,590.0,450
2018-10-19,590.97,591
2018-10-23,600.0,11232
2018-10-24,580.05,7347
2018-10-25,560.1,3143
2018-10-29,599.0,259
2018-10-30,555.39,3217
2018-10-31,550.24,8769
2018-11-01,560.0,1074
2018-11-02,580.0,18
2018-11-05,541.17,1988
2018-11-06,560.0,461
2018-11-07,539.0,5168
2018-11-12,530.71,1373
2018-11-13,525.0,9989
2018-11-14,555.06,9831
2018-11-15,569.0,4460
2018-11-19,560.0,6328
2018-11-20,559.89,8711
2018-11-21,604.0,233065
2018-11-22,600.0,3153
2018-11-23,590.0,1614
2018-11-27,557.0,4692
2018-11-28,590.0,560
2018-12-03,580.0,7
2018-12-04,580.0,4
2018-12-05,570.0,10
2018-12-06,553.04,1000
2018-12-12,560.0,350
2018-12-14,560.0,3106
2018-12-18,560.0,8536
2018-12-20,580.1,390
2018-12-21,582.0,20
2018-12-25,563.19,470
2018-12-26,570.0,744
2018-12-31,580.0,20
2019-01-03,580.0,350
2019-01-04,580.0,15
2019-01-08,550.0,4213
2019-01-09,550.0,5887
2019-01-14,546.0,10000
2019-01-15,548.85,35846
2019-01-17,542.0,1312
2019-01-18,550.0,13894
2019-01-21,550.0,4640
2019-01-22,540.0,3000
2019-01-23,550.0,16796
2019-01-24,541.06,3592
2019-01-25,540.03,1739
2019-01-28,540.0,74
2019-01-29,540.0,2472
2019-01-30,529.0,1070
2019-01-31,520.01,2370
2019-02-01,529.57,18146
2019-02-11,540.0,648
2019-02-12,560.0,580
2019-02-13,581.23,5538
2019-02-14,550.5,3959
2019-02-18,570.0,20
2019-02-19,531.0,600
2019-02-20,560.0,5348
2019-02-22,547.67,150
2019-02-25,530.67,1500
2019-02-26,542.8,900
2019-02-27,530.04,336
2019-02-28,519.68,7438
2019-03-05,531.31,2546
2019-03-06,556.11,2759
2019-03-11,532.09,9710
2019-03-12,533.77,1295
2019-03-14,550.0,32584
2019-03-15,550.5,200
2019-03-18,530.0,900
2019-03-19,519.94,715
2019-03-20,519.0,5848
2019-03-21,530.0,355
2019-03-25,534.34,525
2019-03-26,517.64,4256
2019-03-27,539.0,100
2019-03-28,517.5,453
2019-03-29,515.1,2
2019-04-02,520.0,685
2019-04-03,511.83,1953
2019-04-04,515.0,283
2019-04-05,509.0,926
2019-04-09,498.41,909
2019-04-10,515.75,144
2019-04-11,507.34,481
2019-04-12,495.0,4855
2019-04-15,490.0,10
2019-04-16,490.03,20
2019-04-17,491.0,30
2019-04-18,500.0,1090
2019-04-19,488.15,1497
2019-04-22,494.0,10
2019-04-23,494.0,200
2019-04-24,460.0,1076
2019-04-25,460.0,30
2019-05-03,465.0,900
2019-05-06,454.92,113
2019-05-08,487.0,28
2019-05-14,484.0,2
2019-05-15,515.0,15431
2019-05-16,535.0,3225
2019-05-20,535.0,109
2019-05-21,510.42,1516
2019-05-23,500.25,2051
2019-05-27,519.0,650
2019-05-28,519.0,52
2019-05-29,500.0,100
2019-06-04,490.0,120
2019-06-05,475.1,1048
2019-06-07,490.0,50
2019-06-10,490.0,364
2019-06-11,485.0,695
2019-06-12,480.0,2289
2019-06-13,470.0,10000
2019-06-14,479.0,20
2019-06-17,475.0,2531
2019-06-18,479.5,7120
2019-06-19,477.29,72
2019-06-20,480.0,3582
2019-06-24,475.0,2508
2019-06-25,471.0,1702
2019-06-28,488.0,376
2019-07-02,488.0,30
2019-07-03,488.0,770
2019-07-04,475.0,390
2019-07-05,449.01,2037
2019-07-10,488.0,30
2019-07-16,488.0,200
2019-07-22,488.0,200
2019-07-23,461.63,2830
2019-07-24,489.32,7914
2019-07-25,478.39,1461
2019-07-26,478.4,500
2019-07-29,504.53,2948
2019-07-30,480.1,7166
2019-08-02,534.0,10
2019-08-05,538.29,1207
2019-08-07,530.63,1700
2019-08-08,532.95,10322
2019-08-09,512.0,386
2019-08-12,530.0,856
2019-08-13,519.0,2600
2019-08-14,518.08,1084
2019-08-15,527.69,4848
2019-08-16,515.76,3210
2019-08-20,515.0,204
2019-08-21,505.0,703
2019-08-23,510.0,770
2019-08-26,510.0,1773
2019-08-27,510.0,440
2019-08-28,500.0,400
2019-09-04,509.0,1
2019-09-05,481.1,250
2019-09-09,452.07,1948
2019-09-17,500.0,5
2019-09-20,498.18,55
2019-09-24,460.28,4565
2019-09-25,460.0,928
2019-09-27,510.0,200
2019-10-01,464.73,534
2019-10-02,500.0,190
2019-10-03,500.0,100
2019-10-04,500.0,76
2019-10-07,480.0,1
2019-10-08,480.0,101
2019-10-09,461.17,1149
2019-10-10,475.0,95
2019-10-11,480.0,5
2019-10-14,460.0,1500
2019-10-16,499.0,400
2019-10-17,499.0,90
2019-10-21,452.2,1639
2019-10-24,455.03,2420
2019-10-28,455.0,2000
2019-10-29,455.01,5062
2019-10-30,460.0,181
2019-11-05,460.0,461
2019-11-06,469.38,16124
2019-11-07,490.0,113
2019-11-08,466.0,755
2019-11-11,465.0,285
2019-11-13,466.0,100
2019-11-20,470.0,1950
2019-11-21,470.0,3
2019-11-22,480.0,700
2019-11-25,480.0,450
2019-11-29,484.62,5394
2019-12-10,480.0,280
2019-12-11,466.5,6203
2019-12-12,480.0,10
2019-12-18,475.0,357
2019-12-19,475.5,20
2019-12-20,475.0,893
2019-12-24,460.0,3060
2019-12-25,460.0,266
2019-12-26,460.0,53
2019-12-27,460.0,650
2019-12-30,460.0,50
2019-12-31,470.0,350
2020-01-03,470.0,380
2020-01-07,465.0,410
2020-01-08,469.84,2843
2020-01-10,470.0,4158
2020-01-13,470.0,188
2020-01-14,466.4,787
2020-01-15,470.0,111
2020-01-16,472.32,1601
2020-01-17,475.0,4
2020-01-20,471.0,500
2020-01-21,475.0,610
2020-01-22,475.0,110
2020-01-23,453.55,5265
2020-01-27,479.0,10
2020-01-28,468.0,1318
2020-01-29,479.0,519
2020-01-30,479.48,25
2020-02-04,477.33,1630
2020-02-05,519.0,2117
2020-02-06,549.45,5383
2020-02-07,550.0,234
2020-02-10,543.41,835
2020-02-11,563.52,7100
2020-02-12,569.0,5973
2020-02-13,567.0,71
2020-02-14,560.0,119
2020-02-17,555.71,1320
2020-02-18,562.25,2865
2020-02-19,555.5,50
2020-02-20,556.02,7835
2020-02-27,550.0,361
2020-03-02,512.0,820
2020-03-03,549.0,144
2020-03-04,549.0,50
2020-03-06,530.0,9300
2020-03-12,480.01,1
2020-03-13,480.0,4850
2020-03-17,540.0,3
2020-03-18,540.0,220
2020-03-20,525.0,800
2020-03-23,518.0,80
2020-03-24,500.0,320
2020-03-25,475.41,1545
2020-03-26,484.35,13882
2020-03-30,470.21,599
2020-03-31,500.1,23434
2020-04-02,514.0,201
2020-04-03,500.0,903
2020-04-06,495.65,2986
2020-04-10,480.0,2600
2020-04-14,490.0,208
2020-04-16,500.0,7120
2020-04-17,500.0,60
2020-04-20,510.0,100
2020-04-21,508.0,216
2020-04-24,505.0,288
2020-04-30,508.0,68
2020-05-01,508.0,32
2020-05-07,470.0,13349
2020-05-15,509.5,200
2020-05-18,515.3,1026
2020-05-19,515.0,9299
2020-05-22,518.0,11
2020-05-26,516.31,2354
2020-05-27,520.0,544
2020-05-28,520.0,500
2020-05-29,528.93,1452
2020-06-02,546.67,258
2020-06-03,600.0,10
2020-06-04,590.0,421
2020-06-08,610.0,10
2020-06-09,610.0,95
2020-06-10,600.0,100
2020-06-11,582.9,2969
2020-06-12,560.59,611
2020-06-16,569.14,1101
2020-06-17,560.0,1200
2020-06-19,560.0,1712
2020-06-22,558.86,2240
2020-06-25,562.61,170
2020-06-26,590.0,74
2020-06-29,598.31,11909
2020-06-30,610.0,32990
2020-07-01,610.0,1304
2020-07-02,660.0,7747
2020-07-03,660.0,55
2020-07-06,650.0,4973
2020-07-07,700.0,18787
2020-07-08,801.09,20009
2020-07-09,740.0,2839
2020-07-10,750.0,12734
2020-07-16,750.65,27500
2020-07-17,770.5,1129
2020-07-20,775.0,1320
2020-07-21,793.67,8070
2020-07-22,798.01,12599
2020-07-23,780.23,10365
2020-07-24,795.0,8493
2020-07-27,800.0,8856
2020-07-28,810.0,25207
2020-07-29,824.0,33466
2020-07-30,849.49,4905
2020-07-31,896.2,5325
2020-08-03,1021.0,17992
2020-08-04,1022.0,14280
2020-08-05,969.06,5367
2020-08-06,930.91,2755
2020-08-07,922.43,10045
2020-08-10,850.03,4427
2020-08-11,807.07,15553
2020-08-12,817.01,1815
2020-08-13,857.0,246
2020-08-14,985.0,36875
2020-08-17,1003.0,50696
2020-08-18,973.93,2755
2020-08-19,871.56,6489
2020-08-20,866.41,4260
2020-08-21,913.0,1718
2020-08-24,897.43,505
2020-08-25,865.27,7444
2020-08-26,852.2,6664
2020-08-27,858.57,7447
2020-08-28,870.0,19
2020-08-31,878.17,585
2020-09-01,884.0,2820
2020-09-02,885.15,2425
2020-09-03,890.0,206
2020-09-04,884.99,7715
2020-09-07,850.87,762
2020-09-08,860.0,10710
2020-09-09,880.0,19124
2020-09-10,879.0,2128
2020-09-11,850.05,1850
2020-09-14,877.0,82
2020-09-15,870.6,3254
2020-09-16,862.21,241
2020-09-17,870.0,30
2020-09-18,852.1,699
2020-09-21,865.0,30
2020-09-22,870.1,2653
2020-09-23,864.53,16039
2020-09-24,865.0,4238
2020-09-25,865.0,66
2020-09-28,865.0,6985
2020-09-29,865.0,9303
2020-09-30,865.0,100
2020-10-01,865.0,1700
2020-10-02,880.0,602
2020-10-05,850.49,6333
2020-10-07,865.55,2147
2020-10-08,853.0,1492
2020-10-09,880.0,1
2020-10-12,852.64,4313
2020-10-13,850.0,150
2020-10-14,888.0,5911
2020-10-16,888.18,128
2020-10-19,888.0,10
2020-10-20,888.0,400
2020-10-21,847.03,206
2020-10-22,851.0,550
2020-10-26,888.0,52
2020-10-27,888.0,422
2020-10-28,886.95,586
2020-10-29,885.0,150
2020-10-30,851.82,600
2020-11-02,850.0,1427
2020-11-03,844.34,1350
2020-11-04,851.58,1460
2020-11-05,860.0,3849
2020-11-06,860.0,687
2020-11-10,850.39,9180
2020-11-12,859.0,33
2020-11-13,850.11,250
2020-11-17,861.04,7889
2020-11-18,865.0,1045
2020-11-19,850.02,4497
2020-11-20,860.0,958
2020-11-23,852.23,5148
2020-11-24,864.0,1632
2020-11-25,848.51,11512
2020-11-27,850.0,2001
2020-11-30,851.0,277
2020-12-01,850.15,3914
2020-12-02,850.0,8058
2020-12-03,846.98,117
2020-12-04,838.39,900
2020-12-08,840.0,77
2020-12-09,825.43,4941
2020-12-10,840.0,180
2020-12-11,847.67,171
2020-12-14,847.0,233
2020-12-15,847.0,23
2020-12-16,832.01,2598
2020-12-18,834.57,2614
2020-12-21,849.59,2610
2020-12-22,850.26,7331
2020-12-23,859.73,1008
2020-12-24,860.0,5371
2020-12-25,850.0,3247
2020-12-28,859.0,1566
2020-12-30,858.0,2442
2020-12-31,858.0,9508
2021-01-04,862.15,2157
2021-01-05,876.08,4080
2021-01-06,863.29,305
2021-01-07,903.07,5482
2021-01-08,997.02,3356
2021-01-11,978.54,13959
2021-01-12,971.94,5943
2021-01-13,963.42,23372
2021-01-14,957.06,81
2021-01-15,915.85,94
2021-01-18,864.95,5803
2021-01-19,890.39,732
2021-01-20,969.4,6911
2021-01-21,969.18,979
2021-01-22,950.0,4
2021-01-25,950.0,556
2021-01-26,950.03,2069
2021-01-27,970.0,3
2021-01-28,938.14,10857
2021-01-29,972.99,436
2021-02-01,960.0,1894
2021-02-02,998.46,7424
2021-02-03,990.0,16
2021-02-04,950.46,600
2021-02-05,990.0,2689
2021-02-08,962.76,520
2021-02-09,970.0,43
2021-02-10,975.61,8388
2021-02-11,980.0,82
2021-02-15,978.86,378
2021-02-16,987.33,5445
2021-02-17,976.31,6303
2021-02-18,979.5,2021
2021-02-19,979.5,2239
2021-02-22,963.26,3025
2021-02-23,978.0,20862
2021-02-24,979.0,43833
2021-02-25,977.82,2323
2021-02-26,986.5,6485
2021-03-01,970.35,5732
2021-03-02,952.37,66819
2021-03-03,951.03,6222
2021-03-04,959.94,2870
2021-03-05,951.22,1475
2021-03-09,962.81,470
2021-03-10,970.0,246
2021-03-11,970.0,3562
2021-03-12,970.0,8622
2021-03-15,964.54,5385
2021-03-16,968.66,1122
2021-03-17,964.9,1099
2021-03-18,949.82,4762
2021-03-19,964.9,142
2021-03-22,960.0,1550
2021-03-23,936.44,3110
2021-03-24,936.37,3410
2021-03-25,950.0,3394
2021-03-26,949.72,2396
2021-03-29,950.0,2660
2021-03-30,936.74,800
2021-03-31,925.0,1031
2021-04-01,925.13,3567
2021-04-02,945.0,234
2021-04-05,935.0,6657
2021-04-06,935.99,6786
2021-04-07,925.01,1714
2021-04-08,916.4,3485
2021-04-09,925.05,969
2021-04-12,921.16,2650
2021-04-13,945.0,8762
2021-04-14,945.0,3659
2021-04-15,939.81,5449
2021-04-16,940.0,1495
2021-04-19,919.04,8676
2021-04-20,855.82,15371
2021-04-21,920.0,3788
2021-04-22,879.75,730
2021-04-23,913.42,1581
2021-04-26,909.57,2977
2021-04-27,929.93,2155
2021-04-28,910.0,1042
2021-04-29,910.0,170
2021-04-30,896.0,4220
2021-05-03,920.0,273
2021-05-04,910.0,2773
2021-05-05,895.79,6780
2021-05-06,895.73,500
2021-05-07,902.09,832
2021-05-10,914.62,2446
2021-05-11,900.0,2043
2021-05-12,895.12,3241
2021-05-13,867.25,2825
2021-05-17,890.0,810
2021-05-18,899.34,1948
2021-05-19,900.0,1844
2021-05-20,899.88,418
2021-05-21,881.71,1682
2021-05-24,885.0,14387
2021-05-25,910.0,619
2021-05-27,867.63,1688
