Date,Close,Volume
2024-02-23,15180.0,24
2024-02-27,13220.0,140
2024-03-27,13900.0,1
2024-03-28,15900.0,1
2024-03-29,13900.0,1
2024-05-02,13500.0,9
2024-06-24,13500.0,2
2024-07-16,13000.0,15
2024-08-27,14950.0,11
2024-09-02,15500.0,14
2024-09-16,15500.0,3
2024-09-17,15500.0,1
2024-09-18,15500.0,1
2024-09-19,15500.0,2
2024-09-23,15500.0,1
2024-09-25,15500.0,5
2024-10-07,17800.0,2
2024-10-16,19500.0,9
2024-10-18,19900.0,1
2024-11-01,19900.0,1
2024-11-04,19900.0,6
2024-11-05,22880.0,2
2024-11-08,26300.0,3
2024-11-12,27000.0,5
2024-11-13,26720.0,5
2024-11-14,26300.0,1
2024-11-15,26900.0,7
2024-11-18,,9
2024-11-19,26960.0,2
2024-11-20,26900.0,2
2024-11-21,26900.0,2
2024-12-18,22880.0,4
2024-12-23,25200.0,4
2024-12-27,22880.0,28
2024-12-30,22800.0,2
2025-01-20,19800.0,7
2025-01-24,20000.0,11
2025-02-04,17000.0,31
2025-02-05,17100.0,30
2025-02-07,17110.0,1
2025-02-18,19550.0,1
2025-02-21,19550.0,7
2025-02-24,16710.0,4
2025-03-13,19210.0,1
2025-03-14,21000.0,1
2025-03-17,21000.0,12
2025-03-18,21000.0,2
2025-03-19,21000.0,4
2025-03-27,17900.0,17
2025-04-04,17900.0,11
2025-04-14,18000.0,1
2025-04-15,17900.0,2
2025-04-16,17900.0,1
2025-04-18,17700.0,4
2025-04-22,17700.0,4
2025-04-24,15100.0,30
2025-04-28,14870.0,29
2025-04-30,17100.0,11
2025-05-07,17100.0,2
2025-05-09,17100.0,2
