Date,Close,Volume
2024-03-28,132.99,19
2024-04-05,135.0,100
2024-04-11,137.0,1880
2024-04-25,137.0,31
2024-04-26,135.0,185180
2024-05-21,117.0,399
2024-05-22,116.45,2599
2024-05-27,115.0,1
2024-05-31,114.8,129
2024-06-05,105.66,500
2024-06-26,115.0,500
2024-07-01,115.0,50
2024-07-03,118.15,2109
2024-07-04,130.0,2
2024-07-05,130.0,61
2024-07-16,110.68,726
2024-07-19,108.01,300
2024-07-24,105.0,2302
2024-07-25,105.0,32567
2024-07-29,120.75,1
2024-07-31,120.7,83
2024-08-15,105.0,27733
2024-08-16,105.03,33056
2024-08-20,105.0,9072
2024-08-30,119.07,37
2024-09-11,119.0,1
2024-09-12,119.02,50
2024-09-17,119.0,100
2024-09-23,119.0,100
2024-10-15,118.0,8729022
2024-10-16,118.77,13093907
2024-10-18,117.0,505
2024-10-31,118.77,507
2024-11-04,118.78,220
2024-11-06,118.77,117
2024-11-11,118.76,271
2024-11-15,118.12,60
2024-11-19,110.55,12070
2024-11-20,118.8,1
2024-11-22,118.0,314197
2024-11-25,118.0,25449
2024-11-27,118.7,9
2024-12-02,118.79,5
2024-12-03,118.82,873
2024-12-04,118.21,7801
2024-12-05,118.22,7321
2024-12-09,135.0,1
2024-12-19,118.25,9984
2024-12-23,118.2,10001
2024-12-26,135.0,1
2025-01-06,134.9,180
2025-01-09,134.89,10
2025-01-14,134.89,10
2025-01-24,134.84,4
2025-02-03,134.0,5
2025-02-04,133.11,45
2025-02-07,133.0,6
2025-02-10,133.0,13
2025-02-11,133.0,208
2025-02-12,133.05,226
2025-02-13,134.0,5
2025-02-14,134.0,46
2025-02-17,134.0,31
2025-02-18,134.0,15
2025-02-20,134.0,10
2025-02-21,134.0,25
2025-02-24,137.18,85
2025-02-25,134.0,13
2025-02-26,133.9,80
2025-02-28,133.9,85
2025-03-06,133.9,18
2025-03-07,133.9,35
2025-03-10,114.0,2337
2025-03-13,131.0,10
2025-03-19,131.0,10
2025-04-07,127.0,257
2025-04-09,126.0,2
2025-04-10,126.0,20
2025-04-11,127.0,13
2025-04-14,112.0,535
2025-04-21,111.93,480
2025-04-22,110.0,1000
