Date,Close,Volume
2023-04-11,53.24,5230955
2023-04-12,51.45,477559
2023-04-13,50.53,148032
2023-04-14,53.06,1305813
2023-04-17,53.04,18573
2023-04-18,53.23,103735
2023-04-19,53.5,120525
2023-04-20,53.0,37433
2023-04-21,52.21,19062
2023-04-24,53.25,112336
2023-04-25,53.01,48872
2023-04-26,53.0,13748
2023-04-27,53.45,87017
2023-04-28,53.49,27481
2023-05-01,52.94,112855
2023-05-02,53.43,888727
2023-05-03,53.14,567733
2023-05-04,53.2,177278
2023-05-05,53.19,11223
2023-05-08,53.21,126472
2023-05-09,53.22,35331
2023-05-10,53.0,110733
2023-05-11,53.15,7614
2023-05-12,52.81,245500
2023-05-15,52.67,87980
2023-05-16,52.76,213627
2023-05-17,52.81,412796
2023-05-18,52.08,67113
2023-05-19,52.91,169494
2023-05-22,52.91,38855
2023-05-23,52.88,115897
2023-05-24,52.88,38064
2023-05-25,52.9,101039
2023-05-26,52.85,4027
2023-05-29,52.73,104065
2023-05-30,52.73,431574
2023-05-31,52.9,94512
2023-06-02,53.0,181193
2023-06-05,53.0,139346
2023-06-06,52.33,149402
2023-06-07,53.0,102735
2023-06-08,52.95,72513
2023-06-09,53.0,3010
2023-06-12,53.0,141091
2023-06-13,53.12,316992
2023-06-14,53.2,3080
2023-06-15,53.15,3520
2023-06-16,52.3,84199
2023-06-19,53.06,244870
2023-06-20,53.19,19944
2023-06-21,52.1,53556
2023-06-22,53.2,5290
2023-06-23,53.0,52803
2023-06-26,52.0,75570
2023-06-27,52.04,15429
2023-06-28,51.99,6479
2023-06-29,50.32,24139
2023-06-30,51.03,14683
2023-07-03,50.95,24232
2023-07-04,50.06,21608
2023-07-05,51.0,35175
2023-07-06,51.48,20964
2023-07-07,53.0,27934
2023-07-17,53.0,25283
2023-07-18,52.82,29880
2023-07-19,52.1,33018
2023-07-20,51.51,13366
2023-07-21,51.7,12039
2023-07-24,50.91,6301
2023-07-25,50.0,6218
2023-07-26,49.99,73927
2023-07-27,51.0,5718
2023-07-28,50.99,12288
2023-07-31,50.99,6110
2023-08-01,48.59,10338
2023-08-02,50.93,5643
2023-08-03,48.49,23221
2023-08-04,50.0,14886
