Date,Open,High,Low,Close,Volume
2022-01-03,2899.94,2931.96,2883.53,2897.04,1368200
2022-01-04,2910.54,2913.00,2831.37,2887.99,1346700
2022-01-05,2864.53,2882.93,2809.00,2839.24,1704000
2022-01-06,2813.12,2856.53,2802.80,2810.38,1605500
2022-01-07,2754.86,2782.68,2720.12,2754.95,1859700
2022-01-10,2720.60,2761.66,2673.52,2751.25,2201100
2022-01-11,2734.77,2775.94,2707.73,2772.06,1595600
2022-01-12,2783.01,2800.14,2775.65,2797.72,1319600
2022-01-13,2818.19,2822.38,2745.35,2750.00,1467300
2022-01-14,2706.07,2730.99,2672.34,2724.39,1867900
2022-01-18,2681.02,2685.11,2628.72,2633.96,1697200
2022-01-19,2645.43,2653.19,2598.75,2626.67,1516000
2022-01-20,2646.77,2650.00,2601.14,2607.32,1551400
2022-01-21,2591.53,2619.24,2526.03,2534.95,2400600
2022-01-24,2488.15,2583.38,2477.13,2580.10,2561800
2022-01-25,2548.74,2554.35,2489.25,2520.51,1710200
2022-01-26,2579.73,2581.63,2504.39,2538.70,2177500
2022-01-27,2598.39,2600.58,2520.46,2542.09,1588800
2022-01-28,2541.12,2587.00,2524.62,2581.00,1811600
2022-01-31,2601.64,2620.07,2582.75,2612.76,1697900
2022-02-01,2612.96,2614.83,2567.91,2601.74,2014600
2022-02-02,2966.40,3030.93,2912.56,2989.99,5090500
2022-02-03,2920.00,2961.44,2870.00,2889.52,2404000
2022-02-04,2841.32,2913.00,2821.44,2880.25,1858900
2022-02-07,2878.11,2896.55,2852.75,2873.47,1334300
2022-02-08,2866.15,2889.04,2854.95,2784.98,2211300
2022-02-09,2718.00,2784.24,2665.77,2749.50,2252100
2022-02-10,2700.04,2719.97,2675.00,2685.65,1578700
2022-02-11,2667.26,2688.64,2624.00,2630.17,1749800
2022-02-14,2626.75,2639.44,2598.38,2624.85,1578100
2022-02-15,2676.66,2680.21,2647.85,2679.13,1417600
2022-02-16,2670.00,2683.45,2642.32,2659.21,1287800
2022-02-17,2615.36,2619.83,2570.38,2592.99,1450800
2022-02-18,2581.00,2584.70,2544.83,2551.82,1577500
2022-02-22,2529.72,2563.59,2498.76,2540.49,1751000
2022-02-23,2551.49,2552.59,2481.28,2490.47,1419100
2022-02-24,2403.89,2516.98,2403.80,2509.50,2152100
2022-02-25,2512.01,2533.93,2507.00,2529.29,1339200
2022-02-28,2502.73,2563.43,2499.40,2540.24,1665500
2022-03-01,2546.19,2551.93,2510.00,2525.50,1251500
2022-03-02,2519.89,2587.50,2516.25,2584.80,1511600
2022-03-03,2592.29,2596.49,2539.04,2544.56,1252600
2022-03-04,2539.25,2547.60,2500.00,2525.45,1337900
2022-03-07,2501.47,2511.87,2408.22,2435.44,1819700
2022-03-08,2431.76,2440.30,2341.00,2368.90,1844000
2022-03-09,2450.00,2451.25,2414.00,2448.55,1607800
2022-03-10,2415.00,2424.98,2389.38,2413.90,1444500
2022-03-11,2429.51,2431.75,2378.42,2382.77,1413000
2022-03-14,2354.12,2384.49,2334.15,2374.19,1465500
2022-03-15,2376.13,2444.70,2376.12,2442.93,1580200
2022-03-16,2489.66,2514.49,2458.22,2513.61,2250800
2022-03-17,2497.50,2529.18,2487.75,2525.58,1258900
2022-03-18,2523.82,2592.18,2521.75,2582.66,2052600
2022-03-21,2582.29,2628.07,2571.97,2614.55,1404900
2022-03-22,2633.01,2646.27,2598.67,2639.98,1360500
2022-03-23,2627.93,2645.60,2600.37,2604.40,1057000
2022-03-24,2609.87,2651.89,2608.57,2646.52,1016100
