Date,Close,Volume
2007-01-02,17.1,582
2007-01-03,17.2,178
2007-01-04,17.5,6279
2007-01-05,17.5,108
2007-01-08,17.5,399
2007-01-09,17.5,77
2007-01-10,17.5,548
2007-01-11,17.5,554
2007-01-12,17.5,417
2007-01-15,17.5,198
2007-01-16,17.5,173
2007-01-17,17.5,419
2007-01-18,17.5,70
2007-01-19,17.5,154
2007-01-22,18.0,670
2007-01-23,18.0,490
2007-01-26,18.0,2
2007-01-30,17.5,937
2007-01-31,17.5,338
2007-02-01,17.5,1878
2007-02-02,17.5,936
2007-02-05,18.0,1303
2007-02-06,18.0,228
2007-02-07,18.01,477
2007-02-08,18.5,1563
2007-02-09,18.5,1749
2007-02-12,18.5,279
2007-02-13,18.0,52
2007-02-15,18.0,3830
2007-02-16,18.0,630
2007-02-22,18.5,2029
2007-02-28,18.0,496
2007-05-01,17.99,26
2007-05-02,17.99,72
2007-05-03,17.97,2
2007-05-07,17.0,17
2007-05-11,16.9,99
2007-05-14,17.0,547
2007-05-15,17.9,963
2007-05-16,17.91,439
2007-05-17,18.01,1292
2007-05-18,18.57,918
2007-05-21,19.0,111
2007-05-22,20.0,1775
2007-05-23,20.1,32
2007-05-24,20.0,54
2007-05-25,20.0,259
2007-05-28,20.0,382
2007-05-29,20.0,172
2007-05-30,20.0,325
2007-05-31,20.0,759
2007-06-04,20.0,15
2007-06-05,20.01,15
2007-06-06,20.0,654
2007-06-07,20.0,498
2007-06-08,21.0,460
2007-06-12,21.0,244
2007-06-14,20.79,78
2007-06-15,20.5,656
2007-06-19,20.79,1802
2007-06-20,20.79,154
2007-06-21,20.79,44
2007-06-25,25.0,767
2007-06-26,25.0,226
2007-06-28,25.0,162
2007-06-29,25.0,428
2007-07-02,25.06,521
2007-07-03,25.1,153
2007-07-04,25.1,32
2007-07-05,25.15,51
2007-07-06,26.0,397
2007-07-08,26.1,72
2007-07-17,27.0,150
2007-07-18,28.0,167
2007-07-19,29.5,68
2007-07-20,30.51,436
2007-07-23,31.02,133
2007-07-24,31.1,18
2007-07-25,32.53,114
2007-07-26,35.1,193
2007-07-27,39.01,86
2007-07-30,50.0,243
2007-07-31,55.0,206
2007-08-01,60.0,254
2007-08-02,60.0,189
2007-08-03,65.0,382
2007-08-06,65.0,162
2007-08-07,70.0,367
2007-08-08,70.0,45
2007-08-09,82.0,242
2007-08-10,82.0,126
2007-08-14,85.0,521
2007-08-16,85.1,1111
2007-08-17,87.0,225
2007-08-20,90.0,318
2007-08-21,90.02,271
2007-08-22,90.0,370
2007-08-23,89.0,467
2007-08-24,89.0,1047
2007-08-27,89.0,1
2007-08-28,86.5,469
2007-08-29,84.9,1212
2007-08-30,84.9,1849
2007-08-31,84.9,309
2007-09-03,83.0,663
2007-09-04,79.99,218
2007-09-05,78.0,100
2007-09-06,75.0,784
2007-09-07,75.0,1261
2007-09-10,82.0,1037
2007-09-11,80.0,1675
2007-09-12,80.0,892
2007-09-13,80.0,1900
2007-09-14,80.0,1510
2007-09-17,80.0,594
2007-09-18,80.0,4170
2007-09-19,80.0,2946
2007-09-20,80.0,2525
2007-09-21,80.0,537
2007-09-24,80.0,5275
2007-09-25,80.0,12242
2007-09-26,80.0,356
2007-09-27,75.0,200
2007-09-28,70.0,2035
2007-10-01,66.1,2308
2007-10-02,60.01,779406
2007-10-03,75.0,1636
2007-10-04,75.0,12233
2007-10-05,75.0,2928
2007-10-08,80.0,16518
2007-10-10,79.99,205431
2007-10-12,77.98,493
2007-10-15,77.0,120
2007-10-16,75.49,50
2007-10-17,75.0,96
2007-10-18,75.0,5772
2007-10-19,76.0,9724
2007-10-23,75.0,450
2007-10-25,70.01,603
2007-10-26,75.0,15361
2007-10-29,74.5,36
2007-10-30,74.99,117
2007-11-05,72.5,260
2007-11-06,72.0,1206
2007-11-07,74.0,1054
2007-11-08,74.0,500
2007-11-09,74.0,900
2007-11-12,73.0,250
2007-11-13,72.3,1333
2007-11-14,72.0,97
2007-11-15,71.9,132
2007-11-16,70.0,2856
2007-11-19,70.0,100
2007-11-20,70.01,3972
2007-11-21,70.0,1833
2007-11-22,70.0,9534
2007-11-23,70.0,10398
2007-11-27,69.9,498
2007-11-28,69.89,57
2007-11-29,68.0,291
2007-11-30,68.0,222
2007-12-03,68.0,166
2007-12-04,68.1,434
2007-12-05,69.0,804
2007-12-07,68.0,1512
2007-12-10,69.0,1201
2007-12-11,68.0,120
2007-12-13,68.0,3147
2007-12-18,67.0,90
2007-12-19,70.0,6930
2007-12-20,69.99,572
2007-12-21,69.99,181
2007-12-25,69.9,3
2007-12-27,69.0,2000
2007-12-28,68.0,500
2007-12-29,69.0,96
2008-01-03,68.0,124
2008-01-04,68.0,673
2008-01-07,68.0,247
2008-01-08,68.0,1573
2008-01-09,69.0,926
2008-01-10,69.0,2423
2008-01-11,69.0,491
2008-01-14,69.0,579
2008-01-15,69.0,372
2008-01-17,68.98,263
2008-01-18,68.98,1530
2008-01-21,68.0,254
2008-01-22,68.0,280
2008-01-23,68.0,148
2008-01-24,68.0,841
2008-01-25,68.0,566
2008-01-28,68.0,268
2008-01-29,68.3,385
2008-01-30,68.5,392
2008-01-31,68.5,1242
2008-02-01,68.5,639
2008-02-04,69.5,2176
2008-02-05,69.5,1197
2008-02-06,68.5,1080
2008-02-07,69.5,692
2008-02-11,69.5,100
2008-02-12,70.0,692
2008-02-13,70.0,72
2008-02-14,70.0,34
2008-02-15,71.0,159
2008-02-18,70.0,639
2008-02-21,69.0,15
2008-02-22,68.9,97
2008-02-28,66.5,8237
2008-02-29,66.5,4
2008-03-03,64.0,664
2008-03-04,63.0,1020
2008-03-05,64.0,138
2008-03-06,63.99,629
2008-03-07,63.0,2146
2008-03-10,64.0,340
2008-03-11,63.0,265
2008-03-12,63.1,3128
2008-03-13,65.0,1340
2008-03-14,63.5,8300
2008-03-17,63.5,371
2008-03-18,63.51,367
2008-03-19,63.51,473
2008-03-20,64.5,268
2008-03-21,64.5,350
2008-03-24,63.6,112
2008-03-25,63.55,396
2008-03-26,64.0,411
2008-03-27,63.0,356
2008-03-28,63.0,284
2008-03-31,63.2,706
2008-04-01,63.0,438
2008-04-02,63.0,460
2008-04-03,63.01,5236
2008-04-04,63.5,444
2008-04-07,63.0,286
2008-04-08,63.5,675
2008-04-09,62.02,15
2008-04-10,63.0,296
2008-04-11,63.0,123
2008-04-14,62.0,195
2008-04-15,62.0,334
2008-04-16,62.0,339
2008-04-17,62.0,160
2008-04-18,63.5,816
2008-04-21,63.5,320
2008-04-23,62.5,35
2008-04-24,62.0,553
2008-04-25,62.0,50
2008-04-28,62.5,757
2008-04-29,62.0,138
2008-04-30,62.99,193
2008-05-01,62.0,57
2008-05-02,62.0,2467
2008-05-05,62.0,36
2008-05-06,61.99,50
2008-05-08,66.5,8594
