Date,Close,Volume
2007-05-03,100.0,4000000
2007-05-24,130.0,1500
2007-06-19,200.0,500
2007-06-27,300.0,4020
2007-06-29,301.0,1100
2007-07-04,350.0,750
2007-07-05,380.0,20
2007-07-07,370.0,400
2007-07-17,370.0,300
2007-07-18,400.0,1570
2007-07-19,400.0,2350
2007-07-23,400.0,2500
2007-07-24,400.0,500
2007-07-25,400.0,100
2007-07-26,400.0,1000
2007-07-27,400.0,7100
2007-07-30,360.0,5560
2007-07-31,360.0,2000
2007-08-01,400.0,40600
2007-08-02,400.0,39760
2007-08-03,415.0,11115
2007-08-06,400.0,10102
2007-08-07,400.0,400
2007-08-08,400.0,7000
2007-08-13,450.0,1
2007-08-14,450.0,950
2007-08-15,420.0,6600
2007-08-21,450.0,10000
2007-08-22,450.0,150
2007-08-24,450.0,100
2007-08-28,450.0,150
2007-08-31,430.0,10000
2007-09-11,429.0,200
2007-09-12,450.0,5
2007-09-17,440.0,100
2007-09-18,440.0,1000
2007-09-24,440.0,200
2007-09-26,440.0,10
2007-09-28,440.0,55
2007-10-04,405.0,10005
2007-10-05,380.0,11005
2007-10-08,380.0,9000
2007-10-12,380.0,30000
2007-10-16,390.0,1000
2007-10-17,390.0,100
2007-10-22,370.0,5206
2007-10-23,370.0,100
2007-10-26,360.0,2300
2007-10-29,360.0,2000
2007-11-05,350.0,94
2007-11-19,350.0,100
2007-11-20,350.0,100
2007-11-21,350.0,25
2007-11-22,350.0,25
2007-11-23,340.0,53875
2007-11-27,350.0,25
2007-11-29,350.0,25
2007-11-30,340.0,39
2007-12-03,340.0,100
2007-12-04,330.0,50
2007-12-07,325.0,10
2007-12-10,325.0,100
2007-12-11,315.0,4000
2008-01-15,310.0,400
2008-01-23,300.0,1500
2008-01-25,340.0,2106501
2008-01-28,350.0,7000
2008-01-29,350.0,4400
2008-01-30,350.0,1028
2008-01-31,350.0,500
2008-02-04,350.0,2300
2008-02-05,350.0,20500
2008-02-06,350.0,28076
2008-02-07,350.0,15630
2008-02-11,350.0,19100
2008-02-12,350.0,3150
2008-02-13,350.0,1800
2008-02-14,350.0,135700
2008-02-15,355.0,23400
2008-02-18,365.0,23000
2008-02-19,400.0,24200
2008-02-20,400.0,0
2008-02-21,382.0,8432
2008-02-22,400.0,6885
2008-02-25,350.0,332673
2008-02-26,351.0,52183
2008-02-27,370.0,940
2008-02-28,365.0,8300
2008-02-29,365.0,59502
2008-03-03,360.0,8297
2008-03-05,370.0,1100
2008-03-06,360.0,4200
2008-03-07,366.0,125
2008-03-10,366.0,2920
2008-03-11,366.0,8881
2008-03-12,365.0,40441
2008-03-13,365.0,3000
2008-03-14,370.0,255999
2008-03-17,370.0,17204
2008-03-18,370.0,6995
2008-03-19,365.0,7212
2008-03-20,363.0,1114
2008-03-21,363.0,486
2008-03-24,365.0,15093
2008-03-25,363.0,200
2008-03-26,365.0,40229
2008-03-27,364.0,3303
2008-03-28,364.0,20
2008-03-31,360.0,1000
2008-04-01,363.0,8300
2008-04-02,365.0,2027
2008-04-04,365.0,201910
2008-04-07,370.0,19446
2008-04-09,368.0,470
2008-04-10,369.0,1000
2008-04-11,365.0,2070
2008-04-14,365.0,1700
2008-04-15,365.0,13056
2008-04-16,366.0,1005
2008-04-17,367.0,4454
2008-04-18,370.0,15
2008-04-21,375.0,15100
2008-04-22,365.0,7100
2008-04-23,363.0,30
2008-04-24,365.0,3000
2008-04-25,365.0,1500
2008-04-28,365.0,5000
2008-04-29,365.0,369
2008-05-01,360.0,2220
2008-05-02,360.0,1068
2008-05-12,360.0,135
2008-05-15,350.0,5760
2008-05-19,350.0,1000
2008-05-21,350.0,497
2008-05-22,340.0,542
2008-05-23,330.0,2000
2008-05-26,340.0,14
2008-05-29,330.0,14
2008-05-30,325.0,197
2008-06-02,325.0,4800
2008-06-03,300.0,850
2008-06-04,300.0,1353
2008-06-05,300.0,2000
2008-06-06,300.0,3968
2008-06-09,300.0,1027
2008-06-12,290.0,308
2008-06-17,290.0,5000
2008-06-18,300.0,4665
2008-06-19,345.0,82948
