,Date,Close,Volume
50769,2024-02-27,40.5,70
50866,2024-02-29,40.5,800
51064,2024-03-11,40.0,500
51157,2024-03-13,40.0,1000
51254,2024-03-15,40.51,25
51763,2024-03-29,40.51,90
51812,2024-04-01,40.51,35
51860,2024-04-02,40.02,3370
51906,2024-04-03,42.0,100
51947,2024-04-04,42.0,1000
52424,2024-04-18,42.0,3000
52560,2024-04-23,42.0,500
52708,2024-04-26,43.0,1400
52995,2024-05-06,47.94,22
53283,2024-05-14,42.0,1976
53374,2024-05-16,42.0,26
53966,2024-06-05,42.0,2900
54065,2024-06-07,47.9,10
54945,2024-07-09,45.95,100
54989,2024-07-16,45.95,20
55400,2024-07-29,45.0,786322
55445,2024-07-30,45.94,127
55487,2024-07-31,52.5,101
55531,2024-08-01,56.66,629
55835,2024-08-12,56.36,400
55964,2024-08-15,56.5,1
56282,2024-08-26,49.0,390
56325,2024-08-27,48.0,6055
56467,2024-08-30,48.0,593
56731,2024-09-09,48.0,1407
56838,2024-09-11,54.98,1
57036,2024-09-17,63.15,1
57394,2024-09-27,71.98,248
57440,2024-09-30,72.0,17
57537,2024-10-03,72.0,5
57892,2024-10-16,61.2,115
57942,2024-10-17,65.0,20
58028,2024-10-21,55.25,3500
58078,2024-10-22,55.96,3770
58120,2024-10-23,53.0,8145
58572,2024-11-06,50.15,1000
58864,2024-11-14,50.0,300
59008,2024-11-19,62.5,90
59400,2024-12-03,57.0,9
59458,2024-12-04,62.0,200
59820,2024-12-23,62.0,3
59924,2024-12-25,53.0,3070
60116,2024-12-31,60.95,2620
60306,2025-01-07,60.0,6
60498,2025-01-13,60.0,2
60650,2025-01-16,54.0,374
60754,2025-01-20,60.0,4
60807,2025-01-21,54.0,2241
60862,2025-01-22,53.14,350
60913,2025-01-23,52.0,10
60963,2025-01-24,52.0,47758
61331,2025-02-04,55.0,80
61478,2025-02-07,59.0,50020
61597,2025-02-11,60.0,61
61650,2025-02-12,60.0,50
61703,2025-02-13,60.0,8
61809,2025-02-17,66.0,100
61910,2025-02-19,65.0,2
62012,2025-02-21,60.0,1
62276,2025-02-28,67.0,5000
62422,2025-03-10,71.38,1005
62471,2025-03-11,75.0,8
62515,2025-03-12,75.0,1000
62568,2025-03-13,73.0,150
62754,2025-03-19,66.0,10
62799,2025-03-20,73.0,6
62944,2025-03-25,63.75,1587
62986,2025-03-26,54.2,944
63373,2025-04-07,54.2,156
63622,2025-04-14,62.33,244
63670,2025-04-15,62.33,271
63910,2025-04-22,53.25,1000
64086,2025-04-28,61.23,70
64127,2025-04-29,61.23,45
64329,2025-05-05,61.23,26
