Date,Close,Volume
2008-05-19,100.0,15361608
2008-05-20,100.0,2016055
2008-05-21,100.0,2727505
2008-05-22,100.0,3457732
2008-05-23,110.0,21445
2008-05-26,112.0,260237
2008-05-27,120.0,206630
2008-05-29,144.0,365037
2008-05-30,140.0,558639
2008-06-02,127.0,109699
2008-06-03,115.0,214218
2008-06-04,120.0,491244
2008-06-05,115.0,57736
2008-06-06,120.0,152639
2008-06-09,116.0,126312
2008-06-10,115.0,192554
2008-06-11,114.0,120580
2008-06-12,105.0,48295
2008-06-13,101.0,312874
2008-06-16,100.0,7019
2008-06-17,100.0,39152
2008-06-18,95.0,11882
2008-06-19,90.0,325000
2008-06-20,90.0,66020
2008-06-23,90.0,40310
2008-06-24,90.0,80540
2008-06-25,99.0,2060
2008-06-26,100.0,126370
2008-06-27,100.0,114771
2008-06-30,100.0,91450
2008-07-01,93.0,30323
2008-07-02,95.0,569
2008-07-03,96.0,19456
2008-07-04,96.0,23388
2008-07-07,93.0,33150
2008-07-08,92.0,3130
2008-07-09,96.0,2865
2008-07-10,93.0,4592
2008-07-14,91.0,122907
2008-07-15,90.0,10738
2008-07-16,85.0,96141
2008-07-17,85.0,23271
2008-07-18,85.0,1187
2008-07-21,85.0,92490
2008-07-22,84.0,328983
2008-07-23,86.0,60000
2008-07-24,89.0,9500
2008-07-25,84.0,125632
2008-07-28,84.0,514
2008-07-29,84.0,395
2008-07-30,78.0,54874
2008-07-31,86.0,61487
2008-08-01,75.0,44994
2008-08-04,75.0,39706
2008-08-05,71.0,119209
2008-08-06,74.0,7800
2008-08-07,75.0,20824
2008-08-08,75.0,44511
2008-08-11,80.0,5498
2008-08-12,75.0,29628
2008-08-13,75.0,1422
2008-08-14,75.0,23528
2008-08-15,75.0,228
2008-08-18,74.0,1472
2008-08-19,72.0,38728
2008-08-20,79.0,955
2008-08-22,75.0,14000
2008-08-25,75.0,40009
2008-08-26,71.0,23680
2008-08-27,71.0,29510
2008-08-28,75.0,8091
2008-08-29,72.0,136
2008-09-01,75.0,30441
2008-09-02,74.0,3438
2008-09-03,75.0,135
2008-09-04,74.0,11047
2008-09-05,74.0,1773
2008-10-20,58.0,51300
2008-10-21,60.0,2333
2008-10-22,57.0,30540
2008-10-23,57.0,9320
2008-10-24,56.0,24931
2008-10-27,54.0,20002
2008-10-28,51.0,35213
2008-10-29,50.0,46850
2008-10-30,48.0,2001
2008-10-31,48.0,36851
2008-11-04,49.0,3660
2008-11-05,48.0,22000
2008-11-06,55.0,102679
2008-11-07,63.0,125470
2008-11-10,72.0,270862
2008-11-11,65.0,47204
2008-11-12,64.0,42572
2008-11-13,62.0,93500
2008-11-14,58.0,10591
2008-11-17,60.0,6000
2008-11-19,55.0,80090
2008-11-20,55.0,18070
2008-11-21,53.0,37463
2008-11-24,53.0,7000
2008-11-25,53.0,27708
2008-11-27,55.0,32069
2008-11-28,56.0,12300
2008-12-01,57.0,88220
2008-12-02,54.0,90040
2008-12-03,54.0,81816
2008-12-04,53.0,8664
2008-12-05,53.0,60866
2008-12-08,50.0,76792
2008-12-09,57.0,44748
