Date,Close,Volume
2017-11-16,115.0,34655
2017-11-17,132.25,32579
2017-11-20,152.08,405250
2017-11-21,174.89,76947
2017-11-22,184.29,1869045
2017-11-23,180.87,577988
2017-11-24,198.58,721813
2017-11-27,216.24,403950
2017-11-28,239.32,236495
2017-11-29,254.39,262625
2017-11-30,223.66,299207
2017-12-01,208.89,107787
2017-12-04,213.61,254556
2017-12-05,212.3,23348
2017-12-06,205.82,80679
2017-12-07,193.98,210657
2017-12-08,181.58,74473
2017-12-11,195.32,98195
2017-12-12,213.27,69632
2017-12-13,204.6,54695
2017-12-14,193.85,16251
2017-12-15,197.15,7830
2017-12-18,198.27,31860
2017-12-19,197.23,26000
2017-12-20,191.23,58551
2017-12-21,185.08,36640
2017-12-22,193.51,71786
2017-12-25,190.02,45500
2017-12-26,193.09,29726
2017-12-27,191.25,20970
2017-12-28,188.24,8011
2018-01-02,185.06,21758
2018-01-03,180.98,73997
2018-01-04,178.91,37525
2018-01-05,178.52,15472
2018-01-08,172.15,61804
2018-01-09,167.26,55869
2018-01-10,161.65,31210
2018-01-11,157.73,31031
2018-01-12,152.98,27097
2018-01-15,157.23,67195
2018-01-16,165.0,27000
2018-01-17,165.33,5935
2018-01-18,164.37,18691
2018-01-19,155.56,28007
2018-01-22,157.04,42230
2018-01-23,167.82,9759
2018-01-24,160.73,18723
2018-01-25,160.77,5850
2018-01-26,163.92,360
2018-01-29,162.4,8448
2018-01-30,159.89,9318
2018-01-31,158.0,100
2018-02-01,162.0,2536
2018-02-02,155.04,57443
2018-02-05,152.5,6822
2018-02-06,150.72,22000
2018-02-07,154.1,2168
2018-02-08,153.31,7971
2018-02-09,150.67,33102
2018-02-12,141.86,40898
2018-02-13,142.71,41214
2018-02-14,155.59,47900
2018-02-15,148.46,56827
2018-02-19,140.0,16810
2018-02-20,140.0,13508
2018-02-21,128.42,31660
2018-02-22,128.34,25000
2018-02-23,134.09,2400
2018-02-26,139.0,39631
2018-02-27,123.22,14376
2018-02-28,121.03,35345
2018-03-01,120.29,44507
2018-03-02,121.44,5391
2018-03-05,120.15,22052
2018-03-06,130.0,6415
2018-03-07,136.96,24695
2018-03-09,140.0,9664
2018-03-12,139.99,28618
2018-03-13,144.72,5951
2018-03-14,146.0,400
2018-03-15,142.0,15549
2018-03-16,138.68,7387
2018-03-19,135.0,1068
2018-03-20,138.0,8733
2018-03-21,139.83,7969
2018-03-22,142.0,915
2018-03-23,136.0,22867
2018-03-26,139.9,5828
2018-03-27,135.0,1150
2018-03-28,135.0,1388
2018-03-29,130.0,9900
2018-04-02,130.32,2708
2018-04-03,134.99,2900
2018-04-04,135.0,14133
2018-04-05,130.47,2364
2018-04-06,130.0,2277
2018-04-09,130.0,37187
2018-04-10,126.03,5461
2018-04-11,131.0,15002
2018-04-13,129.0,7030
2018-04-16,132.0,12807
2018-04-17,132.41,9552
2018-04-18,129.48,17331
2018-04-19,131.82,1480
2018-04-20,130.01,17148
2018-04-23,131.0,7783
2018-04-24,132.0,177
2018-04-25,132.0,303
2018-04-26,130.0,2131
2018-04-27,129.0,4060
2018-04-30,130.0,3000
2018-05-01,130.0,500
2018-05-02,129.0,13474
2018-05-03,130.0,5018
2018-05-04,131.8,5
2018-05-07,121.09,21044
2018-05-08,120.34,22074
2018-05-09,129.0,1400
2018-05-10,120.52,22112
2018-05-11,124.0,22608
2018-05-14,120.0,3753
2018-05-15,118.0,3029
2018-05-16,119.5,323
2018-05-17,119.5,545
2018-05-18,117.0,29990
2018-05-21,117.0,1186
2018-05-22,119.5,100
2018-05-23,128.0,21308
2018-05-24,134.49,69127
2018-05-25,153.02,22712
2018-05-28,141.69,6981
2018-05-29,138.0,1
2018-05-30,137.0,5240
2018-05-31,136.0,330
2018-06-04,136.67,10826
2018-06-05,135.41,245
2018-06-06,135.0,3
2018-06-07,131.99,8318
2018-06-08,129.41,1501
2018-06-11,133.0,6530
2018-06-12,129.02,426
2018-06-13,129.0,14624
2018-06-14,130.5,20
2018-06-15,131.0,5014
2018-06-18,132.88,7818
2018-06-19,129.04,16620
2018-06-20,130.07,33941
2018-06-21,129.38,2047
2018-06-22,131.0,451
2018-06-25,131.52,32846
2018-06-26,130.45,3950
2018-06-27,126.18,65124
2018-06-28,130.01,26527
2018-06-29,130.0,700
2018-07-02,132.69,2000
2018-07-03,130.0,15135
2018-07-04,130.53,5687
2018-07-05,130.06,770
2018-07-06,130.0,9152
2018-07-09,130.0,10000
2018-07-10,134.0,24532
2018-07-16,134.0,360
2018-07-17,134.0,2116
2018-07-18,132.27,6854
2018-07-19,132.0,30
2018-07-20,130.12,4512
2018-07-23,131.53,2565
2018-07-24,129.0,7785
2018-07-25,129.37,9622
2018-07-26,129.0,11137
2018-07-27,129.97,16404
2018-07-30,130.0,8305
2018-07-31,130.0,2527
2018-08-01,129.0,11715
2018-08-02,127.21,2392
2018-08-03,129.85,666
2018-08-06,129.13,12618
2018-08-07,126.31,6827
2018-08-08,126.0,20655
2018-08-09,128.0,615
2018-08-10,128.12,1710
2018-08-13,127.12,15306
2018-08-14,129.8,1002
2018-08-16,128.06,859
2018-08-17,128.0,4200
2018-08-20,128.0,950
2018-08-21,124.29,2047
2018-08-22,125.1,354
2018-08-23,125.0,14000
2018-08-24,125.0,5045
2018-08-27,122.87,10229
2018-08-29,119.53,21694
2018-08-30,115.91,27696
2018-08-31,115.53,5037
2018-09-03,117.33,115
2018-09-04,116.66,18334
2018-09-05,110.86,14350
2018-09-06,115.0,13156
