Date,Close,Volume
2024-04-12,92.0,1
2024-04-24,99.95,10165
2024-04-30,99.95,200
2024-05-27,85.0,1499
2024-06-11,85.0,1000
2024-07-02,80.0,1000
2024-07-08,80.0,2
2024-07-18,72.26,1000
2024-07-25,75.0,62035
2024-07-26,79.99,1
2024-07-29,79.99,36
2024-08-06,79.99,963
2024-08-26,79.99,10
2024-08-27,75.0,67
2024-09-09,75.0,933
2024-09-19,72.5,1000
2024-09-24,83.36,11817
2024-10-25,84.46,116
2024-11-22,86.0,11
2024-12-02,86.0,20
2024-12-03,86.0,20
2024-12-04,73.1,50
2024-12-05,73.1,1068
2024-12-06,62.15,444
2024-12-18,60.0,1928
2024-12-30,59.0,500
2025-01-06,59.0,22
2025-01-07,59.0,133
2025-01-17,56.01,20
2025-01-28,64.4,563
2025-01-29,64.4,200
2025-02-20,66.0,43
2025-02-21,75.9,700
2025-02-28,75.9,80
2025-03-18,75.9,100
2025-04-22,75.0,100
