Date,Close,Volume
2024-02-26,37.12,200
2024-02-27,41.0,51554
2024-02-28,40.0,607
2024-02-29,36.0,238
2024-03-05,36.01,2000
2024-03-06,36.0,26624
2024-03-07,40.96,5972
2024-03-11,40.84,62
2024-03-12,36.0,26663
2024-03-13,35.94,20000
2024-03-14,40.91,31
2024-03-15,40.91,2
2024-03-18,36.6,77
2024-03-20,40.91,897
2024-03-21,40.91,1603
2024-03-22,42.0,150
2024-03-25,42.0,693
2024-03-27,40.1,21025
2024-03-28,42.0,50
2024-03-29,38.31,4692
2024-04-01,38.01,100
2024-04-02,38.31,10
2024-04-03,43.76,4865
2024-04-04,42.0,300
2024-04-05,45.99,1790
2024-04-08,47.67,5479
2024-04-09,46.0,2618
2024-04-10,46.0,379
2024-04-12,43.0,416
2024-04-15,45.15,213
2024-04-16,45.8,820
2024-04-18,41.0,340
2024-04-19,44.99,147
2024-04-22,44.91,1002
2024-04-23,45.0,2
2024-04-24,45.0,1
2024-04-25,45.0,881
2024-04-30,44.8,320
2024-05-01,41.0,200
2024-05-02,43.0,1563
2024-05-06,43.49,85
2024-05-08,40.0,2250
2024-05-09,39.57,70
2024-05-10,38.08,25884
2024-05-13,38.9,11070
2024-05-14,40.0,500
2024-05-15,40.0,20
2024-05-16,38.02,2880
2024-05-20,38.0,19050
2024-05-21,38.0,4796
2024-05-22,38.09,2
2024-05-24,39.98,30
2024-05-27,40.0,1285
2024-05-28,40.85,1828
2024-05-30,42.92,3710
2024-05-31,42.0,400
2024-06-03,42.0,116
2024-06-07,45.0,1010
2024-06-10,45.0,1000
2024-06-12,45.2,1252
2024-06-13,44.0,10000
2024-06-14,43.98,11
2024-06-17,44.0,1
2024-06-19,44.0,910
2024-06-25,44.0,17
2024-06-26,44.0,1
2024-06-27,44.0,9
2024-07-01,44.0,2001
2024-07-02,44.0,111
2024-07-08,44.0,22
2024-07-09,44.0,3100
2024-07-18,50.17,1750
2024-07-19,53.0,29392
2024-07-22,53.72,7599
2024-07-23,50.0,5973
2024-07-24,50.0,6667
2024-07-25,50.15,14929
2024-07-26,50.0,342
2024-07-29,52.9,60
2024-07-30,55.0,1560
2024-07-31,55.0,22050
2024-08-01,59.19,8917
2024-08-02,61.0,284
2024-08-05,64.0,12
2024-08-06,64.0,407
2024-08-07,64.0,136
2024-08-08,64.0,23
2024-08-09,61.0,82
2024-08-12,63.9,2344
2024-08-13,63.9,428
2024-08-14,63.9,22
2024-08-15,63.9,40
2024-08-19,63.85,750
2024-08-20,63.7,67
2024-08-21,70.0,209080
2024-08-22,70.0,70
2024-08-23,70.0,16
2024-08-26,70.5,1122
2024-08-27,70.0,4
2024-08-30,70.0,41
2024-09-02,70.99,100
2024-09-04,61.82,197
2024-09-05,70.0,6
2024-09-06,70.0,101
2024-09-09,70.0,123
2024-09-10,69.9,5
2024-09-11,69.0,1
2024-09-12,60.35,950
2024-09-13,63.0,5
2024-09-16,55.2,3996
2024-09-17,60.0,554
2024-09-18,60.0,999
2024-09-20,57.0,41418
2024-09-24,60.0,765
2024-09-25,60.0,20
2024-09-26,57.0,4406
2024-09-27,60.0,163204
2024-10-02,60.0,1559
2024-10-03,60.0,100
2024-10-04,60.0,330
2024-10-07,60.0,8
2024-10-08,60.0,100
