Date,Close,Volume
2023-05-01,1102.0,137361
2023-05-02,1267.0,220143
2023-05-03,1201.0,3656050
2023-05-04,1246.0,1556981
2023-05-05,1208.0,378982
2023-05-08,1196.0,221124
2023-05-09,1199.0,425274
2023-05-10,1191.0,131101
2023-05-11,1197.0,156146
2023-05-12,1170.0,118541
2023-05-15,1160.0,198281
2023-05-16,1152.0,206853
2023-05-17,1136.0,210128
2023-05-18,1112.0,126301
2023-05-19,1106.0,73825
2023-05-22,1127.0,77018
2023-05-23,1126.0,48917
2023-05-24,1120.0,59171
2023-05-25,1118.0,24935
2023-05-26,1124.0,170562
2023-05-29,1141.0,86543
2023-05-30,1160.0,84654
2023-05-31,1146.0,22566
2023-06-02,1133.0,15036
2023-06-05,1130.0,158228
2023-06-06,1119.0,12497
2023-06-07,1120.0,31694
2023-06-08,1121.0,33605
2023-06-09,1122.0,8501
2023-06-12,1122.0,39972
2023-06-13,1121.0,29910
2023-06-14,1123.0,94546
2023-06-15,1144.0,58810
2023-06-16,1163.0,84737
2023-06-19,1132.0,9778
2023-06-20,1130.0,15095
2023-06-21,1136.0,28352
2023-06-22,1122.0,42661
2023-06-23,1134.0,30412
2023-06-26,1124.0,45612
2023-06-27,1114.0,23233
2023-06-28,1120.0,25663
2023-06-29,1120.0,19052
2023-06-30,1120.0,42815
2023-07-03,1119.0,29439
2023-07-04,1119.0,23571
2023-07-05,1136.0,84019
2023-07-06,1126.0,9832
2023-07-07,1126.0,4839
2023-07-17,1117.0,14261
2023-07-18,1115.0,20834
2023-07-19,1103.0,14048
2023-07-20,1108.0,23081
2023-07-21,1107.0,10572
2023-07-24,1107.0,8737
2023-07-25,1107.0,12480
2023-07-26,1107.0,8647
2023-07-27,1108.0,24471
2023-07-28,1110.0,5212
2023-07-31,1108.0,6793
2023-08-01,1106.0,26065
2023-08-02,1106.0,9513
2023-08-03,1105.0,37898
2023-08-04,1100.0,43229
2023-08-07,1100.0,12138
2023-08-08,1097.0,21418
2023-08-09,1095.0,8437
2023-08-10,1091.0,7304
2023-08-11,1076.0,19165
2023-08-14,1055.0,15444
2023-08-15,1059.0,21246
2023-08-16,1051.0,25845
2023-08-17,1049.0,31547
2023-08-18,1044.0,10083
2023-08-21,1013.0,60692
2023-08-22,1021.0,11498
2023-08-23,1049.0,61755
2023-08-24,1017.0,6559
2023-08-25,1012.0,37929
2023-08-28,1010.0,22235
2023-08-29,1014.0,34938
2023-08-30,1049.0,11501
2023-08-31,1043.0,10778
2023-09-01,1050.0,25586
2023-09-04,1084.0,19856
2023-09-05,1076.0,8713
2023-09-06,1088.0,28090
2023-09-07,1071.0,11126
2023-09-08,1063.0,11522
2023-09-11,1063.0,30235
2023-09-12,1050.0,79499
2023-09-13,1044.0,8465
2023-09-14,1042.0,15035
2023-09-15,1032.0,9167
2023-09-18,1029.0,28833
2023-09-19,1030.0,24526
2023-09-20,1031.0,158536
2023-09-21,1035.0,5443
2023-09-22,1031.0,158536
2023-09-25,1073.0,18723
2023-09-26,1074.0,13825
2023-09-27,1069.0,8213
2023-09-28,1079.0,45148
2023-09-29,1107.0,57578
2023-10-02,1083.0,13388
2023-10-03,1081.0,2929
2023-10-04,1077.0,9301
2023-10-05,1070.0,6704
2023-10-06,1062.0,9374
2023-10-09,1072.0,6415
2023-10-10,1085.0,19999
2023-10-11,1067.0,15631
2023-10-12,1065.0,7429
2023-10-13,1067.0,4136
2023-10-16,1062.0,10392
2023-10-17,1074.0,8323
2023-10-18,1073.0,5455
2023-10-20,1083.0,12558
2023-10-23,1087.0,24713
2023-10-24,1088.0,20323
2023-10-25,1088.0,20790
2023-10-26,1090.0,23928
2023-10-27,1088.0,17934
2023-10-30,1083.0,22431
2023-10-31,1082.0,23069
2023-11-01,1065.0,36848
2023-11-02,1064.0,14455
2023-11-03,1066.0,10440
2023-11-06,1060.0,47187
2023-11-07,1063.0,20585
2023-11-08,1059.0,34564
2023-11-09,1064.0,254359
2023-11-10,1055.0,18536
2023-11-13,1039.0,243586
2023-11-15,1049.0,17882
2023-11-16,1053.0,584713
2023-11-17,1054.0,143761
2023-11-20,1061.0,22870
2023-11-21,1066.0,83498
2023-11-22,1074.0,12742
2023-11-23,1088.0,33258
2023-11-24,1086.0,21628
2023-11-27,1069.0,22228
2023-11-28,1089.0,35194
2023-11-29,1086.0,15776
2023-11-30,1072.0,8932
2023-12-01,1085.0,22889
2023-12-04,1078.0,9850
2023-12-05,1084.0,14739
2023-12-06,1081.0,30029
2023-12-07,1080.0,18927
2023-12-08,1087.0,17311
2023-12-11,1087.0,62191
2023-12-12,1084.0,41065
2023-12-13,1084.0,8953
2023-12-14,1087.0,21007
2023-12-15,1086.0,13112
2023-12-18,1081.0,45192
2023-12-19,1082.0,11842
2023-12-20,1088.0,9223
2023-12-21,1086.0,21194
2023-12-22,1087.0,205778
2023-12-25,1087.0,61811
2023-12-26,1144.0,113612
2023-12-27,1167.0,93496
2023-12-28,1204.0,337493
2024-01-02,1200.0,51263
