Date,Close,Volume
2018-03-14,28.75,2
2018-03-15,33.06,805693
2018-03-16,38.01,445486
2018-03-19,43.71,525114
2018-03-20,50.26,5489979
2018-03-21,57.79,7204420
2018-03-22,49.13,13940050
2018-03-23,46.12,3966518
2018-03-26,40.37,3835874
2018-03-27,38.0,2769088
2018-03-28,43.65,723547
2018-03-29,45.51,2135174
2018-03-30,46.26,345427
2018-04-02,42.98,612906
2018-04-03,44.95,784195
2018-04-04,44.53,1002802
2018-04-05,41.72,692020
2018-04-06,42.81,490731
2018-04-09,41.19,668247
2018-04-10,42.09,1143249
2018-04-11,41.28,596998
2018-04-12,42.69,1056474
2018-04-13,43.79,848043
2018-04-16,44.77,1342032
2018-04-17,47.2,1534085
2018-04-18,47.09,1130928
2018-04-19,47.28,186136
2018-04-20,46.61,732104
2018-04-23,47.01,680698
2018-04-24,47.37,641735
2018-04-25,46.49,585294
2018-04-26,45.16,649354
2018-04-27,45.35,537386
2018-04-30,42.06,103866
2018-05-01,42.69,1313543
2018-05-02,43.18,190311
2018-05-03,44.25,453838
2018-05-04,46.55,1263533
2018-05-07,46.88,1554713
2018-05-08,48.28,1606379
2018-05-09,46.82,607430
2018-05-10,46.83,570454
2018-05-11,47.28,667235
2018-05-14,46.88,909150
2018-05-15,47.73,728997
2018-05-16,47.65,441892
2018-05-17,47.95,1519197
2018-05-18,47.0,181525
2018-05-21,46.78,478963
2018-05-22,46.02,210636
2018-05-23,46.23,244424
2018-05-24,48.97,3202762
2018-05-25,53.11,660397
2018-05-28,52.21,269789
2018-05-29,52.62,3259660
2018-05-30,51.87,313667
2018-05-31,51.21,1445820
2018-06-04,53.0,723436
2018-06-05,53.19,238273
2018-06-06,54.13,222035
2018-06-07,56.19,808895
2018-06-08,55.94,559707
2018-06-11,55.21,212793
2018-06-12,55.63,413099
2018-06-13,55.23,832944
2018-06-14,58.92,2678092
2018-06-15,58.76,243994
2018-06-18,58.57,261226
2018-06-19,58.54,643907
2018-06-20,57.92,145880
2018-06-21,57.24,283640
2018-06-22,57.82,51356
2018-06-25,58.86,325684
2018-06-26,58.55,199455
2018-06-27,58.75,171355
2018-06-28,56.81,192356
2018-06-29,56.4,187207
2018-07-02,57.0,81515
2018-07-03,56.0,38249
2018-07-04,56.98,103148
2018-07-05,57.37,87074
2018-07-06,56.6,94002
2018-07-09,57.42,174645
2018-07-10,58.98,103543
2018-07-16,58.99,182602
2018-07-17,56.54,1384655
2018-07-18,58.5,212667
2018-07-19,58.0,45654
2018-07-20,58.5,209213
2018-07-23,59.04,1688791
2018-07-24,63.92,969047
2018-07-25,62.03,668931
2018-07-26,65.6,2077954
2018-07-27,69.06,552995
2018-07-30,72.59,1114424
2018-07-31,73.2,665573
2018-08-01,74.53,328503
2018-08-02,72.66,494201
2018-08-03,71.84,86279
2018-08-06,70.17,241652
2018-08-07,68.0,55219
2018-08-08,69.2,233607
2018-08-09,71.28,246451
2018-08-10,70.12,152399
2018-08-13,70.0,195536
2018-08-14,70.55,422672
2018-08-15,70.0,299877
2018-08-16,67.76,464904
2018-08-17,69.01,15254
2018-08-20,67.83,336255
2018-08-21,65.88,534599
2018-08-22,64.75,535940
2018-08-23,64.25,387716
2018-08-24,64.32,451974
2018-08-27,66.0,866383
2018-08-28,68.5,308216
2018-08-29,68.54,421712
2018-08-30,67.86,582031
2018-08-31,68.67,180156
2018-09-03,66.99,308447
2018-09-04,66.03,16746
2018-09-05,66.58,48648
2018-09-06,66.9,2054
2018-09-07,66.91,31433
2018-09-10,68.0,395122
2018-09-11,68.5,34691
2018-09-12,67.41,42879
2018-09-13,66.08,166996
2018-09-14,67.0,74623
2018-09-17,66.34,333879
2018-09-18,67.18,249072
2018-09-19,66.11,231176
2018-09-20,67.05,79657
2018-09-21,66.62,22658
2018-09-24,66.2,293642
2018-09-25,66.12,251024
2018-09-26,66.5,132997
2018-09-27,67.02,30239
2018-09-28,66.05,58775
2018-10-01,66.64,151145
2018-10-02,67.0,170703
2018-10-03,61.64,2921541
2018-10-04,66.0,2588945
2018-10-05,70.57,420637
2018-10-08,73.35,331486
2018-10-09,75.18,650389
2018-10-10,70.38,519374
2018-10-11,70.77,156232
2018-10-12,70.1,477684
2018-10-15,72.45,186789
2018-10-16,70.25,155118
2018-10-17,72.01,157742
2018-10-18,72.95,52390
2018-10-19,74.17,2970092
2018-10-22,75.0,256384
2018-10-23,77.05,392940
2018-10-24,78.59,455029
2018-10-25,75.4,257428
2018-10-26,75.35,39114
2018-10-29,76.19,68070
2018-10-30,75.1,554582
2018-10-31,74.56,268991
2018-11-01,75.17,54038
2018-11-02,74.13,176828
2018-11-05,73.7,1475873
2018-11-06,73.3,94066
2018-11-07,73.82,61804
2018-11-12,74.91,137906
2018-11-13,73.17,58827
2018-11-14,73.9,189902
2018-11-15,72.12,208001
2018-11-16,73.62,28755
2018-11-17,73.0,13496
2018-11-19,70.18,424680
2018-11-20,69.78,200608
2018-11-21,70.5,90
2018-11-22,68.95,48514
2018-11-23,70.96,177191
2018-11-27,70.0,2274053
2018-11-28,70.9,30503
2018-11-29,70.74,31184
2018-11-30,71.15,110262
2018-12-03,70.83,183723
2018-12-04,71.0,62315
2018-12-05,68.17,2236715
2018-12-06,69.41,100075
2018-12-07,69.98,87463
2018-12-10,68.07,588244
2018-12-11,69.97,10556
2018-12-12,67.98,137510
2018-12-13,69.0,4857
2018-12-14,69.38,27752
2018-12-17,68.37,71771
2018-12-18,69.1,328102
2018-12-19,67.85,551262
2018-12-20,69.0,376564
2018-12-21,68.0,67100
2018-12-24,67.5,630524
2018-12-25,66.82,101012
2018-12-26,69.06,89171
2018-12-27,68.03,227501
2018-12-28,70.97,446497
2018-12-31,71.0,19691
2019-01-02,71.0,48542
2019-01-03,71.07,21349
2019-01-04,71.39,105180
2019-01-07,71.97,332389
2019-01-08,71.02,814805
2019-01-09,70.98,23727
2019-01-10,71.09,127011
2019-01-11,68.96,112611
2019-01-14,68.02,83330
2019-01-15,65.7,817155
2019-01-16,66.03,11991
2019-01-17,66.32,517526
2019-01-18,66.28,214017
2019-01-21,66.32,106953
2019-01-22,65.57,114583
2019-01-23,66.17,96016
2019-01-24,66.51,336468
2019-01-25,66.9,1010913
2019-01-28,66.04,877094
2019-01-29,72.71,2549629
2019-01-30,74.9,4255457
2019-01-31,74.37,1641491
2019-02-01,74.41,235831
2019-02-02,74.51,37629
2019-02-04,74.8,10109
2019-02-11,75.0,119274
2019-02-12,72.49,20003
2019-02-13,73.8,13406
2019-02-14,73.5,6898
2019-02-15,71.0,66387
2019-02-18,70.78,129494
2019-02-19,70.02,231409
2019-02-20,70.0,80612
2019-02-21,69.02,46604
2019-02-22,69.95,129628
2019-02-25,69.0,139312
2019-02-26,68.35,54095
2019-02-27,67.9,102999
2019-02-28,68.05,375130
2019-03-01,69.64,204272
2019-03-04,68.33,98331
2019-03-05,68.0,328294
2019-03-06,68.14,40514
2019-03-07,70.81,290855
2019-03-11,70.0,39389
2019-03-12,68.11,225726
2019-03-13,68.0,249078
2019-03-14,67.47,180882
2019-03-15,68.0,21356
2019-03-18,68.0,50852
2019-03-19,67.24,216624
2019-03-20,67.07,255820
2019-03-21,68.08,83355
2019-03-22,69.49,308735
2019-03-25,69.22,168647
2019-03-26,67.0,423135
2019-03-27,66.56,93371
2019-03-28,67.3,442376
2019-03-29,69.32,488636
2019-04-01,67.02,66466
2019-04-02,67.01,128845
2019-04-03,66.99,128804
2019-04-04,66.05,163500
2019-04-05,67.5,17132
2019-04-08,66.52,5364
2019-04-09,66.06,104448
2019-04-10,66.0,80803
2019-04-11,65.2,276043
2019-04-12,66.5,13045
2019-04-15,67.23,352319
2019-04-16,66.06,47243
2019-04-17,66.11,518732
2019-04-18,66.06,188840
2019-04-19,65.7,151708
2019-04-22,66.28,3029
2019-04-23,66.18,70123
2019-04-24,65.45,255653
2019-04-25,67.52,175961
2019-04-26,67.64,57996
2019-04-29,66.27,40088
2019-04-30,67.4,29370
2019-05-01,66.82,14276
2019-05-02,66.49,85337
2019-05-03,66.9,15731
2019-05-06,65.96,93464
2019-05-07,65.98,22664
2019-05-08,66.99,3172657
2019-05-09,66.9,2073
2019-05-10,63.69,101330
2019-05-13,64.5,18839
2019-05-14,65.17,21966
2019-05-15,64.77,53403
2019-05-16,64.78,25215
2019-05-17,64.5,4961
2019-05-20,63.89,72819
2019-05-21,64.0,44194
2019-05-22,62.44,70896
2019-05-23,62.94,142567
2019-05-24,63.94,19860
2019-05-27,62.19,12363
2019-05-28,63.55,350015
2019-05-29,62.78,29183
2019-05-30,63.45,188888
2019-05-31,63.0,2373
2019-06-03,60.19,1479682
2019-06-04,60.86,136884
2019-06-05,61.99,93328
2019-06-06,61.99,337501
2019-06-07,60.52,30639
2019-06-10,60.49,21053
2019-06-11,60.92,74600
2019-06-12,58.98,224708
2019-06-13,60.84,200450
2019-06-14,59.71,447901
2019-06-17,59.95,641564
2019-06-18,59.7,468183
2019-06-19,60.08,128810
2019-06-20,58.86,286552
2019-06-21,60.0,17273
2019-06-24,60.77,125373
