,Date,Close,Volume
50720,2024-02-26,10.99,49
50818,2024-02-28,10.99,25000
50964,2024-03-06,12.0,83
51014,2024-03-07,12.0,2288
51065,2024-03-11,10.96,1091
51207,2024-03-14,10.13,1000
51255,2024-03-15,10.14,5
51303,2024-03-18,10.14,191
51355,2024-03-19,10.14,270
51407,2024-03-20,10.14,101
51499,2024-03-22,11.65,220
51555,2024-03-25,11.65,10
51813,2024-04-01,11.65,611
51949,2024-04-04,11.65,500
52102,2024-04-09,11.65,8917
52148,2024-04-10,11.65,23
52337,2024-04-16,13.39,100
52377,2024-04-17,13.5,1000
52471,2024-04-19,13.5,25
52516,2024-04-22,13.5,72
52606,2024-04-24,13.49,1
52659,2024-04-25,13.3,7452
52755,2024-04-29,13.0,22
52806,2024-04-30,13.1,13000
52905,2024-05-02,13.1,1450
52997,2024-05-06,13.1,2
53045,2024-05-07,13.1,5
53093,2024-05-08,13.1,7
53182,2024-05-10,13.1,24
53469,2024-05-20,13.1,20000
53562,2024-05-22,13.1,18
53648,2024-05-27,13.0,18
53701,2024-05-28,13.0,80
53751,2024-05-29,13.0,214
53967,2024-06-05,12.0,1971
54142,2024-06-11,13.0,17
54478,2024-06-21,13.0,10
54564,2024-06-25,12.9,40
54648,2024-06-27,12.9,1
54819,2024-07-04,12.9,2205
54860,2024-07-05,12.5,5000
54906,2024-07-08,12.0,1000
54990,2024-07-16,12.0,100
55087,2024-07-18,12.0,1
55179,2024-07-22,12.0,8911
55223,2024-07-23,12.38,17
55309,2024-07-25,11.0,5000
55355,2024-07-26,10.0,49375
55665,2024-08-06,11.0,1000
55790,2024-08-09,12.13,9061
55876,2024-08-13,12.0,10668
56056,2024-08-19,12.99,69
56099,2024-08-20,12.99,3
56188,2024-08-22,12.99,3156
56327,2024-08-27,12.99,120
56516,2024-09-02,12.76,1833
56560,2024-09-03,12.0,523
56604,2024-09-04,12.0,420
56841,2024-09-11,13.0,1605
56890,2024-09-12,13.0,462
56980,2024-09-16,13.0,1060
57041,2024-09-17,13.0,650
57266,2024-09-24,13.0,7
57306,2024-09-25,13.0,70
57441,2024-09-30,13.0,2
57584,2024-10-04,13.0,100
57677,2024-10-08,13.0,2
57804,2024-10-14,13.0,381
57847,2024-10-15,13.0,400
57987,2024-10-18,13.0,1000
58213,2024-10-25,13.0,123
58261,2024-10-28,13.0,4771
58347,2024-10-30,13.0,25
58435,2024-11-01,13.0,228
58766,2024-11-12,11.05,16
58961,2024-11-18,,1895
59057,2024-11-20,11.32,106
59106,2024-11-21,11.32,1
59153,2024-11-22,11.01,4043
59254,2024-11-27,12.0,420
59352,2024-12-02,13.8,603
59403,2024-12-03,13.79,93
59461,2024-12-04,12.0,10631
59513,2024-12-05,13.8,1928
59567,2024-12-06,13.85,371843
59619,2024-12-09,13.85,5995
59669,2024-12-18,13.5,100
59716,2024-12-19,13.5,6
59761,2024-12-20,13.69,18899
59822,2024-12-23,13.85,41
59873,2024-12-24,13.69,5
59925,2024-12-25,13.72,69
59974,2024-12-26,13.85,124
60019,2024-12-27,13.85,2500
60071,2024-12-30,13.85,9265
60117,2024-12-31,13.85,19061
60161,2025-01-02,13.99,5
60207,2025-01-03,13.99,44
60262,2025-01-06,13.99,1051
60349,2025-01-08,13.99,10000
60401,2025-01-09,14.0,63
60449,2025-01-10,14.0,90
60499,2025-01-13,12.14,5552
60601,2025-01-15,13.85,246
60652,2025-01-16,14.0,800
60699,2025-01-17,13.99,4483
60809,2025-01-21,13.99,17
60865,2025-01-22,13.79,17
60914,2025-01-23,12.2,1454
60966,2025-01-24,14.0,459
61020,2025-01-27,14.0,1417
61129,2025-01-29,13.99,218
61182,2025-01-30,13.79,1267
61229,2025-01-31,14.0,773
61279,2025-02-03,14.0,3664
61380,2025-02-05,12.0,19009
61479,2025-02-07,12.0,2004
61539,2025-02-10,12.0,20000
61704,2025-02-13,12.99,8000
61758,2025-02-14,13.09,100
61912,2025-02-19,12.58,5304
61962,2025-02-20,13.09,521
62071,2025-02-24,13.55,1024
62125,2025-02-25,13.33,1255
62178,2025-02-26,13.55,5014
62226,2025-02-27,13.55,5750
62278,2025-02-28,13.55,505
62326,2025-03-06,13.0,319
62423,2025-03-10,13.0,1069
62516,2025-03-12,12.79,1576
62569,2025-03-13,12.2,4003
62612,2025-03-14,12.5,1600
62659,2025-03-17,12.5,3489
62710,2025-03-18,11.02,29536
62755,2025-03-19,12.36,97793
62800,2025-03-20,13.73,55854
62845,2025-03-21,14.5,100
62895,2025-03-24,14.58,15161
62945,2025-03-25,14.58,3
63077,2025-03-28,14.0,10000
63220,2025-04-02,14.0,67
63269,2025-04-03,14.0,1000
63323,2025-04-04,14.0,600
63374,2025-04-07,15.0,450
63425,2025-04-08,15.0,6583
63473,2025-04-09,15.0,10
63624,2025-04-14,14.99,1
63671,2025-04-15,14.99,48
63761,2025-04-17,14.99,1000
63913,2025-04-22,14.99,1
63953,2025-04-23,14.51,354
63999,2025-04-24,14.99,40
64130,2025-04-29,14.0,1000
64178,2025-04-30,14.0,1000
64226,2025-05-01,14.0,30
64277,2025-05-02,14.0,1000
64330,2025-05-05,14.0,13
64378,2025-05-06,14.0,1255
