Date,Close,Volume
2018-05-28,410.32,1244681
2018-05-29,424.99,934869
2018-05-30,427.84,603915
2018-05-31,413.12,994021
2018-06-04,404.85,218515
2018-06-05,406.12,91861
2018-06-06,401.02,165295
2018-06-07,387.65,177620
2018-06-08,390.7,155971
2018-06-11,382.0,132748
2018-06-12,380.51,101746
2018-06-13,380.16,84286
2018-06-14,378.69,62567
2018-06-15,375.19,7257
2018-06-18,377.29,116861
2018-06-19,379.75,102353
2018-06-20,391.77,231404
2018-06-21,408.51,171212
2018-06-22,413.6,59071
2018-06-25,408.39,44363
2018-06-26,406.74,52635
2018-06-27,399.85,27586
2018-06-28,390.91,25388
2018-06-29,405.0,70935
2018-07-02,404.4,23299
2018-07-03,399.52,33711
2018-07-04,400.28,20424
2018-07-05,397.62,17431
2018-07-06,396.05,26724
2018-07-09,385.31,99276
2018-07-10,393.96,13213
2018-07-16,397.05,254
2018-07-17,397.0,3000
2018-07-18,382.58,9936
2018-07-19,380.03,2837
2018-07-20,389.0,5512
2018-07-23,379.93,52190
2018-07-24,363.52,30949
2018-07-25,366.18,12720
2018-07-26,367.16,41310
2018-07-27,378.04,70473
2018-07-30,380.0,4831
2018-07-31,372.36,66205
2018-08-01,374.38,6600
2018-08-02,375.09,13577
2018-08-03,375.0,2771
2018-08-06,369.0,665
2018-08-07,367.03,53219
2018-08-08,370.95,56972
2018-08-09,367.78,25099
2018-08-10,360.0,23498
2018-08-13,358.58,7838
2018-08-14,353.12,7381
2018-08-15,347.32,4268
2018-08-16,349.09,23300
2018-08-17,351.91,38490
2018-08-20,354.55,20457
2018-08-21,350.0,6085
2018-08-22,350.0,3100
2018-08-23,348.28,15500
2018-08-24,348.14,3334
2018-08-27,344.17,9175
2018-08-28,342.1,44662
2018-08-29,343.81,45940
2018-08-30,343.66,110733
2018-08-31,344.04,7516
2018-09-03,344.18,50155
2018-09-04,342.98,20282
2018-09-05,343.55,59382
2018-09-06,342.89,21905
2018-09-07,341.7,18209
2018-09-10,340.87,54939
2018-09-11,339.0,61101
2018-09-12,334.12,51276
2018-09-13,329.47,13372
2018-09-14,336.69,89697
2018-09-17,333.8,15330
2018-09-18,332.0,27748
2018-09-19,334.92,86829
2018-09-20,340.0,8107
2018-09-21,339.26,5590
2018-09-24,318.5,4025
2018-09-25,324.9,8600
2018-09-26,328.5,8886
2018-09-27,335.08,51011
2018-09-28,337.13,25061
2018-10-01,378.83,56143
2018-10-02,375.68,43289
2018-10-03,364.21,56909
2018-10-04,344.75,39998
2018-10-05,366.77,22480
2018-10-08,360.17,19504
2018-10-10,329.99,68631
2018-10-11,323.21,25981
2018-10-12,320.68,4633
2018-10-15,320.0,18847
2018-10-16,315.64,19307
2018-10-17,321.0,9452
2018-10-18,320.54,8972
2018-10-19,326.64,12720
2018-10-22,340.16,7361
2018-10-23,340.0,8782
2018-10-24,338.4,23229
2018-10-25,338.38,17210
2018-10-26,339.0,800
2018-10-29,317.05,4275
2018-10-30,318.1,7100
2018-10-31,318.0,9670
2018-11-01,335.0,13688
2018-11-02,330.0,17015
2018-11-05,316.69,36365
2018-11-06,331.25,28601
2018-11-07,329.66,8931
2018-11-12,324.14,50564
2018-11-13,325.03,26359
2018-11-14,327.0,4757
2018-11-15,324.99,12517
2018-11-16,323.99,4285
2018-11-17,323.0,5016
2018-11-19,321.01,5900
2018-11-20,313.35,13796
2018-11-21,314.46,17217
2018-11-22,318.0,2600
2018-11-23,304.58,19264
2018-11-27,304.5,13933
2018-11-28,300.31,14666
2018-11-29,300.0,11771
2018-11-30,300.0,5613
2018-12-03,300.0,1050
2018-12-04,300.0,1059
2018-12-05,298.72,10010
2018-12-06,282.78,18326
2018-12-07,290.0,12267
2018-12-10,280.0,1434
2018-12-11,286.86,140
2018-12-12,285.21,12894
2018-12-13,284.0,3960
2018-12-14,282.07,3274
2018-12-17,285.0,7123
2018-12-18,280.0,11163
