Date,Close,Volume
2019-05-20,71.61,1692822
2019-05-21,70.64,1716514
2019-05-22,71.22,132693
2019-05-23,69.57,503200
2019-05-24,70.03,350092
2019-05-27,71.0,168436
2019-05-28,71.54,374995
2019-05-29,72.0,5309
2019-05-30,71.83,180993
2019-05-31,72.04,90681
2019-06-03,71.98,119513
2019-06-04,71.7,596460
2019-06-05,71.87,361552
2019-06-06,71.88,139302
2019-06-07,71.9,56545
2019-06-10,71.87,31961
2019-06-11,71.9,304828
2019-06-12,71.79,141160
2019-06-13,71.59,248203
2019-06-14,71.72,105784
2019-06-17,70.65,425258
2019-06-18,71.16,200896
2019-06-19,71.55,97097
2019-06-20,71.5,448076
2019-06-21,71.43,12680
2019-06-24,71.4,402065
2019-06-25,71.6,88841
2019-06-26,70.02,167767
2019-06-27,71.08,96299
2019-06-28,71.1,125731
2019-07-01,71.5,22300
2019-07-02,71.49,45002
2019-07-03,71.24,32498
2019-07-04,71.31,47501
2019-07-05,71.32,16632
2019-07-08,71.17,161799
2019-07-09,71.0,146030
2019-07-10,71.59,500
2019-07-16,71.5,73835
2019-07-17,71.5,6624
2019-07-18,71.5,9413
2019-07-19,71.57,1000
2019-07-22,70.24,115448
2019-07-23,70.85,107499
2019-07-24,70.37,105819
2019-07-25,70.0,9942
2019-07-29,66.8,32252
2019-07-30,65.61,14355
2019-07-31,69.06,41832
2019-08-01,70.0,7400
2019-08-02,66.0,51081
2019-08-05,65.09,37157
2019-08-06,65.0,8377
2019-08-07,65.0,33503
2019-08-09,66.0,38184
2019-08-12,67.0,3809
2019-08-13,67.0,7712
2019-08-14,67.0,5
2019-08-15,67.0,32021
2019-08-16,67.0,10
2019-08-19,67.0,296
2019-08-20,67.0,19319
2019-08-21,67.0,66000
2019-08-22,66.31,1441
2019-08-23,68.0,1
2019-08-26,67.9,96775
2019-08-27,69.0,18667
2019-08-28,69.0,5001
2019-08-29,68.0,10424
2019-08-30,69.0,78799
2019-09-02,69.0,6854
2019-09-04,65.33,22800
2019-09-05,64.57,39038
2019-09-07,65.1,1150
2019-09-09,65.89,6195
2019-09-10,68.0,600
2019-09-11,65.0,117885
2019-09-12,66.0,1
2019-09-13,65.78,19332
2019-09-16,65.9,374
2019-09-17,65.72,571
2019-09-18,61.68,15953
2019-09-19,60.0,3700
2019-09-20,62.0,1052
2019-09-23,60.03,25748
2019-09-24,60.0,200
2019-09-25,53.83,12317
2019-09-26,57.95,9477
2019-09-27,59.98,1480
2019-09-30,59.98,11871
2019-10-01,59.99,66034
2019-10-02,57.0,14121
2019-10-03,59.99,603
2019-10-04,59.99,94025
2019-10-07,56.17,82616
2019-10-08,59.63,29776
2019-10-09,60.25,72212
2019-10-10,63.79,18531
2019-10-11,64.4,3775
2019-10-14,63.47,39673
2019-10-15,63.73,75791
2019-10-16,64.0,376
2019-10-17,63.66,106590
2019-10-18,67.49,5500
2019-10-21,67.21,42107
2019-10-22,66.29,26237
2019-10-23,66.89,10700
2019-10-24,66.18,30788
2019-10-25,67.0,13150
2019-10-28,67.43,5826
2019-10-29,63.55,70286
2019-10-30,67.34,54849
2019-10-31,67.29,1602
2019-11-01,67.0,701
2019-11-04,66.49,20891
2019-11-05,65.93,29341
2019-11-06,66.79,13490
2019-11-07,66.84,34402
2019-11-08,66.85,110073
2019-11-11,66.26,61979
2019-11-12,67.62,86385
2019-11-13,67.99,23064
2019-11-14,67.99,16202
2019-11-18,66.19,70211
2019-11-19,67.98,22071
2019-11-20,66.93,66724
2019-11-21,67.79,200
2019-11-22,68.37,362228
2019-11-25,69.21,16151
2019-11-28,69.98,36142
2019-11-29,69.67,141140
2019-12-02,70.0,5800
2019-12-03,69.98,34026
2019-12-04,70.05,26000
2019-12-05,70.24,34632
2019-12-06,70.01,23090
2019-12-09,70.0,58817
2019-12-10,68.6,12587
2019-12-11,69.82,111
2019-12-12,69.96,22619
2019-12-13,70.02,76767
2019-12-16,70.5,145524
2019-12-17,69.42,29343
2019-12-18,68.83,46668
2019-12-19,69.0,38501
2019-12-20,70.4,20291
2019-12-23,69.31,33742
2019-12-24,70.0,12853
2019-12-25,70.0,3661
2019-12-26,70.0,46706
2019-12-27,70.0,7202
2019-12-30,70.02,7348
2019-12-31,70.3,100
2020-01-02,70.29,1409
2020-01-03,70.0,1220
2020-01-06,70.0,1701
2020-01-07,69.05,23192
2020-01-08,69.99,16032
2020-01-09,70.05,28849
2020-01-10,70.3,2361
2020-01-13,70.1,76750
2020-01-14,69.7,142960
2020-01-15,70.1,300
2020-01-16,70.01,58110
2020-01-17,70.0,29382
2020-01-20,70.0,89543
2020-01-22,70.41,72410
2020-01-23,70.02,8699
2020-01-24,70.0,179
2020-01-27,70.23,14603
2020-01-28,70.99,50
2020-01-29,71.27,3075
2020-01-30,71.54,650
2020-01-31,72.0,101
2020-02-03,71.74,6674
2020-02-04,75.0,60
2020-02-05,73.0,2015
2020-02-06,71.02,37313
2020-02-07,72.02,587
2020-02-10,73.35,1079
2020-02-11,72.23,877
2020-02-12,71.58,76941
2020-02-13,73.9,20
2020-02-14,73.9,2794
2020-02-17,73.9,71
2020-02-18,71.05,8771
2020-02-19,73.7,50
2020-02-20,73.49,1073
2020-02-21,72.99,837
2020-02-27,72.21,1950
2020-02-28,70.54,167556
2020-03-02,73.49,830
2020-03-03,71.0,20980
2020-03-04,70.5,5337
2020-03-05,70.17,8666
2020-03-06,71.0,1
2020-03-09,71.0,27837
2020-03-10,70.98,62293
2020-03-11,70.98,93218
2020-03-12,70.9,101
2020-03-16,70.99,7123
2020-03-17,70.95,12208
2020-03-18,70.95,600
2020-03-19,70.95,2800
2020-03-20,70.5,72571
2020-03-23,68.6,1013
2020-03-24,70.29,12964
2020-03-25,69.77,37920
2020-03-26,68.01,47779
2020-03-27,70.0,188826
2020-03-30,70.0,27586
2020-03-31,67.0,11632
2020-04-01,69.9,18100
2020-04-02,69.89,74533
2020-04-03,69.9,142234
2020-04-06,69.9,3996
2020-04-07,69.8,6393
2020-04-08,69.8,1300
2020-04-09,68.0,20740
2020-04-10,68.48,20850
2020-04-13,66.02,33103
2020-04-14,69.0,11451
2020-04-15,68.95,155100
2020-04-17,68.0,8057
2020-04-20,68.0,9307
2020-04-21,68.89,20491
2020-04-24,68.0,4103
2020-04-27,68.89,56128
2020-04-28,66.01,54360
2020-04-29,66.1,34735
2020-04-30,68.81,15735
2020-05-01,68.87,800
2020-05-04,68.0,10330
2020-05-05,67.5,4250
2020-05-06,67.49,38956
2020-05-07,65.0,11368
2020-05-08,67.0,9409
2020-05-11,67.0,20941
2020-05-13,67.0,7270
2020-05-14,67.0,2800
2020-05-15,67.0,5361
2020-05-18,67.0,29
2020-05-19,66.24,39711
2020-05-20,65.0,17458
2020-05-21,66.0,30500
2020-05-22,66.0,14545
2020-05-25,66.0,14955
2020-05-26,65.5,229319
2020-05-29,66.0,3975
2020-06-02,66.0,40100
2020-06-03,66.0,41631
2020-06-04,66.0,24340
2020-06-08,65.42,18819
2020-06-09,68.5,89916
2020-06-10,68.45,6600
2020-06-11,64.51,1000
2020-06-12,68.44,15575
2020-06-15,66.0,12657
2020-06-16,65.0,7000
2020-06-17,66.0,4317
2020-06-22,63.06,3275
2020-06-23,65.0,4480
2020-06-26,65.0,11024
2020-06-29,65.0,4
2020-06-30,65.0,2
2020-07-02,65.0,9826
2020-07-03,64.0,783
