Date,Close,Volume
2024-06-03,175.2,635
2024-06-04,178.0,392
2024-06-05,178.0,5
2024-06-06,178.02,3015
2024-06-07,178.16,15
2024-06-10,170.0,1038
2024-06-11,177.9,1539
2024-06-12,177.9,383
2024-06-13,177.85,1850
2024-06-14,175.32,77
2024-06-17,175.0,2736
2024-06-18,175.0,132
2024-06-19,177.61,678
2024-06-20,177.84,3600
2024-06-24,177.84,1005
2024-06-25,177.84,5
2024-06-27,177.84,7
2024-07-01,177.84,59
2024-07-02,161.38,1174
2024-07-03,169.0,1109
2024-07-05,169.0,418
2024-07-08,162.0,141
2024-07-16,169.0,80
2024-07-17,177.0,1228
2024-07-18,150.45,769
2024-07-19,173.0,32
2024-07-22,168.59,402
2024-07-23,175.88,1000
2024-07-24,175.0,49
2024-07-25,175.0,605
2024-07-26,176.5,15010
2024-07-29,180.0,12001
2024-07-30,170.0,2510
2024-07-31,165.0,2199
2024-08-01,183.92,7595
2024-08-02,184.0,294
2024-08-05,183.94,288
2024-08-06,182.0,2349
2024-08-07,182.0,2000
2024-08-08,184.2,8932
2024-08-09,186.46,5300
2024-08-12,187.42,4140
2024-08-13,188.65,2110
2024-08-14,189.15,1009
2024-08-15,189.0,2549
2024-08-16,189.9,5672
2024-08-19,190.96,1100
2024-08-20,189.0,121
2024-08-21,189.0,199
2024-08-22,189.0,102
2024-08-23,189.0,1080
2024-08-26,189.87,230
2024-08-28,180.0,2210
2024-08-29,189.0,1140
2024-08-30,191.47,12777
2024-09-03,188.5,100
2024-09-09,189.5,1704227
2024-09-10,189.0,10
2024-09-11,189.0,77
2024-09-13,188.0,1857
2024-09-16,165.0,11
2024-09-17,189.0,562
2024-09-18,187.01,9001
2024-09-19,165.0,5629
2024-09-20,183.0,2000
2024-09-23,180.0,1152850
2024-09-24,180.0,23
2024-09-25,179.69,1824
2024-09-26,179.47,2000
2024-09-27,177.04,77
2024-09-30,180.5,14525
2024-10-02,179.75,1069
2024-10-03,179.0,1000
2024-10-07,179.59,5500
2024-10-08,179.59,503
2024-10-09,179.61,1296
2024-10-10,179.54,110
2024-10-16,180.0,1
2024-10-17,169.18,516
2024-10-21,180.0,55
2024-10-23,179.0,1190
2024-10-24,179.0,4752
2024-10-25,179.75,40
2024-10-28,179.75,295
2024-10-29,175.0,5
2024-10-30,177.0,600
2024-10-31,177.0,400
2024-11-01,179.17,5000
2024-11-04,179.99,5001
2024-11-06,179.95,74
2024-11-11,177.0,300
2024-11-12,180.0,3002
2024-11-13,180.0,2010
2024-11-14,177.0,1369
2024-11-15,170.0,200
2024-11-18,,5703
2024-11-20,179.99,100
2024-11-21,166.0,314
2024-11-25,178.99,416
2024-11-27,177.0,81
2024-11-28,175.94,4534
2024-12-02,170.09,584
2024-12-03,176.69,3588
2024-12-04,178.83,1000
2024-12-05,178.13,38
2024-12-06,167.0,50
2024-12-09,178.0,3010
2024-12-18,167.0,10
2024-12-23,180.18,11081
2024-12-24,182.0,3010
2024-12-25,182.8,5500
2024-12-26,183.0,50
2025-01-09,179.8,5
2025-01-10,180.0,5
2025-01-13,180.0,5
2025-01-14,179.5,5
2025-01-16,175.0,5
2025-01-20,177.0,15
2025-01-21,177.0,20
2025-01-22,175.93,61
2025-01-23,176.0,1299
2025-01-27,176.0,189
2025-01-28,176.0,4
2025-01-29,176.0,29
2025-01-30,175.81,21
2025-01-31,176.0,100
2025-02-03,176.0,10
2025-02-04,176.0,515
2025-02-05,176.0,2817
2025-02-06,176.0,122
2025-02-07,171.16,102
2025-02-10,172.0,50
2025-02-11,172.28,150
2025-02-12,176.0,2000
2025-02-13,176.0,1411
2025-02-14,176.0,51
2025-02-17,176.0,41
2025-02-18,175.9,232
2025-02-20,175.5,218
2025-02-21,175.9,52
2025-02-24,177.79,99006
2025-02-25,190.0,10615
2025-02-26,200.0,45
2025-02-27,190.1,258
2025-02-28,200.0,66
2025-03-06,198.0,2379
2025-03-07,198.5,531
2025-03-10,198.5,1533
2025-03-11,199.9,16909
2025-03-12,198.58,2017
2025-03-13,196.83,5138
2025-03-14,199.48,526
2025-03-17,201.0,7164
2025-03-18,201.0,100
2025-03-19,201.0,20
2025-03-20,200.38,5080
2025-03-24,200.5,1780
2025-03-25,200.48,18189
2025-03-26,201.42,10356
2025-03-27,203.0,6742
2025-03-28,202.43,19905
2025-03-31,203.0,6022
2025-04-01,204.0,21875
2025-04-02,205.0,11220
2025-04-03,205.0,1685
2025-04-04,205.0,3709
2025-04-07,206.0,28606
2025-04-08,206.0,2460
2025-04-09,206.0,100
2025-04-10,202.14,16032
2025-04-11,202.01,7697
2025-04-14,205.0,12276
2025-04-15,197.91,21224
2025-04-18,199.94,1577
2025-04-21,200.0,1016
2025-04-22,200.0,7344
2025-04-23,199.52,1235
2025-04-24,200.0,21165
2025-04-25,200.0,1000
2025-04-28,200.0,1000
2025-04-29,200.0,1138
2025-04-30,199.61,2240
2025-05-01,200.0,3100
2025-05-02,200.0,3395
2025-05-05,184.26,10293
2025-05-06,207.0,1358
2025-05-07,207.0,1000
2025-05-08,207.0,1439
2025-05-09,207.0,2500
