Date,Close,Volume
2024-02-26,17000.0,7
2024-03-11,19500.0,3
2024-03-14,17000.0,1
2024-03-25,17000.0,1
2024-04-02,16100.0,1
2024-04-09,16100.0,1
2024-04-12,16200.0,3
2024-04-26,16500.0,20
2024-05-09,15000.0,5
2024-05-13,16500.0,1
2024-05-15,17900.0,3
2024-05-27,17500.0,1
2024-05-31,15000.0,2
2024-06-07,17250.0,1
2024-06-19,15000.0,20
2024-06-20,15000.0,450
2024-06-21,15000.0,170
2024-06-26,15040.0,153
2024-06-27,17250.0,984
2024-07-01,17000.0,2
2024-07-29,17000.0,2
2024-08-12,16000.0,5
2024-08-20,15000.0,50
2024-08-30,15000.0,10
2024-09-03,17000.0,1
2024-09-11,17000.0,1
2024-09-20,15020.0,101
2024-09-23,15000.0,100
2024-09-24,15000.0,700
2024-09-25,15000.0,200
2024-09-27,14000.0,2
2024-09-30,16000.0,202
2024-10-02,15000.0,100
2024-10-03,15000.0,2225
2024-10-04,15000.0,500
2024-10-08,15000.0,10
2024-10-10,15500.0,1
2024-10-14,15450.0,1
2024-10-15,15000.0,15
2024-10-22,15450.0,1
2024-10-25,16900.0,49
2024-11-04,16900.0,11
2024-11-11,16900.0,66
2024-11-19,16900.0,19
2024-11-27,16900.0,4
2024-12-02,19400.0,1
2024-12-03,19000.0,1
2024-12-24,16200.0,1
2024-12-26,15200.0,15
2024-12-27,15100.0,10
2024-12-31,16570.0,215
2025-01-14,16370.0,33
2025-01-21,16000.0,10
2025-02-10,15120.0,2
2025-02-11,15120.0,108
2025-02-13,15000.0,26
2025-02-26,15980.0,1
2025-02-27,15980.0,7
2025-03-06,15000.0,1
2025-03-10,17000.0,2
2025-03-20,15500.0,1
2025-03-21,14010.0,102
2025-03-28,16000.0,105
2025-03-31,14010.0,20
2025-04-04,15000.0,1
2025-04-08,14500.0,1
2025-04-14,12500.0,1
2025-04-17,12250.0,18
2025-04-21,12250.0,95
2025-04-22,12500.0,100
2025-04-24,13000.0,2
2025-04-29,13000.0,1
2025-05-02,13000.0,5
2025-05-07,12500.0,1
2025-05-08,12500.0,20
