Date,Close,Volume
2023-09-27,199.05,318925
2023-09-28,193.16,22835
2023-09-29,191.0,123608
2023-10-02,186.26,17230
2023-10-03,184.82,203936
2023-10-05,171.01,23265
2023-10-06,162.6,25111
2023-10-10,157.0,37787
2023-10-11,157.0,1855
2023-10-12,150.99,10140
2023-10-13,152.06,614
2023-10-16,153.86,8125
2023-10-17,157.0,48464
2023-10-18,169.76,4734
2023-10-20,165.6,374
2023-10-23,160.77,1412
2023-10-24,163.5,723
2023-10-25,155.26,3891
2023-10-26,161.11,9213
2023-10-27,152.86,4813
2023-10-30,159.0,60
2023-10-31,182.69,550956
2023-11-01,156.0,22040
2023-11-02,160.3,5134
2023-11-03,164.97,1201
2023-11-06,164.97,4014
2023-11-07,164.83,50885
2023-11-08,152.33,71370
2023-11-09,151.01,82818
2023-11-10,157.0,222
2023-11-13,158.42,1698
2023-11-15,157.0,890
2023-11-16,159.99,3412
2023-11-17,156.03,16739
2023-11-20,163.98,8167
2023-11-21,169.31,9634
2023-11-22,175.67,274058
2023-11-23,170.0,9270
2023-11-24,170.0,70
2023-11-27,160.65,541
2023-11-28,162.0,1998
2023-11-29,170.0,2
2023-11-30,169.98,1261
2023-12-01,169.9,8
2023-12-05,169.9,253
2023-12-06,165.91,320
2023-12-07,164.49,602
2023-12-08,163.0,838
2023-12-11,161.83,762
2023-12-12,168.95,209602
2023-12-13,160.33,4991
2023-12-15,161.01,1061
2023-12-18,161.0,714
2023-12-19,169.8,1161
2023-12-20,169.8,372
2023-12-21,169.89,2482
2023-12-22,162.84,70
2023-12-25,160.59,40023
2023-12-26,165.0,502
2023-12-27,165.0,1298
2023-12-28,180.39,94645
2024-01-02,186.82,80873
2024-01-03,193.77,134331
2024-01-04,204.79,147647
2024-01-05,193.87,10205
2024-01-08,181.0,2037
2024-01-09,190.98,1985
2024-01-10,190.99,16
2024-01-11,188.99,105
2024-01-12,188.33,1449
2024-01-15,187.99,10
2024-01-16,187.0,78
2024-01-17,187.0,370
2024-01-18,186.98,29
2024-01-19,187.0,3290
2024-01-22,175.0,4109
2024-01-23,174.5,12
2024-01-24,174.5,12
2024-01-25,186.98,1827
2024-01-26,182.0,342
2024-01-29,185.99,5710
2024-01-30,184.0,20710
2024-01-31,165.46,4101
2024-02-01,176.52,24334
2024-02-02,180.0,1248
2024-02-05,177.56,3598
2024-02-06,181.5,1183
2024-02-07,181.3,2329
2024-02-08,181.3,150
2024-02-09,183.97,2508
2024-02-13,185.9,2530
2024-02-14,185.9,1914
2024-02-15,185.9,125
2024-02-16,185.5,15
2024-02-19,185.5,36832
2024-02-20,170.86,3675
2024-02-21,170.4,22395
2024-02-22,175.0,7442
2024-02-23,182.36,1532
2024-02-26,182.0,1578
2024-02-27,182.0,5242
2024-02-28,180.0,25
2024-02-29,184.9,10871
2024-03-05,182.0,4442
2024-03-06,180.0,36
2024-03-07,179.02,124
2024-03-11,176.61,3196
2024-03-12,180.0,1528
2024-03-13,179.99,5
2024-03-14,180.0,626
