Date,Close,Volume
2024-02-27,3800.0,177
2024-02-29,4128.0,92
2024-03-05,4140.0,1
2024-03-06,4140.0,9
2024-03-07,4120.0,17
2024-03-11,4123.0,10
2024-03-12,4100.0,5
2024-03-15,4100.0,46
2024-03-20,4000.0,5
2024-03-25,3804.0,155
2024-03-26,3800.0,21
2024-03-27,4140.0,9
2024-03-28,4140.0,3
2024-04-04,4453.0,1151
2024-04-05,4500.0,50
2024-04-08,4473.0,23
2024-04-09,3825.0,2
2024-04-15,3510.0,33
2024-04-18,3773.0,234
2024-04-30,4338.0,1
2024-05-01,4338.0,2
2024-05-08,4300.0,20
2024-05-13,3655.0,713
2024-05-14,3688.0,170
2024-05-17,3690.0,51
2024-05-20,3700.0,10
2024-05-21,3919.0,196
2024-05-28,4000.0,44
2024-05-29,4100.0,508
2024-05-30,4100.0,5
2024-06-05,3800.0,7
2024-06-06,3809.0,8
2024-06-07,4000.0,10
2024-06-13,4000.0,5
2024-06-17,3737.0,88
2024-06-24,3911.0,17
2024-06-25,3990.0,50
2024-06-27,3918.0,16
2024-07-05,3950.0,45
2024-07-08,3950.0,13
2024-07-09,3990.0,16
2024-07-16,3990.0,12
2024-07-17,4100.0,5
2024-07-18,4100.0,14
2024-07-19,4200.0,1520
2024-07-22,4000.0,100
2024-07-24,4000.0,65
2024-08-06,4500.0,12
2024-08-07,4500.0,10
2024-08-12,4500.0,2
2024-08-16,4500.0,30
2024-08-19,3994.0,89
2024-08-21,4100.0,10
2024-08-22,4100.0,10
2024-08-23,3800.0,17
2024-08-26,4100.0,5
2024-08-30,4191.0,67
2024-09-02,4100.0,85
2024-09-03,4200.0,2
2024-09-09,3800.0,2
2024-09-10,3805.0,6
2024-09-12,4190.0,107
2024-09-13,3800.0,63
2024-09-18,4100.0,39
2024-09-23,4200.0,7
2024-09-25,4200.0,7
2024-09-26,4100.0,470
2024-09-27,4200.0,2
2024-09-30,4200.0,2
2024-10-02,4200.0,1
2024-10-07,4206.0,167
2024-10-08,4400.0,12
2024-10-09,4400.0,13
2024-10-18,4100.0,2
2024-10-21,4450.0,329
2024-10-22,4427.0,59
2024-10-23,4150.0,120
2024-10-25,4150.0,5
2024-11-01,4150.0,5
2024-11-04,4150.0,130
2024-11-05,4100.0,100
2024-11-07,4100.0,1
2024-11-11,4100.0,5
2024-11-12,4001.0,67
2024-11-15,4000.0,97
2024-11-22,4377.0,24
2024-11-27,4000.0,60
2024-11-28,4377.0,7
2024-12-02,4377.0,1
2024-12-04,4158.0,2013
2024-12-05,4350.0,5
2024-12-06,3801.0,5
2024-12-18,3910.0,23
2024-12-20,3910.0,47
2024-12-23,4200.0,14
2024-12-24,4200.0,4
2024-12-26,4000.0,5
2024-12-30,3980.0,206
2025-01-06,4000.0,16
2025-01-07,3951.0,621
2025-01-13,4200.0,15
2025-01-14,4200.0,12
2025-01-15,4200.0,2
2025-01-16,3951.0,21
2025-01-21,3986.0,149
2025-01-23,4000.0,40
2025-01-28,4000.0,15
2025-01-29,4030.0,10
2025-01-30,4198.0,4
2025-01-31,4000.0,90
2025-02-06,4198.0,1
2025-02-07,4001.0,30
2025-02-12,4000.0,712
2025-02-14,4184.0,231
2025-02-17,4001.0,25
2025-02-18,4146.0,2
2025-02-24,4001.0,8
2025-02-27,4099.0,108
2025-03-06,4142.0,13
2025-03-07,4176.0,47
2025-03-10,4003.0,10
2025-03-12,4004.0,196
2025-03-13,4003.0,149
2025-03-17,4176.0,1
2025-03-18,4000.0,15
2025-03-19,3800.0,111
2025-03-20,3800.0,55
2025-03-21,3800.0,21
2025-03-24,3800.0,455
2025-03-27,3621.0,1
2025-03-28,4158.0,100
2025-03-31,4155.0,1
2025-04-01,4155.0,10
2025-04-04,3620.0,20
2025-04-08,3620.0,64
2025-04-09,3930.0,101
2025-04-10,3980.0,2
2025-04-11,3980.0,18
2025-04-15,3996.0,71
2025-04-16,3800.0,3
2025-04-18,3520.0,2
2025-04-21,3900.0,8
2025-04-22,3520.0,20
2025-04-24,3610.0,2
2025-04-25,3615.0,4
2025-04-28,3610.0,17
2025-04-29,3803.0,130
2025-05-01,3300.0,341
2025-05-02,3329.0,74
2025-05-07,3343.0,29
2025-05-08,3600.0,437
2025-05-09,3949.0,94
