Date,Close,Volume
2018-09-24,49.9,2073400
2018-09-25,49.9,64800
2018-09-26,48.44,215400
2018-09-27,48.03,83400
2018-09-28,47.02,172100
2018-10-01,45.45,103200
2018-10-02,47.93,774600
2018-10-03,48.11,198400
2018-10-04,48.01,222500
2018-10-05,48.0,311400
2018-10-08,45.77,3182500
2018-10-09,46.13,60300
2018-10-10,49.25,9785500
2018-10-11,46.0,21300
2018-10-12,47.01,15100
2018-10-15,48.59,1516800
2018-10-16,48.37,409700
2018-10-17,49.29,289800
2018-10-18,49.35,4468000
2018-10-19,49.1,117700
2018-10-22,48.45,119700
2018-10-23,48.5,866600
2018-10-24,48.11,184800
2018-10-25,49.86,1290000
2018-10-26,50.1,631100
2018-10-29,50.1,15700
2018-10-30,50.7,231500
2018-10-31,49.01,200200
2018-11-01,49.83,357100
2018-11-02,50.0,500
2018-11-05,49.5,835900
2018-11-06,49.62,665300
2018-11-07,49.54,327700
2018-11-12,48.43,66000
2018-11-13,48.11,16100
2018-11-14,49.0,104900
2018-11-15,48.01,350100
2018-11-16,48.4,36600
2018-11-17,48.2,7000
2018-11-19,48.89,3200
2018-11-20,47.67,17500
2018-11-21,48.4,63200
2018-11-22,47.6,15800
2018-11-23,47.39,453800
2018-11-28,47.97,11900
2018-11-29,46.49,188700
2018-11-30,46.91,329900
2018-12-03,47.0,59000
2018-12-04,46.89,27400
2018-12-05,46.87,16100
2018-12-06,47.88,231100
2018-12-07,48.36,1064600
2018-12-10,49.0,797400
2018-12-11,49.81,291800
2018-12-12,49.95,1091900
2018-12-13,52.65,859500
2018-12-14,51.45,256400
2018-12-17,51.5,98300
2018-12-18,52.25,1051700
2018-12-19,51.05,573000
2018-12-20,51.5,734700
2018-12-21,53.0,3700
2018-12-24,51.25,338100
2018-12-25,51.5,124500
2018-12-26,52.0,433400
2018-12-27,52.0,11200
2018-12-28,52.0,1800
2018-12-31,52.5,200
2019-01-02,53.0,11200
2019-01-03,52.6,341000
2019-01-04,50.1,173100
2019-01-07,50.0,90000
2019-01-08,51.0,5500
2019-01-09,50.0,16500
2019-01-10,49.93,16000
2019-01-11,50.0,33400
2019-01-14,49.41,34100
2019-01-15,50.9,8100
2019-01-16,50.0,20000
2019-01-17,50.0,20100
2019-01-21,50.65,578000
2019-01-22,49.59,143200
2019-01-23,49.99,95600
2019-01-24,50.65,36000
2019-01-25,50.9,15100
2019-01-28,50.2,21000
2019-01-29,50.8,66400
2019-01-30,50.25,34800
2019-01-31,51.0,3600
2019-02-01,51.75,201800
2019-02-02,51.65,1682700
2019-02-04,55.1,597900
2019-02-11,53.55,594300
2019-02-12,51.9,70800
2019-02-13,52.5,109900
2019-02-14,53.0,17900
2019-02-15,52.6,41000
2019-02-18,52.6,22000
2019-02-19,53.0,23400
2019-02-20,52.6,13700
2019-02-21,52.4,12600
2019-02-22,52.9,2000
2019-02-25,50.75,30000
2019-02-26,49.52,107100
2019-02-27,49.99,21700
2019-02-28,50.5,11400
2019-03-01,51.0,3306100
2019-03-04,51.0,10300
2019-03-05,51.5,100
2019-03-06,50.7,30000
2019-03-07,50.95,5800
2019-03-11,50.0,109400
2019-03-12,51.35,100000
2019-03-13,50.9,121000
2019-03-14,50.25,197400
2019-03-15,51.3,32500
2019-03-18,50.65,220700
2019-03-19,51.4,17400
2019-03-20,53.0,896100
2019-03-21,52.05,655200
2019-03-22,52.0,24400
2019-03-25,52.15,105700
2019-03-26,51.95,139100
2019-03-27,51.6,195900
2019-03-28,52.25,161200
2019-03-29,51.2,5500
