Date,Close,Volume
2024-02-26,17.5,235
2024-02-29,16.0,10170
2024-03-07,15.51,4
2024-03-13,15.0,719
2024-03-14,15.5,100
2024-03-18,17.2,554
2024-03-19,17.5,1300
2024-03-26,17.0,3
2024-03-28,15.0,50
2024-03-29,16.99,36
2024-04-01,16.82,110
2024-04-02,17.0,400
2024-04-03,16.99,100
2024-04-05,16.8,500
2024-04-18,16.8,1213
2024-04-19,16.8,221
2024-04-25,15.01,66
2024-04-29,16.99,150
2024-04-30,15.0,82
2024-05-01,14.0,500
2024-05-03,14.01,71
2024-05-06,14.01,29
2024-05-07,14.0,450
2024-05-10,14.01,12
2024-05-13,15.0,3
2024-05-29,15.0,225
2024-06-03,15.0,300
2024-06-05,14.0,597
2024-06-07,14.99,50
2024-06-17,14.99,197
2024-06-20,15.0,341
2024-06-21,17.25,55
2024-06-25,18.0,50
2024-06-27,18.5,22
2024-07-09,18.5,50
2024-07-16,18.5,85
2024-07-25,18.5,1
2024-08-16,18.7,202
2024-08-29,18.5,2
2024-09-03,18.49,1
2024-09-11,18.49,2
2024-09-12,18.49,798
2024-09-25,21.26,8899
2024-09-26,21.26,11
2024-09-27,24.44,9380
2024-09-30,24.44,11
2024-10-03,24.44,11
2024-10-21,24.44,2450
2024-11-21,23.9,30
2024-11-22,23.9,538
2024-11-27,23.9,82
2024-12-02,23.98,135
2024-12-03,23.98,500
2024-12-05,23.0,100
2024-12-18,24.3,10
2024-12-19,24.3,1540
2024-12-20,27.0,100
2024-12-23,28.75,3500
2024-12-26,26.0,360
2024-12-27,26.0,50017
2025-01-02,26.0,2
2025-01-03,26.0,201
2025-01-10,25.0,34
2025-02-03,24.0,2000
2025-02-19,20.5,5000
2025-03-12,20.5,200
2025-03-19,20.5,500
2025-03-20,20.5,445
2025-03-27,23.57,38
2025-03-28,23.57,7032
2025-03-31,27.0,1000
2025-04-17,26.5,1005
2025-05-02,25.0,4621
