Date,Close,Volume
2023-01-09,115.0,50644
2023-01-10,132.25,77317
2023-01-11,152.08,308276
2023-01-12,174.89,530780
2023-01-13,162.12,10117002
2023-01-16,162.47,2025276
2023-01-17,168.45,1104053
2023-01-18,164.83,437926
2023-01-19,165.59,424025
2023-01-20,164.1,467048
2023-01-23,160.26,405005
2023-01-24,153.5,426729
2023-01-25,151.69,471652
2023-01-26,145.88,1380347
2023-01-27,154.25,245750
2023-01-30,154.72,353135
2023-01-31,155.06,151246
2023-02-01,156.04,121582
2023-02-02,157.1,257476
2023-02-03,160.85,190487
2023-02-06,167.07,300182
2023-02-07,167.66,172101
2023-02-08,179.24,643162
2023-02-09,179.99,756309
2023-02-10,179.51,138091
2023-02-13,180.17,147805
2023-02-14,180.13,119906
2023-02-15,178.31,123156
2023-02-16,177.26,60646
2023-02-17,175.7,123491
2023-02-20,178.39,57396
2023-02-24,179.96,56956
2023-02-27,180.0,98294
2023-02-28,177.98,80256
2023-03-01,176.55,75383
2023-03-02,178.7,96733
2023-03-03,175.53,97367
2023-03-06,172.47,42910
2023-03-07,173.35,34880
2023-03-09,170.07,92234
2023-03-10,169.44,72325
2023-03-13,169.66,30464
2023-03-14,170.0,14678
2023-03-15,164.66,159659
2023-03-16,162.23,83469
2023-03-17,156.81,144862
2023-03-20,160.57,223201
2023-03-21,158.12,65655
2023-03-22,160.22,21095
2023-03-23,159.5,31098
2023-03-24,160.7,55833
2023-03-27,157.57,57329
2023-03-28,160.13,30339
2023-03-29,161.01,121045
2023-03-30,160.8,88292
2023-03-31,160.35,103416
2023-04-03,159.82,172730
2023-04-04,158.5,223143
2023-04-05,157.64,162231
2023-04-06,155.03,89537
2023-04-07,152.45,663095
2023-04-10,150.05,206078
2023-04-11,151.31,151103
2023-04-12,154.13,79969
2023-04-13,154.37,13747
2023-04-14,160.5,209488
2023-04-17,157.27,145555
2023-04-18,156.69,290321
2023-04-19,154.26,222922
2023-04-20,155.0,80577
2023-04-21,155.89,178368
2023-04-24,156.0,99149
2023-04-25,156.0,105610
2023-04-26,162.78,525807
2023-04-27,155.94,178660
2023-04-28,159.91,147784
2023-05-01,156.67,109533
2023-05-02,152.47,493957
2023-05-03,158.9,141801
2023-05-04,154.45,154796
2023-05-05,157.87,72469
2023-05-08,155.53,54929
2023-05-09,155.13,85390
2023-05-10,155.99,56900
2023-05-11,153.94,102411
2023-05-12,153.38,47191
2023-05-15,150.44,46804
2023-05-16,152.8,105672
2023-05-17,151.39,225230
2023-05-18,149.98,183548
2023-05-19,148.92,102055
2023-05-22,148.08,87023
2023-05-23,145.91,95615
2023-05-24,145.16,82023
2023-05-25,145.0,22420
2023-05-26,141.0,83881
2023-05-29,144.4,116523
2023-05-30,148.06,279286
2023-05-31,141.71,178544
2023-06-02,144.78,35730
2023-06-05,142.96,61163
2023-06-06,141.95,20332
2023-06-07,143.53,11845
2023-06-08,140.21,143904
2023-06-09,142.51,37465
2023-06-12,139.39,99686
2023-06-13,139.28,26083
2023-06-14,139.72,19774
2023-06-15,142.94,70085
2023-06-16,143.88,114157
2023-06-19,141.26,30682
2023-06-20,143.07,7984
2023-06-21,142.67,16152
2023-06-22,140.66,42888
2023-06-23,143.93,13552
2023-06-26,144.0,6102
2023-06-27,143.23,40735
2023-06-28,142.54,108384
2023-06-29,144.32,78139
2023-06-30,144.08,11901
2023-07-03,144.78,17685
2023-07-04,144.15,14763
2023-07-05,144.15,11884
2023-07-06,144.2,41631
2023-07-07,135.32,826663
2023-07-17,131.55,194622
2023-07-18,122.86,757005
2023-07-19,125.5,68884
2023-07-20,126.46,19600
2023-07-21,125.7,91111
2023-07-24,127.0,83093
2023-07-25,124.9,37845
2023-07-26,125.6,14634
2023-07-27,125.44,18683
2023-07-28,125.56,20018
2023-07-31,124.12,221367
2023-08-01,125.5,114043
2023-08-02,124.92,58099
2023-08-03,121.9,94051
2023-08-04,119.97,62923
2023-08-07,116.03,212787
2023-08-08,112.64,255307
2023-08-09,115.21,20026
2023-08-10,115.77,79102
2023-08-11,113.19,734209
2023-08-14,108.76,71935
2023-08-15,110.24,87592
2023-08-16,112.12,131915
2023-08-17,113.52,13822
2023-08-18,115.82,87120
2023-08-21,115.0,112080
2023-08-22,116.0,50295
2023-08-23,117.99,50405
2023-08-24,117.53,12116
2023-08-25,110.78,217727
