Date,Open,High,Low,Close,Volume
2022-01-03,338.48,338.48,329.78,334.75,28350600
2022-01-04,335.18,335.18,326.12,329.01,32674300
2022-01-05,325.85,326.07,315.98,316.38,44929700
2022-01-06,313.15,318.70,311.49,313.88,39646200
2022-01-07,314.72,316.50,310.09,314.04,32720700
2022-01-10,314.07,318.23,306.30,314.27,44389200
2022-01-11,313.10,316.61,309.89,314.98,34078500
2022-01-12,317.77,319.13,313.31,318.27,36671400
2022-01-13,320.01,320.40,311.77,304.80,46809100
2022-01-14,303.51,305.33,300.45,303.33,43570500
2022-01-18,302.73,303.76,294.83,295.65,50747300
2022-01-19,297.00,297.39,289.04,290.73,69794000
2022-01-20,294.00,298.57,289.52,296.03,60441300
2022-01-21,296.20,298.51,287.42,288.57,73279800
2022-01-24,287.00,292.37,276.05,288.86,130737900
2022-01-25,286.00,289.99,280.10,288.41,75899700
2022-01-26,300.00,303.54,294.01,296.71,70786600
2022-01-27,307.90,308.50,297.42,299.84,46523800
2022-01-28,299.81,308.48,294.45,308.26,48435800
2022-01-31,311.52,311.65,305.92,310.98,52823500
2022-02-01,308.89,309.85,305.85,308.76,46091500
2022-02-02,307.98,310.60,302.71,305.94,51861100
2022-02-03,302.20,302.64,299.19,301.25,44405700
2022-02-04,300.23,305.08,299.58,302.38,33444800
2022-02-07,302.00,303.71,299.75,300.95,30912200
2022-02-08,300.01,302.99,299.52,302.65,27158400
2022-02-09,307.37,313.92,307.00,311.21,39623400
2022-02-10,307.18,309.40,301.15,302.38,40349400
2022-02-11,301.16,303.25,295.15,295.04,38649800
2022-02-14,294.28,299.71,291.35,295.00,42647800
2022-02-15,300.00,300.81,297.40,300.47,31100900
2022-02-16,298.35,300.87,296.83,299.50,29982100
2022-02-17,297.21,297.37,290.00,290.73,40117400
2022-02-18,291.68,293.65,286.46,287.93,39248400
2022-02-22,288.45,291.55,284.50,287.72,38359000
2022-02-23,290.18,290.20,280.10,280.27,36139600
2022-02-24,272.51,288.00,271.52,294.59,65880700
2022-02-25,295.14,297.41,291.66,297.31,37258400
2022-02-28,295.80,299.15,294.18,297.99,32457900
2022-03-01,296.37,299.97,295.00,294.95,28362100
2022-03-02,296.33,301.47,295.89,300.19,30991200
2022-03-03,300.01,303.13,297.97,295.92,29407100
2022-03-04,298.88,299.39,290.65,295.92,32645100
2022-03-07,292.20,293.30,280.44,280.27,48818800
2022-03-08,278.21,283.21,270.00,275.85,40623300
2022-03-09,283.05,286.13,280.30,288.50,39740500
2022-03-10,281.56,284.02,277.16,280.81,32146000
2022-03-11,283.50,284.50,275.54,275.59,36872800
2022-03-14,276.42,278.84,270.38,276.44,42272000
2022-03-15,281.00,287.41,277.88,287.15,43844500
2022-03-16,290.82,294.57,286.58,294.39,41842300
2022-03-17,294.70,295.07,291.15,295.22,27578100
2022-03-18,296.96,301.00,293.30,300.43,48433400
2022-03-21,299.30,300.14,294.71,299.16,31903100
2022-03-22,298.89,304.00,297.95,304.06,33657700
2022-03-23,299.78,304.20,299.50,299.49,30310000
2022-03-24,300.93,305.74,300.75,304.10,26359400
