Date,Close,Volume
2007-01-02,0.5,239000
2007-01-05,0.5,11000
2007-01-08,0.501,122000
2007-01-15,0.5,136000
2007-01-18,0.5,185000
2007-01-22,0.5,44000
2007-01-24,0.5,211000
2007-01-26,0.5,578000
2007-01-29,0.5,94000
2007-02-01,0.5,4000
2007-02-02,0.5,3000
2007-02-05,0.502,346000
2007-02-06,0.515,23000
2007-02-07,0.53,19000
2007-02-08,0.55,50000
2007-02-14,0.53,92000
2007-02-15,0.553,140000
2007-02-27,0.571,86000
2007-05-02,0.65,160000
2007-05-03,0.65,54000
2007-05-04,0.8,1000
2007-05-21,0.78,147000
2007-05-22,0.8,525000
2007-05-24,0.8,300000
2007-05-30,0.8,1055000
2007-05-31,0.8,110000
2007-06-04,0.8,33000
2007-06-06,0.85,133000
2007-06-07,0.8,43000
2007-06-11,1.0,83000
2007-06-14,1.0,40000
2007-06-19,1.0,315000
2007-06-22,1.0,7000
2007-06-25,0.999,51000
2007-06-27,1.0,431000
2007-07-02,1.0,500000
2007-07-04,1.001,52000
2007-07-06,1.05,46000
2007-07-17,1.06,100000
2007-07-23,1.2,22000
2007-07-24,1.35,100000
2007-07-25,1.352,22000
2007-07-26,1.4,152000
2007-07-31,1.45,50000
2007-08-03,1.5,250000
2007-08-06,1.52,28000
2007-08-08,1.55,175000
2007-08-14,1.62,51000
2007-08-17,1.703,20000
2007-08-20,2.0,231000
2007-08-21,2.105,5000
2007-08-22,2.115,18000
2007-08-24,2.31,35000
2007-08-27,2.35,66000
2007-08-28,2.375,50000
2007-08-30,2.505,60000
2007-08-31,2.505,8000
2007-09-03,3.0,138000
2007-09-04,3.0,106000
2007-09-06,3.0,30000
2007-09-07,3.0,785000
2007-09-14,3.0,382000
2007-09-19,3.1,68000
2007-09-25,3.1,67000
2007-09-26,3.1,1000
2007-09-27,3.1,24000
2007-10-01,3.1,8000
2007-10-02,3.0,121000
2007-10-04,2.92,403000
2007-10-05,3.0,93000
2007-10-08,3.0,177000
2007-10-09,3.05,220000
2007-10-10,3.05,12000
2007-10-11,3.05,149000
2007-10-12,3.03,340000
2007-10-17,3.0,106000
2007-10-18,3.0,230000
2007-10-25,3.0,350000
2007-10-30,2.95,5000
2007-11-14,3.0,749000
2007-11-15,2.9,45000
2007-11-20,2.8,55000
2007-11-21,2.85,190000
2007-11-22,2.85,227000
2007-11-23,2.85,52000
2007-11-28,2.9,56000
2007-11-29,2.9,28000
2007-11-30,2.9,62000
2007-12-07,3.0,355000
2007-12-18,2.85,207000
2007-12-20,2.8,69000
2007-12-21,2.85,144000
2007-12-24,2.85,120000
2007-12-27,2.9,40000
2008-01-03,2.85,20000
2008-01-07,2.85,140000
2008-01-09,2.85,81000
2008-01-10,2.85,93000
2008-01-11,2.85,49000
2008-01-15,2.9,722000
2008-01-16,2.9,75000
2008-01-17,2.9,48000
2008-01-18,2.9,109000
2008-01-22,2.9,297000
2008-01-24,2.8,46000
