Date,Close,Volume
2024-02-23,33.0,310
2024-03-11,40.74,1028
2024-03-12,45.0,50
2024-03-13,46.0,3140
2024-03-15,39.1,1000
2024-03-19,44.96,500
2024-03-20,51.7,500
2024-03-21,51.0,500
2024-03-22,51.0,500
2024-03-25,51.0,100
2024-03-27,51.0,100
2024-03-28,51.0,1300
2024-04-01,51.0,836
2024-04-04,50.0,135
2024-04-12,57.5,199
2024-04-15,57.5,116
2024-04-18,57.5,35
2024-04-19,57.5,650
2024-04-25,66.12,300
2024-05-06,66.12,50
2024-06-05,66.0,290
2024-06-17,75.9,50
2024-08-08,64.54,400
2024-08-27,74.22,1000
2024-09-02,74.22,400
2024-09-05,74.22,400
2024-09-11,77.0,1
2024-09-16,77.0,60
2024-10-16,88.55,2139
2024-10-17,101.83,200
2024-10-21,100.0,500
2024-11-12,100.0,1399
2024-11-25,115.0,80
2024-12-06,97.75,40
2024-12-23,95.0,1240
2024-12-31,81.0,2000
2025-01-29,93.15,2000
2025-02-06,90.0,5500
2025-02-11,76.5,3
2025-02-14,76.5,1997
2025-02-17,87.97,503
2025-02-18,80.0,980
2025-02-21,80.0,370
