Date,Close,Volume
2024-02-29,15.0,23
2024-03-05,15.0,364
2024-03-06,16.0,1
2024-03-07,15.0,12938
2024-03-18,15.0,100
2024-04-02,14.32,10
2024-04-04,15.5,66
2024-04-08,15.53,544
2024-04-09,15.98,48
2024-04-10,15.0,4186
2024-04-17,15.9,685
2024-04-18,15.0,300
2024-04-24,16.0,5498
2024-05-01,16.0,202
2024-05-03,16.0,1030
2024-05-06,16.97,10
2024-05-24,16.0,520
2024-06-19,17.98,50
2024-06-25,19.98,3177
2024-06-26,19.98,101
2024-07-01,19.98,1500
2024-07-05,19.97,1500
2024-07-16,19.9,75
2024-07-17,19.0,362
2024-07-22,19.8,1
2024-07-25,19.8,51003
2024-07-29,19.88,73
2024-07-30,19.88,4
2024-08-06,19.0,15
2024-08-12,16.5,35
2024-08-13,16.5,2740
2024-08-15,16.5,3500
2024-08-19,17.0,1000
2024-08-27,17.0,1235
2024-08-29,17.0,1947
2024-09-02,18.8,44
2024-09-05,18.8,1000
2024-09-09,18.8,60
2024-09-10,18.8,5000
2024-09-11,18.8,1
2024-09-18,18.8,9
2024-10-30,18.8,100
2024-11-07,18.0,2937
2024-11-08,18.0,63
2024-11-15,18.0,1937
2024-11-18,,13
2024-11-22,18.0,2192
2024-11-27,19.0,10500
2024-12-02,19.6,100
2024-12-03,19.6,121
2024-12-04,18.09,4086
2024-12-05,18.0,13714
2024-12-06,19.6,1
2024-12-09,19.6,100
2024-12-18,19.6,2000
2024-12-19,19.6,50
2024-12-24,20.7,1588
2024-12-27,21.0,46156
2024-12-31,21.0,100
2025-01-03,21.0,41744
2025-01-06,19.7,2
2025-01-20,19.7,323
2025-01-21,22.0,2510
2025-01-22,22.04,108
2025-02-10,22.0,3
2025-02-11,22.0,240
2025-02-12,22.58,10332
2025-02-14,22.65,8
2025-02-18,25.0,111
2025-02-19,26.0,5
2025-02-20,27.0,51
2025-02-21,27.13,389
2025-02-24,26.0,20
2025-02-26,27.0,7
2025-02-28,27.0,5
2025-03-07,27.0,10
2025-03-12,23.35,23
2025-03-13,23.36,580
2025-03-21,24.0,285
2025-03-24,26.85,3
2025-03-25,26.85,10
2025-03-26,23.0,1070
2025-03-27,23.0,3
2025-03-31,23.0,537
2025-04-21,23.0,1
2025-05-02,20.0,1
2025-05-05,23.0,10
