,Date,Close,Volume
50667,2024-02-23,227.0,397
50722,2024-02-26,225.0,2000
50771,2024-02-27,225.49,2350
50820,2024-02-28,225.15,540
50869,2024-02-29,228.0,1799
50918,2024-03-05,228.0,70
50966,2024-03-06,225.0,110
51018,2024-03-07,224.58,2489
51067,2024-03-11,221.84,2414
51160,2024-03-13,221.02,6903
51209,2024-03-14,223.0,10
51257,2024-03-15,225.19,34262
51306,2024-03-18,227.99,10
51359,2024-03-19,225.03,29
51410,2024-03-20,227.0,1088
51453,2024-03-21,227.0,2597
51501,2024-03-22,226.99,15
51558,2024-03-25,220.25,2000
51606,2024-03-26,227.0,2637
51661,2024-03-27,227.0,3
51713,2024-03-28,227.0,305
51766,2024-03-29,229.0,3572
51816,2024-04-01,220.01,374
51864,2024-04-02,226.0,5
51909,2024-04-03,216.73,9392
51952,2024-04-04,226.0,4107
52005,2024-04-05,219.41,16941
52054,2024-04-08,224.0,13187
52105,2024-04-09,215.02,4302
52150,2024-04-10,221.0,600
52192,2024-04-11,225.0,11117
52246,2024-04-12,224.0,62
52294,2024-04-15,219.42,291
52338,2024-04-16,221.75,590
52380,2024-04-17,223.99,152
52428,2024-04-18,219.99,127
52474,2024-04-19,224.11,4603
52517,2024-04-22,215.0,11818
52561,2024-04-23,224.81,888
52609,2024-04-24,222.99,1775
52662,2024-04-25,222.99,1035
52709,2024-04-26,223.33,1173
52757,2024-04-29,224.0,3224
52809,2024-04-30,223.99,5143
52859,2024-05-01,223.98,2841
52906,2024-05-02,224.0,5346
52951,2024-05-03,225.0,6233
53001,2024-05-06,228.39,5925
53047,2024-05-07,258.0,160
53094,2024-05-08,260.19,188
53139,2024-05-09,250.0,509
53185,2024-05-10,250.0,1701
53239,2024-05-13,224.58,4743
53287,2024-05-14,249.5,648
53418,2024-05-17,225.01,3782
53470,2024-05-20,225.73,1146
53521,2024-05-21,235.0,911
53563,2024-05-22,244.5,2063
53650,2024-05-27,241.66,537
53702,2024-05-28,242.0,1223
53794,2024-05-30,227.6,6476
53836,2024-05-31,241.99,126
53882,2024-06-03,231.0,10
53924,2024-06-04,239.0,100
53970,2024-06-05,226.0,54
54020,2024-06-06,234.93,13374
54104,2024-06-10,235.0,1099
54143,2024-06-11,233.0,2149
54187,2024-06-12,225.1,268
54226,2024-06-13,225.01,100
54268,2024-06-14,232.0,195
54328,2024-06-17,232.0,1257
54369,2024-06-18,232.0,191
54404,2024-06-19,230.0,1757
54441,2024-06-20,230.0,72
54480,2024-06-21,221.0,1162
54525,2024-06-24,220.88,11941
54604,2024-06-26,222.0,739
54650,2024-06-27,230.0,659
54697,2024-07-01,220.74,5386
54738,2024-07-02,220.0,20000
54781,2024-07-03,221.0,21549
54820,2024-07-04,221.0,5800
54862,2024-07-05,230.0,20025
54908,2024-07-08,220.0,40000
54948,2024-07-09,220.0,35440
54993,2024-07-16,220.0,11081
55041,2024-07-17,230.0,31467
55088,2024-07-18,220.23,83220
55131,2024-07-19,220.25,80648
55182,2024-07-22,221.01,97102
55224,2024-07-23,229.04,28973
55267,2024-07-24,223.51,24620
55312,2024-07-25,221.46,11614
55356,2024-07-26,221.61,76136
55405,2024-07-29,250.0,160963
55448,2024-07-30,220.79,25818
55491,2024-07-31,220.0,130000
55532,2024-08-01,220.0,157396
55574,2024-08-02,220.0,241622
55620,2024-08-05,220.08,118708
55667,2024-08-06,228.0,61612
55709,2024-08-07,220.24,16495
55752,2024-08-08,223.34,3866
55791,2024-08-09,220.59,85265
55837,2024-08-12,220.41,11090
55879,2024-08-13,219.76,9418
55922,2024-08-14,220.0,30621
55966,2024-08-15,219.59,1364
56010,2024-08-16,224.99,1928
56058,2024-08-19,224.99,3606
56100,2024-08-20,224.99,6001
56140,2024-08-21,220.43,4778
56190,2024-08-22,220.0,5143
56284,2024-08-26,225.0,10025
56330,2024-08-27,222.0,223223
56369,2024-08-28,224.0,33555
56412,2024-08-29,223.0,5032
56469,2024-08-30,222.99,219634
56519,2024-09-02,222.49,14286
56562,2024-09-03,221.0,210942
56605,2024-09-04,221.0,50342
56648,2024-09-05,220.0,4927
56686,2024-09-06,219.0,10465
56737,2024-09-09,219.5,217684
56782,2024-09-10,220.0,41595
56845,2024-09-11,220.35,156127
56893,2024-09-12,220.0,15034
56933,2024-09-13,220.0,35349
56983,2024-09-16,220.56,36000
57043,2024-09-17,220.0,110
57091,2024-09-18,220.99,4869
57133,2024-09-19,220.99,504
57220,2024-09-23,220.0,1068
57267,2024-09-24,220.81,3687
57308,2024-09-25,220.0,35293
57349,2024-09-26,220.0,4737
57397,2024-09-27,220.99,7465
57443,2024-09-30,228.01,22065
57493,2024-10-02,229.62,107
57539,2024-10-03,227.99,4850
57586,2024-10-04,222.21,103
57635,2024-10-07,221.6,56914
57678,2024-10-08,226.0,4257
57721,2024-10-09,222.0,10707
57766,2024-10-10,222.38,1077
57805,2024-10-14,213.59,13618
57848,2024-10-15,214.0,878
57896,2024-10-16,214.21,4508
57945,2024-10-17,214.05,45000
57988,2024-10-18,213.54,108000
58032,2024-10-21,224.99,200
58079,2024-10-22,220.01,2002
58122,2024-10-23,220.0,321
58166,2024-10-24,219.05,1584
58262,2024-10-28,217.75,44397
58349,2024-10-30,220.0,459
58390,2024-10-31,218.27,6030
58436,2024-11-01,218.46,461179
58485,2024-11-04,220.0,1687
58575,2024-11-06,224.49,694
58624,2024-11-07,220.0,451089
58669,2024-11-08,218.02,15259
58719,2024-11-11,224.95,4541
58768,2024-11-12,224.0,10880
58866,2024-11-14,219.0,5056
58916,2024-11-15,219.0,15274
58963,2024-11-18,,8708
59011,2024-11-19,217.17,7885
59059,2024-11-20,222.63,11
59108,2024-11-21,216.28,156
59156,2024-11-22,216.04,5788
59205,2024-11-25,216.04,170
59257,2024-11-27,213.0,6595
59305,2024-11-28,220.0,3422
59355,2024-12-02,220.0,1062
59406,2024-12-03,215.01,26162
59463,2024-12-04,215.95,12789
59502,2024-12-05,224.19,42279
59559,2024-12-06,228.19,425651
59612,2024-12-09,228.06,203442
59661,2024-12-18,216.97,27082
59708,2024-12-19,215.0,11964
59755,2024-12-20,215.0,1712
59806,2024-12-23,213.46,8961
59865,2024-12-24,216.0,1809
59918,2024-12-25,215.0,10465
59968,2024-12-26,216.0,13167
60012,2024-12-27,215.0,6638
60061,2024-12-30,215.0,1898
60109,2024-12-31,215.06,19088
60155,2025-01-02,217.23,20453
60199,2025-01-03,216.0,9049
60253,2025-01-06,215.99,23656
60300,2025-01-07,215.84,549
60343,2025-01-08,215.85,7386
60391,2025-01-09,215.91,10905
60441,2025-01-10,217.0,22018
60490,2025-01-13,211.75,52769
60543,2025-01-14,213.92,7918
60592,2025-01-15,213.0,12409
60643,2025-01-16,210.47,22604
60691,2025-01-17,210.13,21163
60741,2025-01-20,211.83,54987
60797,2025-01-21,213.0,5873
60854,2025-01-22,210.04,55242
