Date,Close,Volume
2022-10-11,678.08,98934
2022-10-12,775.58,249819
2022-10-13,891.91,92032
2022-10-14,1025.0,189148
2022-10-17,1038.0,351739
2022-10-18,882.3,97400
2022-10-19,749.96,68797
2022-10-20,664.83,120843
2022-10-21,733.05,28909
2022-10-24,740.84,18312
2022-10-25,712.67,22513
2022-10-26,707.12,20086
2022-10-27,703.74,19520
2022-10-28,709.99,14442
2022-10-31,699.31,25398
2022-11-01,702.94,7559
2022-11-02,700.65,29551
2022-11-03,695.24,15158
2022-11-04,703.84,10737
2022-11-07,700.72,11543
2022-11-08,700.76,14662
2022-11-09,701.46,6963
2022-11-10,699.84,45154
2022-11-11,700.65,20979
2022-11-14,671.5,13844
2022-11-15,671.65,5478
2022-11-16,668.68,11322
2022-11-17,624.94,34873
2022-11-18,612.0,10178
2022-11-21,609.64,20408
2022-11-22,609.84,8036
2022-11-23,600.14,17706
2022-11-25,590.56,32064
2022-11-28,580.66,19936
2022-11-29,590.25,5029
2022-11-30,591.98,28163
2022-12-01,607.38,6424
2022-12-02,608.6,547
2022-12-05,591.0,5404
2022-12-06,595.46,3014
2022-12-07,602.54,8314
2022-12-08,602.49,10989
2022-12-09,689.63,51072
2022-12-12,644.73,18161
2022-12-13,600.04,11102
2022-12-14,609.53,7372
2022-12-15,605.08,11779
2022-12-16,605.06,3171
2022-12-19,608.43,9007
2022-12-20,608.26,3023
2022-12-21,600.5,7593
2022-12-22,608.9,8092
2022-12-23,603.5,5491
2022-12-26,600.55,13521
2022-12-27,610.18,32834
2022-12-28,604.5,30379
2022-12-30,654.9,87969
2023-01-02,601.63,4650
2023-01-03,618.88,4665
2023-01-04,623.0,2314
2023-01-05,619.7,3358
2023-01-06,622.03,2702
2023-01-09,616.66,5217
2023-01-10,629.83,3987
2023-01-11,632.62,10939
2023-01-12,623.77,4074
2023-01-13,649.67,13141
2023-01-16,644.56,3811
2023-01-17,620.03,15724
2023-01-18,631.72,14400
2023-01-19,647.77,12933
2023-01-20,630.0,1855
2023-01-23,625.09,19923
2023-01-24,625.77,25552
2023-01-25,638.55,15100
2023-01-26,637.93,11650
2023-01-27,638.25,7251
2023-01-30,635.21,4614
2023-01-31,635.53,3390
2023-02-01,636.12,3844
2023-02-02,644.33,10228
2023-02-03,643.3,17184
2023-02-06,640.26,8208
2023-02-07,638.68,12763
2023-02-08,630.65,5847
2023-02-09,627.0,3044
2023-02-10,626.41,6802
2023-02-13,624.98,6013
2023-02-14,618.97,8838
2023-02-15,623.08,2202
2023-02-16,619.74,7424
2023-02-17,629.7,29795
2023-02-20,640.13,29106
2023-02-24,681.3,50070
2023-02-27,687.27,25376
2023-02-28,687.75,21082
2023-03-01,686.65,17834
2023-03-02,683.69,16448
2023-03-03,680.89,26603
2023-03-06,684.26,13397
2023-03-07,681.2,22061
2023-03-09,682.99,1489
2023-03-10,678.26,13192
2023-03-13,680.51,17374
2023-03-14,681.23,12339
2023-03-15,674.82,3444
2023-03-16,669.43,7096
2023-03-17,670.0,3237
2023-03-20,677.23,23980
2023-03-21,675.0,8092
2023-03-22,656.76,13694
2023-03-23,665.03,1348
2023-03-24,675.77,11636
2023-03-27,676.57,4447
2023-03-28,670.24,7276
2023-03-29,670.83,8444
2023-03-30,671.28,5740
2023-03-31,671.11,3976
2023-04-03,670.31,6659
2023-04-04,669.0,14278
2023-04-05,666.97,24171
2023-04-06,656.91,14391
2023-04-07,629.31,13512
2023-04-10,628.93,16662
2023-04-11,601.69,17286
2023-04-12,584.77,39255
2023-04-13,582.17,109639
2023-04-14,593.74,5816
2023-04-17,597.9,10499
2023-04-18,594.06,9221
2023-04-19,594.85,45319
2023-04-20,603.81,4779
2023-04-21,602.15,8849
2023-04-24,599.41,2778
2023-04-25,599.2,4710
2023-04-26,600.99,5095
2023-04-27,598.48,4502
2023-04-28,604.4,2756
2023-05-01,599.11,37628
2023-05-02,596.0,36703
2023-05-03,596.29,25093
2023-05-04,599.63,97304
2023-05-05,596.09,120942
2023-05-08,598.99,77569
2023-05-09,594.28,4501
2023-05-10,585.0,23254
2023-05-11,588.02,7820
2023-05-12,585.5,4059
