Date,Close,Volume
2022-10-06,160.51,71474
2022-10-07,162.62,269796
2022-10-10,164.74,172659
2022-10-11,168.11,259853
2022-10-12,181.41,18652
2022-10-13,206.15,157371
2022-10-14,194.38,251438
2022-10-17,183.53,151729
2022-10-18,175.22,95859
2022-10-19,172.31,22189
2022-10-20,170.92,26436
2022-10-21,166.1,104470
2022-10-24,164.09,32407
2022-10-25,164.6,41851
2022-10-26,165.01,5223
2022-10-27,165.0,20377
2022-10-28,166.0,14452
2022-10-31,169.8,19810
2022-11-01,166.5,8811
2022-11-02,164.06,78833
2022-11-03,163.48,56198
2022-11-04,164.3,12561
2022-11-07,163.5,48248
2022-11-08,164.0,28942
2022-11-09,165.05,12780
2022-11-10,165.76,4597
2022-11-11,166.0,51365
2022-11-14,164.5,9992
2022-11-15,165.9,47729
2022-11-16,164.0,17379
2022-11-17,165.75,54904
2022-11-18,170.02,77874
2022-11-21,169.0,37723
2022-11-22,167.67,64788
2022-11-23,165.48,66364
2022-11-25,165.54,29534
2022-11-28,163.57,8991
2022-11-29,160.01,6192
2022-11-30,161.04,2478
2022-12-01,164.0,67
2022-12-02,158.91,3593
2022-12-05,152.79,6294
2022-12-06,160.01,43126
2022-12-07,158.19,157587
2022-12-08,160.57,179934
2022-12-09,161.99,188223
2022-12-12,162.29,47099
2022-12-13,160.51,9172
2022-12-14,160.86,11425
2022-12-15,161.77,3442
2022-12-16,161.46,3176
2022-12-19,159.94,5106
2022-12-20,153.51,11174
2022-12-21,154.61,27539
2022-12-22,157.09,4125
2022-12-23,155.0,4045
2022-12-26,158.99,9461
2022-12-27,160.24,111278
2022-12-28,163.0,7165
2022-12-30,162.11,22361
2023-01-02,160.18,3111
2023-01-03,159.9,1227
2023-01-04,160.0,3935
2023-01-05,158.91,2062
2023-01-06,153.36,60816
2023-01-09,162.0,17514
2023-01-10,161.0,1048
2023-01-11,154.93,35515
2023-01-12,161.0,12042
2023-01-13,155.16,13179
2023-01-16,159.89,11367
2023-01-17,157.45,35626
2023-01-18,160.5,94555
2023-01-19,162.01,11806
2023-01-20,160.08,2111
2023-01-23,163.31,56036
2023-01-24,167.08,8841
2023-01-25,162.94,6602
2023-01-26,162.0,8376
2023-01-27,162.0,10402
2023-01-30,162.64,19792
2023-01-31,165.99,99708
2023-02-01,166.0,9241
2023-02-02,161.0,11500
2023-02-03,164.77,21932
2023-02-06,159.19,34466
2023-02-07,165.0,2426
2023-02-08,161.23,9908
2023-02-09,165.06,4404
2023-02-10,164.49,10310
2023-02-13,164.0,6918
2023-02-14,164.0,579
2023-02-15,160.0,652
2023-02-16,164.0,8790
2023-02-17,164.0,824
2023-02-20,163.0,771
2023-02-24,155.13,11467
2023-02-27,162.99,2750
2023-02-28,160.74,33869
2023-03-01,164.4,41032
2023-03-02,155.31,23387
2023-03-03,160.0,13487
2023-03-06,157.0,5179
2023-03-07,160.0,6958
2023-03-09,159.0,590
2023-03-10,160.0,20678
2023-03-13,159.0,8967
2023-03-14,159.0,4459
2023-03-15,155.0,21143
2023-03-16,158.0,5545
2023-03-17,154.91,6599
2023-03-20,157.68,17736
2023-03-21,155.5,3062
2023-03-22,158.61,3642
2023-03-23,154.14,2029
2023-03-24,154.58,1410
2023-03-27,155.98,1034
2023-03-28,155.98,6527
2023-03-29,154.7,682
2023-03-30,155.99,32825
2023-03-31,160.0,118862
2023-04-03,162.33,23466
2023-04-04,168.06,31095
2023-04-05,156.13,4011
2023-04-06,164.77,35307
2023-04-07,160.0,33322
2023-04-10,162.14,25985
2023-04-11,159.63,5417
2023-04-12,163.0,3356
2023-04-13,162.0,6139
2023-04-14,155.43,4826
2023-04-17,162.75,3894
2023-04-18,162.0,11640
2023-04-19,155.0,22113
2023-04-20,161.0,29206
2023-04-21,159.46,10789
2023-04-24,161.69,15341
2023-04-25,156.52,1125
2023-04-26,156.37,3972
2023-04-27,156.89,3491
2023-04-28,159.94,146
2023-05-01,158.67,1980
2023-05-02,156.44,4507
2023-05-03,159.0,1488
2023-05-04,158.32,8425
