Date,Close,Volume
2024-03-06,437.0,1770
2024-03-11,502.55,2
2024-03-12,500.0,50
2024-03-13,550.0,50
2024-03-15,577.0,13735
2024-03-18,604.97,13766
2024-03-28,695.0,10
2024-04-02,725.0,30
2024-04-09,700.0,30
2024-04-11,700.0,465
2024-05-07,720.0,58
2024-05-22,722.11,1900
2024-05-24,790.0,6
2024-05-28,671.5,111
2024-05-31,772.0,1100
2024-06-04,799.0,50
2024-06-06,680.0,138
2024-06-10,680.0,66
2024-06-24,588.0,190
2024-11-12,676.0,3
2024-11-14,575.0,66
2024-11-25,575.0,230
2024-12-25,489.0,181
2025-02-05,562.0,181
2025-02-10,646.0,100
2025-02-17,550.0,17
2025-03-06,632.0,217
2025-03-27,726.0,100
2025-04-02,700.0,100
2025-04-09,745.0,50
2025-04-14,745.0,200
2025-05-06,780.0,419
