Date,Close,Volume
2024-02-23,776.0,156
2024-04-01,892.0,1800
2024-04-09,760.0,100
2024-04-11,780.0,106
2024-04-26,790.0,31
2024-04-30,908.5,525
2024-05-06,950.0,305
2024-05-13,810.0,440
2024-06-12,812.0,129
2024-08-06,750.0,500
2024-09-05,780.0,370
2024-09-09,897.0,829
2024-09-11,1031.0,1000
2024-09-12,1031.0,1200
2024-09-17,1100.0,1
2024-09-26,1180.0,1000
2024-10-07,1010.0,446
2024-10-14,1045.0,1
2024-10-15,1200.0,25
2024-10-16,1380.0,2133
2024-10-18,1587.0,1511
2024-10-21,1800.0,904
2024-10-22,2000.0,50
2024-10-23,2014.0,545
2024-10-24,2250.0,30
2024-10-25,2249.0,5
2024-10-28,2250.0,6
2024-11-01,2251.0,264
2024-11-05,2251.0,14
2024-11-11,2251.0,285
2024-11-12,2550.0,10
2024-11-27,2699.0,50
2024-11-28,2699.0,1
2024-12-05,2700.0,2
2025-01-09,2608.0,28
2025-01-10,2500.0,4
2025-01-15,2260.0,600
2025-01-20,2010.0,25
2025-01-21,2105.0,28072
2025-01-22,2105.0,1833
2025-02-05,2400.0,110
2025-02-07,2750.0,10
2025-02-11,3162.0,50
2025-02-12,3636.0,13
2025-02-17,4181.0,12
2025-02-18,4181.0,484
2025-02-19,4181.0,524
2025-02-24,4181.0,198
2025-02-25,4181.0,72
2025-03-06,4200.0,77
2025-03-12,4800.0,171
2025-03-21,4200.0,10
2025-03-24,4800.0,30
2025-03-25,5200.0,30
2025-03-26,5200.0,5
2025-03-27,5200.0,1
2025-03-28,5750.0,1
2025-03-31,6395.0,1402
2025-04-02,7300.0,5
2025-04-03,7300.0,1061
2025-04-07,8350.0,1017
2025-04-08,9600.0,1
2025-04-10,10500.0,14
2025-04-11,12070.0,11
2025-04-14,12070.0,612
2025-04-16,13800.0,11
2025-04-18,13000.0,625
2025-04-25,13000.0,585
2025-04-28,12000.0,1
2025-04-29,12000.0,66
2025-05-01,12000.0,606
2025-05-09,10500.0,665
