Date,Close,Volume
2024-02-26,35500.0,5
2024-02-27,36000.0,66
2024-02-28,36000.0,12
2024-02-29,36000.0,46
2024-03-05,35900.0,1
2024-03-07,35900.0,2
2024-03-13,35900.0,1
2024-03-14,34920.0,24
2024-03-15,34000.0,9
2024-03-18,35900.0,15
2024-03-20,34000.0,25
2024-03-25,32680.0,7
2024-03-26,32600.0,5
2024-03-27,33000.0,1
2024-03-29,33160.0,32
2024-04-02,34000.0,8
2024-04-05,34000.0,14
2024-04-08,33000.0,1
2024-04-09,33000.0,2
2024-04-10,34080.0,21
2024-04-11,34000.0,6
2024-04-17,32280.0,78
2024-04-23,32100.0,10
2024-04-29,33500.0,2
2024-04-30,32000.0,52
2024-05-01,34000.0,1
2024-05-08,33900.0,19
2024-05-13,30200.0,129
2024-05-15,30000.0,20
2024-05-17,33000.0,3
2024-05-21,30060.0,30
2024-05-28,30600.0,14
2024-05-29,33900.0,3
2024-06-06,33860.0,106
2024-06-10,33900.0,1
2024-06-12,30080.0,102
2024-06-14,30020.0,1
2024-07-17,33900.0,2
2024-07-30,33900.0,2
2024-07-31,30120.0,19
2024-08-01,33900.0,6
2024-08-02,33800.0,2
2024-08-06,31000.0,500
2024-08-07,33800.0,1
2024-08-08,33800.0,1
2024-08-16,33500.0,1
2024-08-19,33500.0,8
2024-08-21,33000.0,2
2024-08-22,30360.0,14
2024-08-26,30200.0,15
2024-09-02,32500.0,1
2024-09-04,31500.0,2
2024-09-06,32500.0,8
2024-09-09,31000.0,2
2024-09-12,33000.0,1
2024-09-13,30520.0,19
2024-09-16,33000.0,10
2024-09-17,30520.0,30
2024-09-23,30520.0,2
2024-09-26,31000.0,339
2024-09-27,31800.0,2
2024-09-30,31000.0,35
2024-10-02,31000.0,4
2024-10-03,32000.0,1
2024-10-04,30700.0,3
2024-10-07,32000.0,4
2024-10-08,30800.0,3
2024-10-09,32000.0,1
2024-10-10,31000.0,4102
2024-10-14,32000.0,27
2024-10-15,32000.0,1
2024-10-17,31000.0,4
2024-10-22,30000.0,80
2024-10-25,30540.0,9
2024-10-28,31500.0,6
2024-10-29,31000.0,270
2024-10-31,32480.0,11
2024-11-04,32000.0,1
2024-11-05,31840.0,9
2024-11-07,32000.0,3
2024-11-21,31000.0,6
2024-11-28,31900.0,4
2024-12-02,31000.0,14
2024-12-03,31000.0,10
2024-12-04,30500.0,305
2024-12-06,30520.0,6
2024-12-24,31000.0,28
2024-12-25,32380.0,3
2024-12-27,32380.0,11
2024-12-30,29540.0,92
2025-01-09,29240.0,256
2025-01-17,32360.0,1
2025-01-21,30500.0,4
2025-01-22,30500.0,543
2025-01-23,32340.0,25
2025-01-27,31980.0,5
2025-01-29,32340.0,1
2025-02-05,32340.0,6
2025-02-07,32360.0,3
2025-02-10,32340.0,432
2025-02-13,32360.0,1
2025-02-14,32360.0,3
2025-02-17,32360.0,100
2025-02-19,30620.0,4
2025-02-21,32380.0,1
2025-02-24,30600.0,2
2025-02-26,31000.0,70
2025-02-28,32480.0,1
2025-03-06,32460.0,2
2025-03-07,32460.0,1
2025-03-10,30600.0,2
2025-03-13,30400.0,4761
2025-03-17,31100.0,2
2025-03-19,31160.0,138
2025-03-24,29740.0,40
2025-03-26,29000.0,18
2025-03-28,29000.0,2
2025-03-31,31240.0,15
2025-04-02,31240.0,141
2025-04-04,30000.0,18
2025-04-07,29220.0,76
2025-04-10,28520.0,54
2025-04-15,30000.0,2
2025-04-17,28380.0,251
2025-04-18,28040.0,226
2025-04-22,29000.0,11
2025-04-23,29980.0,3
2025-04-24,27520.0,3
2025-04-25,29700.0,1
2025-04-28,27520.0,23
2025-04-30,30000.0,6
2025-05-05,28400.0,29
2025-05-06,28000.0,14
2025-05-07,29940.0,2425
2025-05-08,27660.0,18
