Date,Close,Volume
2024-12-18,780.0,4586
2024-12-19,780.05,4181
2024-12-20,780.62,8006
2024-12-23,789.0,570
2024-12-24,772.55,825
2024-12-25,790.0,7158
2024-12-26,778.94,10161
2024-12-27,780.0,4060
2024-12-30,802.58,55783
2024-12-31,900.78,31550
2025-01-02,850.0,116
2025-01-03,840.0,1826
2025-01-06,809.99,2462
2025-01-07,802.6,1210
2025-01-08,803.0,4570
2025-01-09,802.8,2583
2025-01-10,800.1,1937
2025-01-13,791.01,969
2025-01-14,780.0,2048
2025-01-15,790.71,7515
2025-01-17,790.0,166
2025-01-20,757.63,660
2025-01-21,781.0,1311
2025-01-22,790.0,14
2025-01-23,814.0,2101
2025-01-24,800.0,10
2025-01-27,790.67,314
2025-01-28,800.0,238
2025-01-29,800.0,11
2025-01-30,800.0,1
2025-01-31,800.0,11
2025-02-03,790.83,400
2025-02-04,799.0,13
2025-02-05,790.0,151
2025-02-06,788.0,1302
2025-02-07,782.34,166
2025-02-10,752.52,3978
2025-02-11,790.0,2750
2025-02-12,776.98,29
2025-02-13,775.78,104
2025-02-14,758.35,3
2025-02-17,745.02,5398
2025-02-19,746.14,68
2025-02-20,773.71,1607
2025-02-21,771.83,2381
2025-02-24,759.33,4496
2025-02-25,756.74,75
2025-02-26,769.0,111
2025-02-27,750.62,2621
2025-02-28,756.13,302
2025-03-06,769.0,163
2025-03-07,749.93,1058
2025-03-10,745.38,10196
2025-03-11,769.0,33
2025-03-12,767.02,13495
2025-03-13,765.0,951
2025-03-14,792.0,18673
2025-03-17,798.13,21702
2025-03-18,800.0,149850
2025-03-19,800.0,418
2025-03-20,800.01,1132
2025-03-21,799.99,26833
2025-03-24,800.0,4248
2025-03-25,800.0,7124
2025-03-26,800.0,12514
2025-03-27,800.07,128
2025-03-28,800.0,922
2025-03-31,803.0,2740
2025-04-01,800.0,3
2025-04-02,800.04,1151
2025-04-03,800.0,162
2025-04-04,771.61,310
2025-04-07,720.01,122
2025-04-08,720.01,441
2025-04-09,720.01,461
2025-04-14,730.0,111
2025-04-15,725.06,1
2025-04-17,778.99,50
2025-04-21,740.49,247
2025-04-22,740.0,1500
2025-04-24,732.5,20
2025-04-25,748.56,100
2025-04-30,733.95,43
2025-05-01,750.0,100
2025-05-02,778.0,4
2025-05-05,775.0,6
2025-05-06,775.0,1
2025-05-07,776.41,395
2025-05-08,760.0,222
2025-05-09,760.0,1495
