Date,Close,Volume
2019-02-19,211.28,104301
2019-02-20,211.0,27429
2019-02-21,206.7,110394
2019-02-22,202.15,60135
2019-02-25,202.39,171176
2019-02-26,201.56,37056
2019-02-27,201.68,22182
2019-02-28,199.71,10613
2019-03-01,196.5,12999
2019-03-04,193.81,17358
2019-03-05,192.77,2537
2019-03-06,190.25,27230
2019-03-07,190.03,13012
2019-03-11,188.0,897
2019-03-12,180.0,40477
2019-03-13,177.12,6081
2019-03-14,171.11,30142
2019-03-15,174.9,93564
2019-03-18,174.0,48731
2019-03-19,173.55,27387
2019-03-20,171.24,31525
2019-03-21,171.0,14398
2019-03-22,174.65,46938
2019-03-25,180.61,28879
2019-03-26,175.0,30474
2019-03-27,174.93,5131
2019-03-28,170.0,42797
2019-03-29,169.87,15407
2019-04-01,169.97,16957
2019-04-02,169.6,141002
2019-04-03,170.36,92784
2019-04-04,170.98,12539
2019-04-05,175.0,28996
2019-04-08,177.65,44006
2019-04-09,179.92,94248
2019-04-10,181.67,20994
2019-04-11,195.05,23384
2019-04-12,196.7,8323
2019-04-15,193.56,26001
2019-04-16,194.88,27074
2019-04-17,198.72,141864
2019-04-18,199.0,22126
2019-04-19,198.81,12461
2019-04-22,198.91,12500
2019-04-23,196.56,23779
2019-04-24,199.0,936
2019-04-25,199.13,90939
2019-04-26,199.9,31832
2019-04-29,203.27,176610
2019-04-30,200.0,7337
2019-05-01,197.1,13921
2019-05-02,196.15,30869
2019-05-03,196.0,29664
2019-05-06,195.37,41142
2019-05-07,195.28,40773
2019-05-08,194.06,23295
2019-05-09,190.0,1200
2019-05-10,195.5,17313
2019-05-13,191.11,7250
2019-05-14,190.83,12534
2019-05-15,190.87,21623
2019-05-16,192.32,2520
2019-05-17,188.0,11780
2019-05-20,185.2,2474
2019-05-21,183.94,9378
2019-05-22,172.44,9452
2019-05-23,180.0,125
2019-05-24,179.99,831
2019-05-27,179.99,172
2019-05-28,172.99,9440
2019-05-29,175.06,10000
2019-05-30,171.25,46504
2019-05-31,168.56,2460
2019-06-03,164.67,74448
2019-06-04,163.0,6518
2019-06-05,163.0,6885
2019-06-06,163.0,16854
2019-06-07,160.0,7346
2019-06-10,160.65,1122
2019-06-11,162.9,429
2019-06-12,160.23,44706
2019-06-13,161.0,3730
2019-06-14,162.5,18148
2019-06-17,160.9,15146
2019-06-18,173.9,11175
2019-06-19,181.63,18443
2019-06-20,181.99,5333
2019-06-21,187.56,52658
2019-06-24,187.72,94039
2019-06-25,186.0,46638
2019-06-26,190.0,71123
2019-06-27,190.81,62199
2019-06-28,185.63,49448
2019-07-01,185.17,1977
2019-07-02,181.15,3247
2019-07-03,180.74,1100
2019-07-04,180.15,27651
2019-07-05,180.97,18000
2019-07-08,180.0,10655
2019-07-09,183.0,4511
2019-07-10,182.84,635
2019-07-16,182.0,1080
2019-07-17,180.0,3155
2019-07-18,179.6,4755
2019-07-19,180.05,11263
2019-07-22,176.92,11095
2019-07-23,176.0,2502
2019-07-24,176.12,15000
2019-07-25,177.69,29575
2019-07-26,176.01,6000
2019-07-29,176.5,1240
2019-07-30,176.46,11537
2019-07-31,176.09,12647
2019-08-01,180.09,1982
2019-08-02,179.0,5050
2019-08-05,179.5,1000
2019-08-06,175.32,11763
2019-08-07,175.0,24700
2019-08-08,179.99,43525
2019-08-09,175.01,712
2019-08-12,175.0,2500
2019-08-13,171.14,18214
2019-08-14,176.0,3782
2019-08-15,176.0,450
2019-08-16,174.3,2950
2019-08-19,174.0,216
2019-08-20,169.01,28950
2019-08-21,173.73,2127
2019-08-22,162.01,47339
2019-08-23,174.0,10
2019-08-26,174.1,7845
2019-08-27,174.0,692
2019-08-28,174.89,421
2019-08-29,173.0,527
2019-08-30,173.0,6
2019-09-02,170.0,27481
2019-09-05,161.87,9476
2019-09-06,160.99,70460
2019-09-07,173.8,82827
2019-09-09,162.24,5075
2019-09-10,169.99,8280
2019-09-11,163.0,1590
2019-09-12,165.0,305
2019-09-13,165.05,4000
2019-09-16,165.15,14241
2019-09-17,160.69,35098
2019-09-18,161.0,13135
2019-09-19,158.66,5036
2019-09-20,157.06,15675
2019-09-23,158.0,3827
2019-09-24,161.94,20716
2019-09-25,160.0,5568
2019-09-26,145.14,39654
2019-09-27,159.71,25535
2019-09-30,159.0,4260
2019-10-01,160.31,7768
2019-10-02,160.25,8030
2019-10-03,162.0,10
2019-10-04,161.0,1214
2019-10-07,159.47,2318
2019-10-08,159.0,5349
2019-10-09,159.0,720
2019-10-10,159.0,11081
2019-10-11,159.0,112
2019-10-14,151.03,2994
2019-10-15,158.88,718
2019-10-16,158.8,5910
2019-10-17,157.0,21110
2019-10-18,150.01,6276
2019-10-21,146.54,94970
2019-10-22,145.73,16358
2019-10-23,146.15,26745
2019-10-24,145.6,3888
2019-10-25,146.99,1762
2019-10-28,146.99,30323
2019-10-29,145.14,10599
2019-10-30,146.45,11007
2019-10-31,145.0,6622
2019-11-01,145.46,8221
2019-11-04,147.11,5209
2019-11-05,148.24,27118
2019-11-06,149.99,5433
2019-11-07,149.95,32960
2019-11-08,149.79,12308
2019-11-11,149.6,2436
2019-11-12,149.89,45203
2019-11-13,149.64,13598
2019-11-14,149.07,3129
2019-11-15,146.49,27033
2019-11-18,145.4,24970
2019-11-19,145.0,35203
2019-11-20,149.12,80620
2019-11-21,149.65,24325
2019-11-22,153.99,3091
2019-11-25,150.0,4022
2019-11-28,154.99,33857
2019-11-29,155.0,3426
2019-12-02,163.27,94385
2019-12-03,159.0,11007
2019-12-04,158.06,155
2019-12-05,157.57,20469
2019-12-06,157.19,8648
2019-12-09,158.76,368
2019-12-10,157.26,2111
2019-12-11,158.0,13883
2019-12-12,158.99,13637
2019-12-13,159.7,1623
2019-12-16,158.0,283
2019-12-17,156.12,1116
2019-12-18,152.83,2219
2019-12-19,153.0,2550
2019-12-20,153.0,548
2019-12-23,152.0,2750
2019-12-24,151.34,5748
2019-12-25,150.93,3687
2019-12-26,150.01,5443
2019-12-27,155.02,14432
2019-12-30,161.58,65276
2019-12-31,162.28,2794
2020-01-02,161.02,2785
2020-01-03,160.72,4315
2020-01-06,152.4,73333
2020-01-07,159.51,14835
2020-01-08,159.97,6243
2020-01-09,159.96,113949
2020-01-10,159.3,24516
2020-01-13,155.61,53582
2020-01-14,150.11,26879
2020-01-15,153.0,5726
2020-01-16,156.98,6300
2020-01-17,156.5,32910
2020-01-20,150.87,21206
2020-01-21,158.81,5655
2020-01-22,158.78,4075
2020-01-23,156.03,5716
2020-01-24,159.29,27115
2020-01-27,158.99,209
2020-01-28,157.95,7014
2020-01-29,153.0,3656
2020-01-30,156.99,38
2020-01-31,156.42,1656
2020-02-03,154.0,4524
2020-02-04,157.0,4611
2020-02-05,157.99,18
2020-02-06,154.11,42718
2020-02-07,168.8,26246
2020-02-10,164.0,5489
2020-02-11,166.94,33049
2020-02-12,160.0,16831
2020-02-13,161.0,22000
2020-02-14,155.16,7286
2020-02-17,158.0,4792
2020-02-18,156.03,4525
2020-02-19,160.0,24281
2020-02-20,159.99,9808
2020-02-21,159.9,231
2020-02-27,158.99,2933
2020-02-28,158.99,3542
2020-03-02,156.2,4338
2020-03-03,158.9,1929
2020-03-04,158.9,11
2020-03-05,158.53,108
2020-03-06,154.13,37297
2020-03-09,154.58,450
2020-03-10,153.0,565
2020-03-11,152.25,3400
2020-03-12,154.96,20700
2020-03-13,151.0,849
2020-03-16,151.72,26261
2020-03-17,154.0,10032
2020-03-18,150.0,1000
2020-03-19,150.01,1337
2020-03-20,144.92,13350
2020-03-23,149.27,2031
2020-03-24,142.0,12283
2020-03-25,146.83,12271
2020-03-26,140.0,8886
2020-03-27,146.9,4162
2020-03-30,146.0,168
2020-03-31,140.1,3132
2020-04-01,140.05,870
2020-04-02,143.99,6976
2020-04-03,144.0,423
2020-04-06,145.0,2364
2020-04-07,145.0,2008
2020-04-08,145.55,4671
2020-04-09,149.05,6626
2020-04-10,149.2,500
2020-04-13,146.13,11791
2020-04-14,146.0,4605
2020-04-15,141.91,806
2020-04-16,140.52,23154
2020-04-20,141.85,5570
2020-04-21,140.05,2000
2020-04-23,140.03,11940
2020-04-24,140.0,16675
2020-04-27,140.03,19541
2020-04-28,137.73,8741
2020-04-29,139.11,900
2020-04-30,140.0,2241
2020-05-01,140.0,1321
2020-05-04,140.0,1538
2020-05-06,141.58,538
2020-05-07,141.0,208
2020-05-08,138.56,3200
2020-05-11,141.0,8169
2020-05-12,136.92,5000
2020-05-13,140.0,447
2020-05-15,138.0,67
2020-05-18,137.05,2343
2020-05-19,137.05,5627
2020-05-20,137.03,7397
2020-05-21,134.01,22455
2020-05-22,136.65,8514
2020-05-25,137.98,15413
2020-05-26,137.79,24816
2020-05-27,137.65,163
2020-05-28,135.41,4490
2020-05-29,134.42,1310
2020-06-02,136.98,591
2020-06-03,131.1,131
2020-06-04,136.77,1127
2020-06-08,135.0,30272
2020-06-09,134.95,22600
2020-06-10,134.45,9347
2020-06-11,130.0,32832
2020-06-15,129.48,674
2020-06-16,133.13,31000
2020-06-17,133.94,2560
2020-06-18,130.0,6739
2020-06-19,133.93,3984
2020-06-22,130.08,31977
2020-06-23,131.0,10
2020-06-25,133.0,7925
2020-06-26,133.5,2945
2020-06-29,133.0,399
2020-06-30,134.39,12050
2020-07-01,137.31,28400
2020-07-02,136.13,14638
2020-07-03,149.15,14492
2020-07-06,149.0,2721
2020-07-07,144.08,2888
2020-07-08,147.5,83
2020-07-10,143.25,787
2020-07-16,142.36,2795
2020-07-17,142.99,25851
2020-07-20,136.4,7645
2020-07-21,137.0,23
2020-07-22,157.0,11219
2020-07-23,157.49,7389
2020-07-24,158.0,3958
2020-07-27,155.0,5105
2020-07-28,154.84,3508
2020-07-29,156.0,20
2020-07-30,157.0,40
2020-07-31,154.64,5604
2020-08-03,157.03,923
2020-08-04,157.82,15215
2020-08-05,150.78,27925
2020-08-06,150.6,2716
2020-08-07,150.2,7717
2020-08-10,150.0,864
2020-08-11,146.28,18140
2020-08-12,153.73,19860
2020-08-13,147.13,15050
2020-08-14,154.0,7410
2020-08-17,152.0,13475
2020-08-18,149.0,6310
2020-08-19,153.3,3051
2020-08-21,153.5,6209
2020-08-24,150.97,6254
2020-08-25,145.34,4532
2020-08-26,149.59,15970
2020-08-27,150.78,7160
2020-08-28,153.24,11964
2020-08-31,166.34,31801
2020-09-01,165.9,1202
2020-09-02,159.0,28041
2020-09-03,160.0,152
2020-09-04,158.0,788
2020-09-07,155.0,249
2020-09-08,148.9,20773
2020-09-09,148.58,8247
2020-09-10,155.0,5218
2020-09-11,155.1,9229
2020-09-14,158.0,24512
2020-09-15,159.5,600
2020-09-16,154.5,2540
2020-09-17,151.18,5000
2020-09-18,154.4,71
2020-09-21,154.5,8040
2020-09-22,154.39,5763
2020-09-23,154.4,2457
2020-09-24,154.4,3227
2020-09-25,158.88,5515
2020-09-28,154.67,16585
2020-09-29,159.88,1688
2020-09-30,160.0,5881
2020-10-01,154.93,2663
2020-10-02,160.0,21
2020-10-05,152.93,9900
2020-10-06,154.36,419
2020-10-07,153.0,7708
2020-10-08,152.95,18362
2020-10-09,159.25,5010
2020-10-12,154.0,6218
2020-10-13,153.5,4914
2020-10-14,153.91,3510
2020-10-16,152.03,23148
2020-10-19,154.0,4739
2020-10-20,152.03,10004
2020-10-21,151.59,5000
2020-10-22,151.43,7395
2020-10-26,152.0,6805
2020-10-27,150.41,16763
2020-10-28,152.0,60
2020-10-29,150.67,1055
2020-10-30,154.0,773
2020-11-02,151.25,32321
2020-11-03,158.96,11003
2020-11-04,151.01,46680
2020-11-05,150.26,3400
2020-11-06,150.46,8078
2020-11-09,150.06,30068
2020-11-10,151.0,2628
2020-11-11,158.98,116066
2020-11-12,160.0,6180
2020-11-13,164.0,1180
2020-11-17,160.0,10720
2020-11-18,155.06,18673
2020-11-19,157.0,25576
2020-11-20,157.0,3712
2020-11-23,156.86,2558
2020-11-24,158.0,1959
2020-11-25,156.59,4364
2020-11-27,157.0,538
2020-11-30,156.68,1907
2020-12-01,158.58,3700
2020-12-02,157.0,4257
2020-12-03,155.17,27418
2020-12-04,159.46,2201
2020-12-07,159.48,2103
2020-12-08,158.0,3500
2020-12-09,155.0,14538
2020-12-10,155.0,12892
2020-12-11,158.03,205
2020-12-14,158.0,825
2020-12-15,156.55,1500
2020-12-16,159.0,1607
2020-12-17,156.1,3373
2020-12-18,159.35,21207
2020-12-21,159.0,115
2020-12-22,159.33,156
2020-12-23,158.02,11070
2020-12-24,158.21,23267
2020-12-25,160.36,209650
2020-12-28,165.54,10235
2020-12-30,167.7,4657
2020-12-31,168.98,6264
2021-01-04,166.5,13160
2021-01-05,167.39,7003
2021-01-06,168.77,54864
2021-01-07,167.53,29037
2021-01-08,166.85,17632
2021-01-11,170.0,26945
2021-01-12,166.22,82930
2021-01-13,168.37,3158
2021-01-14,165.76,30496
2021-01-15,167.32,64147
2021-01-18,161.05,123374
2021-01-19,169.44,99635
2021-01-20,177.18,218930
2021-01-21,178.89,16053
2021-01-22,179.7,7432
2021-01-25,174.17,13761
2021-01-26,172.77,27293
