Date,Close,Volume
2024-02-23,22.6,1010
2024-02-26,22.5,2
2024-02-27,22.5,1
2024-02-28,21.1,500
2024-02-29,21.02,3590
2024-03-05,19.75,658
2024-03-06,19.69,351
2024-03-07,19.68,51
2024-03-11,19.0,11200
2024-03-12,19.1,9085
2024-03-13,19.0,10344
2024-03-14,19.08,6435
2024-03-15,19.0,3000
2024-03-18,18.82,10900
2024-03-19,19.3,1507
2024-03-20,19.29,15213
2024-03-21,19.29,1750
2024-03-22,19.65,10
2024-03-25,19.84,427
2024-03-26,19.5,74
2024-03-27,19.82,20
2024-03-28,19.82,42
2024-03-29,19.83,51
2024-04-01,19.84,100
2024-04-02,19.83,1051
2024-04-03,19.84,2141
2024-04-04,20.27,2078
2024-04-05,21.37,1021
2024-04-08,21.35,1000
2024-04-09,19.56,1533
2024-04-10,21.37,900
2024-04-11,21.37,1079
2024-04-12,21.4,200
2024-04-15,21.4,800
2024-04-16,21.4,949
2024-04-17,21.4,1051
2024-04-18,20.0,30
2024-04-19,19.57,90
2024-04-22,20.0,300
2024-04-23,20.0,230
2024-04-24,20.0,200
2024-04-25,20.0,2
2024-04-26,20.0,6659
2024-04-29,21.4,12
2024-04-30,21.39,8
2024-05-01,21.37,48
2024-05-02,21.38,30
2024-05-03,21.4,1002
2024-05-06,21.39,18
2024-05-07,19.86,495
2024-05-08,21.13,3092
2024-05-09,21.0,3000
2024-05-10,21.0,4000
2024-05-13,21.0,4000
2024-05-14,21.0,6800
2024-05-15,20.5,6
2024-05-16,21.38,1200
2024-05-17,20.5,5
2024-05-21,20.5,1000
2024-05-22,20.5,500
2024-05-24,21.0,10000
2024-05-27,21.0,2
2024-05-28,21.0,5000
2024-05-29,21.0,19987
2024-05-30,20.5,1
2024-05-31,22.25,16
2024-06-03,22.24,4
2024-06-05,22.24,221
2024-06-07,21.99,10049
2024-06-10,22.86,5286
2024-06-17,22.0,1
2024-06-19,22.0,1499
2024-06-21,22.3,602
2024-06-24,22.3,502
2024-07-01,22.51,2121
2024-07-08,20.52,986
2024-07-16,22.99,9
2024-07-18,21.0,9
2024-07-19,22.99,88
2024-07-23,23.0,7
2024-07-24,23.0,2
2024-07-30,22.99,100
2024-08-01,22.99,1
2024-08-02,22.99,19
2024-08-05,22.99,200
2024-08-12,22.99,480
2024-08-14,23.07,915
2024-08-15,23.02,1312
2024-08-16,23.8,700
2024-08-19,23.79,16
2024-08-21,23.81,1110
2024-08-28,23.98,1000
2024-08-29,22.57,258
2024-08-30,19.56,7258
2024-09-02,19.59,57
2024-09-09,22.0,183
2024-09-10,22.0,1939
2024-09-13,22.96,4360
2024-09-17,23.0,1
2024-09-18,23.0,12
2024-10-03,22.99,90
2024-10-04,22.99,9
2024-10-15,22.99,1000
2024-10-16,22.99,3
2024-10-17,22.98,41
2024-10-18,22.98,1310
2024-10-22,22.98,100
2024-11-04,22.98,29
2024-11-05,22.1,336
2024-11-07,19.58,2274
2024-11-08,20.0,2
2024-11-14,20.94,9
2024-11-15,22.5,300
2024-11-18,,171
2024-11-21,20.51,2985
2024-11-22,20.5,141
2024-11-25,22.49,1
2024-11-27,22.49,1213
2024-11-28,22.49,1
2024-12-05,22.49,536
2024-12-06,22.5,2676
2024-12-18,24.49,150
