Date,Close,Volume
2023-06-14,680.13,97527
2023-06-15,677.72,77388
2023-06-16,665.49,47903
2023-06-19,630.75,48995
2023-06-20,644.86,48388
2023-06-21,637.9,10423
2023-06-22,626.75,6617
2023-06-23,620.1,17157
2023-06-26,608.65,23324
2023-06-27,599.2,19930
2023-06-28,608.14,90757
2023-06-29,634.72,33019
2023-06-30,639.64,23149
2023-07-03,636.32,10015
2023-07-04,638.56,9998
2023-07-05,631.37,9624
2023-07-06,627.6,7044
2023-07-07,630.0,4508
2023-07-17,627.99,8831
2023-07-18,607.99,9497
2023-07-19,605.04,10230
2023-07-20,609.44,6352
2023-07-21,609.14,10111
2023-07-24,609.71,9065
2023-07-25,605.0,6233
2023-07-26,605.0,4861
2023-07-27,604.07,7092
2023-07-28,604.0,2830
2023-07-31,600.35,14742
2023-08-01,599.34,7410
2023-08-02,595.0,8133
2023-08-03,593.14,2897
2023-08-04,594.42,5848
2023-08-07,584.84,4860
2023-08-08,583.22,4948
2023-08-09,583.0,9186
2023-08-10,570.49,33667
2023-08-11,568.78,6679
2023-08-14,552.06,10004
2023-08-15,558.25,16601
2023-08-16,564.98,10586
2023-08-17,565.0,7611
2023-08-18,560.25,4987
2023-08-21,565.56,4861
2023-08-22,567.62,9525
2023-08-23,569.0,3646
2023-08-24,556.39,6387
2023-08-25,569.67,15787
2023-08-28,550.49,28306
2023-08-29,568.0,4312
2023-08-30,568.87,15957
2023-08-31,586.88,16621
2023-09-01,601.9,16060
2023-09-04,606.1,3708
2023-09-05,605.18,20091
2023-09-06,608.85,12810
2023-09-07,605.24,3059
2023-09-08,605.46,6421
2023-09-11,589.52,13739
2023-09-12,589.99,6878
2023-09-13,596.52,12478
2023-09-14,594.97,8711
2023-09-15,589.22,509
2023-09-18,582.0,1723
2023-09-19,585.0,3639
2023-09-20,582.73,15736
2023-09-21,569.97,8127
2023-09-22,582.73,15736
2023-09-25,587.02,13058
2023-09-26,586.9,3342
2023-09-27,571.37,4077
2023-09-28,547.86,7572
2023-09-29,552.39,2470
2023-10-02,569.99,215
2023-10-03,569.49,3071
2023-10-04,569.25,5760
2023-10-05,569.5,18606
2023-10-06,550.0,3113
2023-10-09,553.75,4095
2023-10-10,570.72,767
2023-10-11,557.41,3702
2023-10-12,578.0,2035
2023-10-13,587.0,1782
2023-10-16,585.0,1445
2023-10-17,586.46,3263
2023-10-18,583.68,2013
2023-10-20,579.41,2034
2023-10-23,569.64,12447
2023-10-24,584.34,3337
2023-10-25,583.94,2148
2023-10-26,587.85,3655
2023-10-27,586.99,2651
2023-10-30,583.35,2231
2023-10-31,576.12,25699
2023-11-01,580.0,11514
2023-11-02,580.0,350
2023-11-03,581.0,7821
2023-11-06,580.0,3290
2023-11-07,577.9,6545
2023-11-08,571.4,3224
2023-11-09,579.5,1932
2023-11-10,577.6,7118
2023-11-13,574.63,7351
2023-11-15,569.6,10231
2023-11-16,573.54,2708
2023-11-17,569.49,2332
2023-11-20,569.0,2981
2023-11-21,569.0,2981
2023-11-22,568.61,5510
2023-11-23,566.29,1912
2023-11-24,570.43,8568
2023-11-27,568.11,2412
2023-11-28,577.94,3500
2023-11-29,574.56,2497
2023-11-30,569.01,6818
2023-12-01,578.99,4237
2023-12-04,577.61,2170
2023-12-05,574.94,6560
2023-12-06,577.0,31019
2023-12-07,570.97,7881
2023-12-08,567.66,4408
2023-12-11,573.85,4704
2023-12-12,573.85,2053
2023-12-13,574.98,3396
2023-12-14,574.0,3612
2023-12-15,575.0,2848
2023-12-18,572.3,35662
2023-12-19,578.46,12229
2023-12-20,580.0,7561
2023-12-21,600.0,44189
2023-12-22,626.79,15249
2023-12-25,625.0,3491
2023-12-26,623.99,7295
2023-12-27,624.53,5004
2023-12-28,628.97,32046
2024-01-02,613.2,13887
2024-01-03,625.02,1593
2024-01-04,625.69,4519
2024-01-05,624.66,1049
2024-01-08,619.0,2878
2024-01-09,619.96,11507
2024-01-10,619.12,5271
2024-01-11,619.54,133340
2024-01-12,623.48,2097
2024-01-15,620.0,1425
2024-01-16,606.76,6162
2024-01-17,603.84,36408
2024-01-18,638.67,100884
2024-01-19,676.0,10
2024-01-22,693.03,90692
2024-01-23,698.7,72695
2024-01-24,678.99,4535
2024-01-25,678.0,3285
2024-01-26,681.07,40087
2024-01-29,686.66,5214
2024-01-30,679.31,1752
2024-01-31,678.79,5974
2024-02-01,680.0,6181
2024-02-02,685.08,16051
2024-02-05,681.74,32162
2024-02-06,679.0,5622
2024-02-07,679.03,7204
2024-02-08,675.0,19723
2024-02-09,696.92,108550
2024-02-13,687.59,23752
2024-02-14,676.31,8315
2024-02-15,682.4,10109
2024-02-16,677.63,13002
2024-02-19,663.66,7859
2024-02-20,683.58,32538
2024-02-21,682.85,6922
2024-02-22,676.42,17017
2024-02-23,680.26,5561
2024-02-26,679.12,4797
2024-02-27,679.43,10123
2024-02-28,679.9,2133
2024-02-29,678.26,6067
2024-03-05,667.79,5045
2024-03-06,677.78,5671
2024-03-07,676.99,4377
2024-03-11,670.83,16948
2024-03-12,678.38,56490
2024-03-13,674.4,13520
2024-03-14,677.02,47940
2024-03-15,677.0,109313
2024-03-18,676.2,52330
2024-03-19,681.02,37266
2024-03-20,690.06,44084
2024-03-21,694.93,29793
2024-03-22,696.0,1937964
2024-03-25,695.0,111753
2024-03-26,695.0,891382
2024-03-27,712.46,150752
2024-03-28,694.8,53009
2024-03-29,710.0,45314
2024-04-01,710.01,15159
2024-04-02,714.0,4973
2024-04-03,710.15,890
2024-04-04,714.0,1705
2024-04-05,711.49,6357
2024-04-08,710.0,8110
2024-04-09,715.13,86883
2024-04-10,722.93,34585
2024-04-11,721.38,3652
2024-04-12,720.01,10403
2024-04-15,722.75,17018
2024-04-16,728.41,12105
2024-04-17,741.0,13168
2024-04-18,730.92,71788
2024-04-19,749.0,29781
2024-04-22,735.1,4168
2024-04-23,758.9,88134
2024-04-24,755.05,5689
2024-04-25,763.65,39058
2024-04-26,758.36,53345
2024-04-29,770.74,22759
2024-04-30,768.63,7779
2024-05-01,767.08,19462
2024-05-02,766.78,25262
2024-05-03,772.71,17332
2024-05-06,754.55,9201
2024-05-07,739.12,14765
2024-05-08,755.32,25183
2024-05-09,739.43,13808
2024-05-10,735.62,15225
2024-05-13,735.5,6416
2024-05-14,745.17,29418
2024-05-15,745.8,6459
2024-05-16,739.76,14665
2024-05-17,716.49,254051
2024-05-20,731.38,10543
2024-05-21,725.18,96426
2024-05-22,720.0,3775
2024-05-24,733.32,8631
2024-05-27,719.67,7658
2024-05-28,719.91,9628
2024-05-29,719.8,2887
2024-05-30,718.77,8053
2024-05-31,718.27,4086
2024-06-03,720.0,1588
2024-06-04,719.13,7328
2024-06-05,715.0,8763
2024-06-06,719.9,2504
2024-06-07,719.9,2032
2024-06-10,717.1,6941
2024-06-11,719.0,4972
2024-06-12,720.0,8374
2024-06-13,720.0,5221
2024-06-14,716.92,16365
2024-06-17,701.64,162572
2024-06-18,700.46,140911
2024-06-19,702.83,66001
2024-06-20,709.55,82227
2024-06-21,708.52,126029
2024-06-24,714.05,109321
2024-06-25,714.0,123773
2024-06-26,705.71,50912
2024-06-27,707.18,80245
2024-07-01,709.02,34874
2024-07-02,708.11,91571
2024-07-03,707.93,94704
2024-07-04,710.0,16723
2024-07-05,707.58,54728
2024-07-08,710.11,24811
